dataset,cell_type,model,Spearman,R2
perez_sle,CD4T,GRNdrived,0.7655115041777035,0.5130553296726252
perez_sle,CD4T,Li et al.,0.5333866834358466,-1.4241906373268645
aida,CD4T,GRNdrived,0.8512994052351657,0.5871340334569564
aida,CD4T,Li et al.,0.7156081501588271,-1.9881441774647768
wang,CD4T,GRNdrived,0.7461680365166129,0.49611484526349936
wang,CD4T,Li et al.,0.5427296071533741,0.29711762025493926
perez_sle,CD8T,GRNdrived,0.6910176210291937,0.6330342699006191
perez_sle,CD8T,Li et al.,0.5115954799276546,-1.2889270931088328
aida,CD8T,GRNdrived,0.7369680415078349,0.16149437904247355
aida,CD8T,Li et al.,0.5661461108776614,-4.646082836234948
wang,CD8T,GRNdrived,0.7325463076552549,0.39194734433398115
wang,CD8T,Li et al.,0.6383687581536679,0.2565691852925026
perez_sle,NK,GRNdrived,0.4862941370219248,-2.6306995911998947
perez_sle,NK,Li et al.,0.3089483618709675,-7.313768705681699
aida,NK,GRNdrived,0.4231282128182299,-0.1658843879165175
aida,NK,Li et al.,0.25123680641746016,-18.758238566716397
wang,NK,GRNdrived,0.44850803547212226,0.15756344190487281
wang,NK,Li et al.,0.5458299281011859,-3.747251399128393
perez_sle,B,GRNdrived,0.5129481958024706,-3.1870654797299522
perez_sle,B,Li et al.,-0.008491643486772784,-4.131533603055992
aida,B,GRNdrived,0.49391263021584403,0.06309786502213466
aida,B,Li et al.,-0.017990193056811755,-1.0353890899317522
wang,B,GRNdrived,0.5055462070762715,0.1526459383947023
wang,B,Li et al.,0.18554318130638497,-0.020189074616722147
perez_sle,MONO,GRNdrived,0.4857615512749157,-1.1643577283570812
perez_sle,MONO,Li et al.,0.10119491695535018,-0.2271540495391482
aida,MONO,GRNdrived,0.5310745195698198,0.04423522636233124
aida,MONO,Li et al.,0.3309531798587979,-1.3171698471538869
wang,MONO,GRNdrived,-0.024384576356752053,-0.1823110295075454
wang,MONO,Li et al.,0.16968730246179028,-1.0851277617450839
