dataset,cell_type,ctr,treatment,p_value,delta,test_type,p_value_type
op,CD4T,DMSO,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5.008942093695546e-44,-3.943722557366135,mixed-effect,corrected
op,CD4T,DMSO,ABT-199 (GDC-0199),0.1377005270476678,3.581771034195611,mixed-effect,corrected
op,CD4T,DMSO,ABT737,0.8906329718754973,0.621748754769527,mixed-effect,corrected
op,CD4T,DMSO,AMD-070 (hydrochloride),0.9572208745487593,-0.37760911067608066,mixed-effect,corrected
op,CD4T,DMSO,AT 7867,0.6150722881906163,2.116050476476237,mixed-effect,corrected
op,CD4T,DMSO,AT13387,0.3744182877854998,2.1343950281320665,mixed-effect,corrected
op,CD4T,DMSO,AVL-292,0.8849583043086323,-1.2152665927896322,mixed-effect,corrected
op,CD4T,DMSO,AZ628,0.3744182877854998,2.011219891187158,mixed-effect,corrected
op,CD4T,DMSO,AZD-8330,0.31490930426016656,2.6628554429681084,mixed-effect,corrected
op,CD4T,DMSO,AZD3514,0.07873843128894199,3.6536380025067143,mixed-effect,corrected
op,CD4T,DMSO,AZD4547,0.6067499244368489,1.7621622624217252,mixed-effect,corrected
op,CD4T,DMSO,Alogliptin,0.25526896173152713,2.374061092522353,mixed-effect,corrected
op,CD4T,DMSO,Amiodarone,0.818320875546699,0.999096823925548,mixed-effect,corrected
op,CD4T,DMSO,Atorvastatin,1.8859647192506363e-06,5.555295896890084,mixed-effect,corrected
op,CD4T,DMSO,Azacitidine,0.8451853651810148,-0.5767525093613463,mixed-effect,corrected
op,CD4T,DMSO,BAY 61-3606,0.6220208678510208,-1.1187220689539903,mixed-effect,corrected
op,CD4T,DMSO,BAY 87-2243,0.4885068092480895,4.16536294794552,mixed-effect,corrected
op,CD4T,DMSO,BI-D1870,0.0041576692333094535,-5.048198923881202,mixed-effect,corrected
op,CD4T,DMSO,BMS-265246,8.721238547079639e-05,-6.245814383390859,mixed-effect,corrected
op,CD4T,DMSO,BMS-387032,0.8970721771279043,0.8292386319997908,mixed-effect,corrected
op,CD4T,DMSO,BMS-536924,0.1002229065625513,-5.045327820012592,mixed-effect,corrected
op,CD4T,DMSO,BMS-777607,2.7427516765669142e-101,2.5145258045815058,mixed-effect,corrected
op,CD4T,DMSO,BX 912,0.39569015735835295,3.001996114758507,mixed-effect,corrected
op,CD4T,DMSO,Bosutinib,0.8906329718754973,0.6484735150695992,mixed-effect,corrected
op,CD4T,DMSO,Buspirone,0.6325608795644813,1.550792808447099,mixed-effect,corrected
op,CD4T,DMSO,CC-401,0.9056244577019976,1.216232066089167,mixed-effect,corrected
op,CD4T,DMSO,CEP-18770 (Delanzomib),6.995229251787971e-06,16.53974737313855,mixed-effect,corrected
op,CD4T,DMSO,CEP-37440,0.2138773191812578,4.911794154707114,mixed-effect,corrected
op,CD4T,DMSO,CGM-097,0.00026081514350066905,28.05771398406014,mixed-effect,corrected
op,CD4T,DMSO,CGP 60474,2.6747485394273813e-05,50.6878680739296,mixed-effect,corrected
op,CD4T,DMSO,CHIR-99021,3.467999418873367e-30,-13.839243159562136,mixed-effect,corrected
op,CD4T,DMSO,Cabozantinib,1.0339178406432246e-15,-2.6486149569350483,mixed-effect,corrected
op,CD4T,DMSO,Canertinib,0.001885168198145428,8.246835574673469,mixed-effect,corrected
op,CD4T,DMSO,Ceritinib,0.0132977512276493,-3.971051412090006,mixed-effect,corrected
op,CD4T,DMSO,Chlorpheniramine,0.4902205523146216,2.1279236147542804,mixed-effect,corrected
op,CD4T,DMSO,Clemastine,0.420146217088213,2.9492015867970403,mixed-effect,corrected
op,CD4T,DMSO,Clomipramine,0.0041576692333094535,2.5856259193723967,mixed-effect,corrected
op,CD4T,DMSO,Clotrimazole,0.8906329718754973,-0.9742557914000353,mixed-effect,corrected
op,CD4T,DMSO,Colchicine,0.248513373077762,3.9229878460352556,mixed-effect,corrected
op,CD4T,DMSO,Colforsin,0.5000197040754519,2.7730415781877493,mixed-effect,corrected
op,CD4T,DMSO,Crizotinib,0.1830966581956678,-2.920148929990766,mixed-effect,corrected
