dataset,cell_type,ctr,treatment,p_value,delta,test_type,p_value_type
parsebioscience,CD4T,PBS,4-1BBL,0.11540499779486058,1.5623187489922523,mixed-effect,corrected
parsebioscience,CD4T,PBS,ADSF,0.004697654646544819,-2.936420261708896,mixed-effect,corrected
parsebioscience,CD4T,PBS,APRIL,0.4448875560104416,-0.8363384500751656,mixed-effect,corrected
parsebioscience,CD4T,PBS,BAFF,0.757706728669924,-0.4065927679784424,mixed-effect,corrected
parsebioscience,CD4T,PBS,C3a,0.5627200328536626,-0.6867565726049397,mixed-effect,corrected
parsebioscience,CD4T,PBS,C5a,0.3716448095761182,1.0847705359033954,mixed-effect,corrected
parsebioscience,CD4T,PBS,CD27L,0.04588321473474036,-2.0270272934798674,mixed-effect,corrected
parsebioscience,CD4T,PBS,CD30L,0.08549435621098439,-1.8165203609995826,mixed-effect,corrected
parsebioscience,CD4T,PBS,CD40L,0.0029374696715151766,3.042192499134822,mixed-effect,corrected
parsebioscience,CD4T,PBS,CT-1,0.009366145137681392,2.720547261365076,mixed-effect,corrected
parsebioscience,CD4T,PBS,Decorin,0.6652493355253258,-0.5035882384546834,mixed-effect,corrected
parsebioscience,CD4T,PBS,EGF,3.76578639390536e-05,-3.8404546794704277,mixed-effect,corrected
parsebioscience,CD4T,PBS,EPO,0.7782932573705794,-0.361769159847075,mixed-effect,corrected
parsebioscience,CD4T,PBS,FGF-beta,0.1503705602771712,1.4658327514760712,mixed-effect,corrected
parsebioscience,CD4T,PBS,FLT3L,0.3292910698612856,-1.0071029155757478,mixed-effect,corrected
parsebioscience,CD4T,PBS,FasL,4.778901739184507e-06,-4.318065895021146,mixed-effect,corrected
parsebioscience,CD4T,PBS,G-CSF,4.868578463731821e-08,-5.155880999767058,mixed-effect,corrected
parsebioscience,CD4T,PBS,GDNF,0.04612517384451257,-2.0479195774775363,mixed-effect,corrected
parsebioscience,CD4T,PBS,GITRL,0.23491390470126064,1.2745862359428142,mixed-effect,corrected
parsebioscience,CD4T,PBS,GM-CSF,0.8793546304295964,-0.20965911556209685,mixed-effect,corrected
parsebioscience,CD4T,PBS,HGF,0.11540499779486058,-1.5836758212063702,mixed-effect,corrected
parsebioscience,CD4T,PBS,IFN-alpha1,0.066175451327111,2.0276740810041303,mixed-effect,corrected
parsebioscience,CD4T,PBS,IFN-beta,0.012994352571873887,2.9397409390625455,mixed-effect,corrected
parsebioscience,CD4T,PBS,IFN-epsilon,0.08494624552645458,-1.7181433737138898,mixed-effect,corrected
parsebioscience,CD4T,PBS,IFN-gamma,9.66373071897696e-06,4.537241140946436,mixed-effect,corrected
parsebioscience,CD4T,PBS,IFN-lambda1,0.006583801249063797,-2.6757190333794987,mixed-effect,corrected
parsebioscience,CD4T,PBS,IFN-lambda2,0.0761271554618028,-1.8688662579612247,mixed-effect,corrected
parsebioscience,CD4T,PBS,IFN-lambda3,0.14723205909071266,1.427935860194473,mixed-effect,corrected
parsebioscience,CD4T,PBS,IFN-omega,0.0001936182001040471,4.1791029465547505,mixed-effect,corrected
parsebioscience,CD4T,PBS,IGF-1,2.3398823434386983e-05,-4.366240877217373,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-1-alpha,0.006709060068983489,3.049293509271538,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-1-beta,4.66233963930609e-25,10.240488663692654,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-10,6.643364646995043e-28,-11.970634193498295,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-11,0.3151335819922286,-1.152876065986108,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-12,0.006583801249063797,2.8186857358327666,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-13,0.004404067072364092,-3.113787630128895,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-15,6.643364646995043e-28,12.464447532655948,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-16,0.08549435621098439,1.8150907020412614,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-17A,0.004187328265204692,-2.974762758571295,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-17B,0.8587532659849333,0.24293716714704539,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-17C,0.027903852607246548,-2.40114513447834,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-17D,0.9765895468653298,0.05024832930228176,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-17E,0.004697654646544819,-3.3054014523157256,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-17F,0.34682275082741076,-1.021209277984562,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-18,0.9148690415925723,-0.1388291756882052,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-19,0.14328194363835922,-1.582770635291339,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-1Ra,0.01521543416891002,-2.543517397994494,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-20,0.13679721463472883,-1.5904539157491464,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-21,0.7701316364337053,-0.39326628032106486,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-22,3.76578639390536e-05,-4.1168233642750165,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-23,0.9828621821158381,-0.021502457969936863,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-24,0.13679721463472883,1.5721911457308764,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-26,0.4876685640203513,-0.8240943522986719,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-27,3.76578639390536e-05,4.391301930981813,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-2,1.4392103519349852e-17,9.335352527921597,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-31,0.03206828684709576,-2.2258148877266803,mixed-effect,corrected
parsebioscience,CD4T,PBS,IL-32-beta,0.012486061280086105,-3.269384731030239,mixed-effect,corrected
