gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
A1BG,0.006502593612602665,0.1090080966974179,622,0.01247954930470051,healthy,aging,aida,CD4T,7.00019660563751e-06,1.29933917884083e-05,4.886277466116146,Increase in aging
A2M,0.6467765932554592,-0.018409415147708733,622,0.7024217166982191,healthy,aging,aida,CD4T,0.192162551206405,0.198686844413816,0.7018308877348322,Decrease in aging
AAGAB,1.555966064188834e-10,0.2529327443032519,622,1.6029133161255661e-09,healthy,aging,aida,CD4T,4.422182616839069e-11,2.14165946544626e-10,9.669249583006856,Inconsistent
AAK1,0.7705622011840604,-0.011716849365161805,622,0.8128484599808317,healthy,aging,aida,CD4T,1.3641249583461e-23,4.08498586484725e-22,21.388809441904996,Decrease in aging
AAMDC,0.680335789663619,0.01655205657917239,622,0.732983863544425,healthy,aging,aida,CD4T,0.0001434490978863,0.0002148298950841,3.667905283649101,Inconsistent
AAMP,0.02823622280763611,0.08797726605237624,622,0.045501582973491224,healthy,aging,aida,CD4T,0.0017919491311372,0.0022725848606817,2.6434798907956796,Inconsistent
AAR2,0.7527058891580252,-0.012658250243014773,622,0.7983581694176095,healthy,aging,aida,CD4T,0.0304778697194861,0.0335340553695571,1.4745139229170952,Inconsistent
AARSD1,0.13565010984186826,0.05989800728434015,622,0.18193252666782556,healthy,aging,aida,CD4T,7.38862660362815e-05,0.0001161462366585,3.934994857537662,Inconsistent
AASDH,0.2817070521957079,0.04323019455769791,622,0.34409532610617133,healthy,aging,aida,CD4T,4.125973468052791e-09,1.40271387487679e-08,7.853030907186039,Inconsistent
AASDHPPT,0.0003942313325383062,0.14166577038354888,622,0.0009904129832864945,healthy,aging,aida,CD4T,1.99024409954511e-06,4.08799209586473e-06,5.388489952581184,Inconsistent
AATF,1.6831505904091055e-05,0.17160798159037646,622,5.7881005914787943e-05,healthy,aging,aida,CD4T,3.64563763013106e-07,8.57088572056001e-07,6.0669742955009145,Increase in aging
ABCA2,0.00016303745250132096,0.15061585811837802,622,0.0004496071286286428,healthy,aging,aida,CD4T,7.06431181006082e-05,0.0001113647926714,3.9532520871268866,Inconsistent
ABCA5,0.8180037222593408,-0.009245102540317917,622,0.8542031563908845,healthy,aging,aida,CD4T,2.07611260021294e-06,4.2497924402536e-06,5.371632280362338,Inconsistent
ABCA7,0.036514846462940176,0.08386830941928372,622,0.05703953140289348,healthy,aging,aida,CD4T,7.36232317513979e-09,2.38992848508264e-08,7.621615094448795,Inconsistent
ABCB1,9.899211731087417e-06,-0.17616699814927647,622,3.626844563714705e-05,healthy,aging,aida,CD4T,1.1763030300995e-31,9.2902086564012e-30,29.031974531721534,Decrease in aging
ABCB10,0.0020659316991947147,0.12329668399546068,622,0.004436277413365111,healthy,aging,aida,CD4T,2.85886022022949e-08,8.33196610007677e-08,7.079252505716556,Inconsistent
ABCB7,0.24605990853058113,0.04657911642981194,622,0.30650617515015055,healthy,aging,aida,CD4T,0.223580281592793,0.230210814299055,0.6378742789682129,Inconsistent
ABCB8,0.030820438764039573,0.08659487675753272,622,0.049085416689951956,healthy,aging,aida,CD4T,0.0004392565552884,0.0006119280602554,3.213299631564473,Inconsistent
ABCC1,8.929680822655297e-11,-0.25615181775827306,622,9.774933053196714e-10,healthy,aging,aida,CD4T,3.96254769383761e-15,3.63714307479066e-14,13.439239614708299,Inconsistent
ABCC10,2.53344284268244e-06,0.18737353559339553,622,1.0585539150368937e-05,healthy,aging,aida,CD4T,7.8049147525566e-06,1.43904367179641e-05,4.841926025985286,Inconsistent
ABCC4,3.4142760966551734e-05,0.16534345421302202,622,0.00010982664698527409,healthy,aging,aida,CD4T,4.77455662410946e-05,7.70598213731748e-05,4.113172002028629,Inconsistent
