gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
ADNP,2.4093395013076474e-06,0.18762519439081227,623,3.90111727607307e-06,healthy,aging,aida,CD4T,1.23946999791312e-19,2.56858719693316e-19,18.59030568650802,Increase in aging
ADNP2,6.327991735861124e-08,0.2146188003307901,623,1.9422479148088193e-07,healthy,aging,aida,CD4T,6.83111135686186e-22,2.19595238252291e-21,20.658377081449522,Increase in aging
AEBP1,3.397598442261909e-13,-0.28603270089147126,623,8.956069493802393e-12,healthy,aging,aida,CD4T,1.5277963755014599e-28,2.43371106935563e-27,26.613730982569706,Decrease in aging
AEBP2,5.325976085840463e-08,0.2158117297647096,623,1.7204991375337573e-07,healthy,aging,aida,CD4T,7.159865982842589e-18,1.11281879308803e-17,16.953575548665263,Increase in aging
AHCTF1,6.293866853848372e-07,0.19801655573375754,623,1.1952905638864776e-06,healthy,aging,aida,CD4T,4.81493416703138e-16,5.99818831015819e-16,15.221979903901797,Increase in aging
AHR,2.01362068030852e-09,0.2372897467008659,623,1.72334549132898e-08,healthy,aging,aida,CD4T,9.57332491787575e-29,1.57720528022003e-27,26.802111777650943,Increase in aging
AKAP8,7.51554578779679e-08,0.21342172559181913,623,2.2309660694405787e-07,healthy,aging,aida,CD4T,2.4174455307386603e-19,4.7984837492673995e-19,18.318895971656385,Inconsistent
AKAP8L,2.400325424649572e-08,0.2212400936071505,623,9.529002740024506e-08,healthy,aging,aida,CD4T,6.19723613332155e-20,1.35010770221014e-19,18.86963158512734,Increase in aging
AKNA,1.0530848451742379e-07,0.21105344083162303,623,2.8795971492523766e-07,healthy,aging,aida,CD4T,2.40180673355754e-22,8.158714625847529e-22,21.08837825728448,Increase in aging
ANKZF1,1.5795521011306594e-08,0.2240353199654534,623,6.986072715738957e-08,healthy,aging,aida,CD4T,7.37317827662927e-19,1.33854668988945e-18,17.873366475573274,Increase in aging
ARHGAP35,4.6402454322093576e-10,0.24627200219257117,623,5.182918203094859e-09,healthy,aging,aida,CD4T,2.65006401170914e-27,3.638317049409e-26,25.43909945843107,Increase in aging
ARID2,6.208341521631403e-07,0.19811964227195158,623,1.1824557984841315e-06,healthy,aging,aida,CD4T,1.76013008978731e-17,2.52157767210834e-17,16.59832764973427,Increase in aging
ARID3A,2.884514978194735e-05,0.1667248393657689,623,3.7778582751263637e-05,healthy,aging,aida,CD4T,9.19018676678162e-20,1.95365583203519e-19,18.70915194185214,Increase in aging
ARID3B,2.658595934786657e-07,0.20440665517030593,623,5.72553830400133e-07,healthy,aging,aida,CD4T,4.0977106099384e-18,6.5863202242668495e-18,17.181357157885998,Increase in aging
ARID5A,0.2736001422513474,0.04392965929348364,623,0.28619443451371096,healthy,aging,aida,CD4T,5.13462168717876e-13,5.91558687386504e-13,12.22800216338806,Inconsistent
ARID5B,3.802852124524308e-08,0.21812317171911125,623,1.3370950900949507e-07,healthy,aging,aida,CD4T,9.00855973015263e-32,2.4519744735820098e-30,29.61048405537719,Increase in aging
