gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
ADNP,0.012101515253333101,0.14418797897538127,DMSO,Ruxolitinib,0.026393822061148917,All age groups,op,Ruxolitinib,CD4T
AEBP2,0.23208879867584065,-0.15447023520189163,DMSO,Ruxolitinib,0.3302354335591534,All age groups,op,Ruxolitinib,CD4T
AHR,0.039246475657155944,-1.0579456410431394,DMSO,Ruxolitinib,0.07533200770947938,All age groups,op,Ruxolitinib,CD4T
AKAP8,0.007734698456347568,-0.1644453654002973,DMSO,Ruxolitinib,0.017789806449599408,All age groups,op,Ruxolitinib,CD4T
AKNA,0.11157013170662931,-0.3685596045323723,DMSO,Ruxolitinib,0.17979135873743451,All age groups,op,Ruxolitinib,CD4T
ARHGAP35,0.045852205436703763,-0.6211483232147211,DMSO,Ruxolitinib,0.08567824903697521,All age groups,op,Ruxolitinib,CD4T
ARID2,0.4813167231525135,-0.16162241553159143,DMSO,Ruxolitinib,0.5771238434008812,All age groups,op,Ruxolitinib,CD4T
ARID5A,0.45368805019600034,-0.0622284222652271,DMSO,Ruxolitinib,0.5518417149018657,All age groups,op,Ruxolitinib,CD4T
ASH1L,0.9209220543531672,0.037146199418678805,DMSO,Ruxolitinib,0.9282600786906426,All age groups,op,Ruxolitinib,CD4T
ATF1,1.1096147006664915e-42,-0.5458737753252508,DMSO,Ruxolitinib,1.2205761707331405e-41,All age groups,op,Ruxolitinib,CD4T
ATF2,0.19717623845259968,-0.19105754706690922,DMSO,Ruxolitinib,0.2910001621986421,All age groups,op,Ruxolitinib,CD4T
ATF3,0.03282611898786152,-0.48267121967204657,DMSO,Ruxolitinib,0.06488287581194505,All age groups,op,Ruxolitinib,CD4T
ATF4,0.0,-1.6541711146010627,DMSO,Ruxolitinib,0.0,All age groups,op,Ruxolitinib,CD4T
ATF6,0.7271088686603397,-0.03226617704278686,DMSO,Ruxolitinib,0.7828023139194297,All age groups,op,Ruxolitinib,CD4T
BACH1,0.26407086106641475,-0.16252927344226956,DMSO,Ruxolitinib,0.3584388235059809,All age groups,op,Ruxolitinib,CD4T
BACH2,8.426778967832928e-14,1.5593409372312184,DMSO,Ruxolitinib,4.737722397470513e-13,All age groups,op,Ruxolitinib,CD4T
BATF,1.957324316098429e-09,-2.27968206532011,DMSO,Ruxolitinib,8.537983654705217e-09,All age groups,op,Ruxolitinib,CD4T
BCL11B,9.312168745298255e-51,1.043513620163856,DMSO,Ruxolitinib,1.5706524617069724e-49,All age groups,op,Ruxolitinib,CD4T
BHLHE40,0.00023109231374083327,-2.279119424326121,DMSO,Ruxolitinib,0.00074956865867219,All age groups,op,Ruxolitinib,CD4T
CAMTA1,3.541632568877426e-05,-0.4773194877605649,DMSO,Ruxolitinib,0.00011789908420078799,All age groups,op,Ruxolitinib,CD4T
CC2D1A,6.336961292698803e-06,-0.43227126973094876,DMSO,Ruxolitinib,2.2267377875733293e-05,All age groups,op,Ruxolitinib,CD4T
CDC5L,8.93543604777714e-12,-0.41060900039114306,DMSO,Ruxolitinib,4.521330640175233e-11,All age groups,op,Ruxolitinib,CD4T
CEBPB,9.35794915763957e-10,-0.9960341135260489,DMSO,Ruxolitinib,4.384372475708909e-09,All age groups,op,Ruxolitinib,CD4T
CEBPD,0.02859466875406611,-0.670123345440652,DMSO,Ruxolitinib,0.057875609558229804,All age groups,op,Ruxolitinib,CD4T
CEBPZ,2.5738739521010013e-49,-0.386242248409219,DMSO,Ruxolitinib,4.0699381867597084e-48,All age groups,op,Ruxolitinib,CD4T
CLOCK,0.08534892376394863,-0.4257408129331708,DMSO,Ruxolitinib,0.14689304566176195,All age groups,op,Ruxolitinib,CD4T
CREB1,0.019653450454158096,-0.2040123659755316,DMSO,Ruxolitinib,0.04109357822233056,All age groups,op,Ruxolitinib,CD4T
CREB3,3.925274762556962e-19,-0.9109850570215281,DMSO,Ruxolitinib,2.9208662203732686e-18,All age groups,op,Ruxolitinib,CD4T
CREB3L2,0.0020227427056659073,-1.0246430351046423,DMSO,Ruxolitinib,0.00533076983889036,All age groups,op,Ruxolitinib,CD4T
CREM,0.013113934230401435,-0.7763807040097348,DMSO,Ruxolitinib,0.0283574817118937,All age groups,op,Ruxolitinib,CD4T
CTCF,0.005135436255251804,-0.3177034861627241,DMSO,Ruxolitinib,0.012492936274795254,All age groups,op,Ruxolitinib,CD4T
CUX1,0.37387022111502377,-0.10024291204781832,DMSO,Ruxolitinib,0.47059286538358713,All age groups,op,Ruxolitinib,CD4T
DDIT3,1.3049678175996664e-15,-0.47891125908086235,DMSO,Ruxolitinib,8.25392144631789e-15,All age groups,op,Ruxolitinib,CD4T
DMTF1,0.6608169343576888,-0.06602696704534596,DMSO,Ruxolitinib,0.7397640902322801,All age groups,op,Ruxolitinib,CD4T
DNMT1,7.998624681863213e-28,-1.057657577928295,DMSO,Ruxolitinib,6.978110498315148e-27,All age groups,op,Ruxolitinib,CD4T
DR1,4.08018649571372e-17,-1.2128688837028352,DMSO,Ruxolitinib,2.716545219514661e-16,All age groups,op,Ruxolitinib,CD4T
DRAP1,6.577169987909247e-81,-2.8666024080047023,DMSO,Ruxolitinib,1.8489155632678213e-79,All age groups,op,Ruxolitinib,CD4T
E2F2,0.006839130594481412,-0.7430469775799017,DMSO,Ruxolitinib,0.015874312297282544,All age groups,op,Ruxolitinib,CD4T
E2F4,4.693914357609002e-72,-0.9943276675560927,DMSO,Ruxolitinib,1.0796003022500704e-70,All age groups,op,Ruxolitinib,CD4T
EEA1,0.006052119803848759,0.38934692434032225,DMSO,Ruxolitinib,0.01444515387145034,All age groups,op,Ruxolitinib,CD4T
EGR1,0.017229884000854324,-0.19855641759427659,DMSO,Ruxolitinib,0.0366316021194634,All age groups,op,Ruxolitinib,CD4T
ELF1,0.08984841832888861,-0.7118388596651286,DMSO,Ruxolitinib,0.14955032787637382,All age groups,op,Ruxolitinib,CD4T
ELF2,0.8790800123200438,-0.01778167936243798,DMSO,Ruxolitinib,0.900434182659802,All age groups,op,Ruxolitinib,CD4T
ELF4,0.03858304819444615,-0.41602073688795116,DMSO,Ruxolitinib,0.07508854763996058,All age groups,op,Ruxolitinib,CD4T
ELK3,0.001654846761530676,-1.1931807764768634,DMSO,Ruxolitinib,0.004407118217550116,All age groups,op,Ruxolitinib,CD4T
ELK4,0.23506417692064108,0.05871001258930172,DMSO,Ruxolitinib,0.3303957597829011,All age groups,op,Ruxolitinib,CD4T
EOMES,0.17194460133734768,-0.4068141474615549,DMSO,Ruxolitinib,0.2685307662861047,All age groups,op,Ruxolitinib,CD4T
ETS1,0.6796829780183159,0.20170844410714037,DMSO,Ruxolitinib,0.7476512758201476,All age groups,op,Ruxolitinib,CD4T
ETV3,0.18160232191749315,-0.11356445916375892,DMSO,Ruxolitinib,0.27677944244051667,All age groups,op,Ruxolitinib,CD4T
ETV6,0.021220340677267992,-0.8725409302053073,DMSO,Ruxolitinib,0.044006116322531166,All age groups,op,Ruxolitinib,CD4T
ETV7,1.2551592769456968e-14,-1.3888863608697626,DMSO,Ruxolitinib,7.745251147981982e-14,All age groups,op,Ruxolitinib,CD4T
FLI1,8.0484229151797e-12,-1.2320314389131386,DMSO,Ruxolitinib,4.1556142806948246e-11,All age groups,op,Ruxolitinib,CD4T
FOS,0.011119554441656306,-0.8488799587195629,DMSO,Ruxolitinib,0.024463019771643873,All age groups,op,Ruxolitinib,CD4T
FOSB,0.06808380634490697,-0.4462768233096413,DMSO,Ruxolitinib,0.1221645603210033,All age groups,op,Ruxolitinib,CD4T
FOSL2,0.1304404392369536,-0.5346108402338788,DMSO,Ruxolitinib,0.20755617060974374,All age groups,op,Ruxolitinib,CD4T
FOXJ3,0.2401884868056594,-0.19740291946742636,DMSO,Ruxolitinib,0.333888390999076,All age groups,op,Ruxolitinib,CD4T
FOXK1,0.7990216547149412,-0.018493922079051945,DMSO,Ruxolitinib,0.8353408208383476,All age groups,op,Ruxolitinib,CD4T
FOXO1,1.4340449435393584e-37,0.6812456561071049,DMSO,Ruxolitinib,1.5117223779810738e-36,All age groups,op,Ruxolitinib,CD4T
FOXP1,0.0,1.9097382872841362,DMSO,Ruxolitinib,0.0,All age groups,op,Ruxolitinib,CD4T
GATA3,1.143139668222333e-05,-3.0095783550797264,DMSO,Ruxolitinib,3.961840220003428e-05,All age groups,op,Ruxolitinib,CD4T
GATAD2A,0.08942856093532116,-0.23231046878624065,DMSO,Ruxolitinib,0.14955032787637382,All age groups,op,Ruxolitinib,CD4T
GATAD2B,0.472506505796085,-0.14577887680933563,DMSO,Ruxolitinib,0.5719815596478923,All age groups,op,Ruxolitinib,CD4T
GFI1,0.2572509329133671,-0.2987793595893121,DMSO,Ruxolitinib,0.35180803257882093,All age groups,op,Ruxolitinib,CD4T
GFI1B,0.22345659751381108,0.20999593274108241,DMSO,Ruxolitinib,0.32305439526282403,All age groups,op,Ruxolitinib,CD4T
GTF2I,0.17888695496162277,-0.20650031690899576,DMSO,Ruxolitinib,0.27520706950622265,All age groups,op,Ruxolitinib,CD4T
GTF3A,7.309668234107759e-183,-2.147855900559584,DMSO,Ruxolitinib,4.623365158073158e-181,All age groups,op,Ruxolitinib,CD4T
HBP1,0.8932982879985734,0.012577046925689098,DMSO,Ruxolitinib,0.9076484612997553,All age groups,op,Ruxolitinib,CD4T
HIF1A,0.23786670877310245,0.02172438978825812,DMSO,Ruxolitinib,0.332487719997762,All age groups,op,Ruxolitinib,CD4T
HIVEP1,1.2438947949511345e-08,0.458967398351537,DMSO,Ruxolitinib,5.333989544451475e-08,All age groups,op,Ruxolitinib,CD4T
HLF,0.004157004753466911,-0.9842394676551827,DMSO,Ruxolitinib,0.010517222026271285,All age groups,op,Ruxolitinib,CD4T
HMBOX1,0.08837309891072251,-0.11394645530539844,DMSO,Ruxolitinib,0.14905596016275197,All age groups,op,Ruxolitinib,CD4T
HMG20B,1.0781355595928957e-18,-0.5349894648914051,DMSO,Ruxolitinib,7.793379902200075e-18,All age groups,op,Ruxolitinib,CD4T
HSF1,1.2884387033489731e-14,-0.45188591884982215,DMSO,Ruxolitinib,7.761309332078337e-14,All age groups,op,Ruxolitinib,CD4T
HSF2,0.0015023774295850432,0.4315382719027962,DMSO,Ruxolitinib,0.004043632868989531,All age groups,op,Ruxolitinib,CD4T
IKZF1,0.22089108062515506,0.36119116407584845,DMSO,Ruxolitinib,0.32118070918485186,All age groups,op,Ruxolitinib,CD4T
IKZF2,0.17154661455061826,-0.5314218783514115,DMSO,Ruxolitinib,0.2685307662861047,All age groups,op,Ruxolitinib,CD4T
IKZF3,0.05734141455070734,-0.9322817366950673,DMSO,Ruxolitinib,0.1051259266762968,All age groups,op,Ruxolitinib,CD4T
IKZF5,0.1836706213691175,0.15152437043575753,DMSO,Ruxolitinib,0.27825549225381274,All age groups,op,Ruxolitinib,CD4T
IRF1,3.385637302351156e-14,-2.6301540485953345,DMSO,Ruxolitinib,1.9920145058019594e-13,All age groups,op,Ruxolitinib,CD4T
IRF2,2.023447419250242e-86,-1.6358138777146547,DMSO,Ruxolitinib,6.399152463378891e-85,All age groups,op,Ruxolitinib,CD4T
IRF3,4.321371069614724e-34,-1.3754747889948742,DMSO,Ruxolitinib,4.049284743009353e-33,All age groups,op,Ruxolitinib,CD4T
IRF4,0.08077958028224434,-0.10430551350214819,DMSO,Ruxolitinib,0.14192523480144317,All age groups,op,Ruxolitinib,CD4T
IRF5,0.00040775881762977013,-1.0248393308425168,DMSO,Ruxolitinib,0.0012580851324430712,All age groups,op,Ruxolitinib,CD4T
