gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
ADNP,0.00033160193735753995,0.7120243824956566,PBS,IL-10,0.0006818360724261064,All age groups,parsebioscience,IL-10,CD4T
ADNP2,0.0007627387961912114,0.6337196148362948,PBS,IL-10,0.0010098231949573783,All age groups,parsebioscience,IL-10,CD4T
AEBP1,0.00029467081566053734,0.2673785200960726,PBS,IL-10,0.0006484728986777042,All age groups,parsebioscience,IL-10,CD4T
AEBP2,0.0004224918706471214,0.8189655334895466,PBS,IL-10,0.0007355756016376684,All age groups,parsebioscience,IL-10,CD4T
AHCTF1,0.0002536612399480609,0.8850957125157634,PBS,IL-10,0.0006069421668575421,All age groups,parsebioscience,IL-10,CD4T
AHR,0.05705669478729777,0.3095203067785193,PBS,IL-10,0.05978233307331518,All age groups,parsebioscience,IL-10,CD4T
AKAP8,0.0003308070597181873,0.790482626362301,PBS,IL-10,0.0006818360724261064,All age groups,parsebioscience,IL-10,CD4T
AKAP8L,0.0003957925097516994,0.7927116558967714,PBS,IL-10,0.0007296678488814588,All age groups,parsebioscience,IL-10,CD4T
AKNA,0.0010737283130025084,0.7342305175104092,PBS,IL-10,0.001333043830105001,All age groups,parsebioscience,IL-10,CD4T
ANKZF1,0.0003628284587769751,0.7634445343873404,PBS,IL-10,0.0007050742343996072,All age groups,parsebioscience,IL-10,CD4T
ARHGAP35,0.0041589172148186505,0.5669913247436104,PBS,IL-10,0.004669910456229816,All age groups,parsebioscience,IL-10,CD4T
ARID2,0.00012128167373650056,0.9486595803729406,PBS,IL-10,0.0004501778317623546,All age groups,parsebioscience,IL-10,CD4T
ARID3A,0.004787908627167542,0.360965666478634,PBS,IL-10,0.005312721545828403,All age groups,parsebioscience,IL-10,CD4T
ARID3B,0.000775830467906776,0.6750789549308868,PBS,IL-10,0.0010233788652528855,All age groups,parsebioscience,IL-10,CD4T
ARID5A,0.0005665768197862586,0.5019874406553254,PBS,IL-10,0.0008266242736571134,All age groups,parsebioscience,IL-10,CD4T
ARID5B,0.5896772690884062,-0.06755477741403322,PBS,IL-10,0.5978546118030375,All age groups,parsebioscience,IL-10,CD4T
ARNT,0.0006290817909780605,0.7512575815589848,PBS,IL-10,0.0008844782445802644,All age groups,parsebioscience,IL-10,CD4T
ASH1L,1.3710906206979206e-06,1.0686671627498718,PBS,IL-10,2.1480419724267425e-05,All age groups,parsebioscience,IL-10,CD4T
ATF1,0.0003060779509548218,0.8024715571377269,PBS,IL-10,0.0006544316494600173,All age groups,parsebioscience,IL-10,CD4T
ATF2,0.0004220160727873103,0.7946089997620027,PBS,IL-10,0.0007355756016376684,All age groups,parsebioscience,IL-10,CD4T
ATF3,0.006190290123702904,0.24065764304990256,PBS,IL-10,0.006834246478853207,All age groups,parsebioscience,IL-10,CD4T
ATF4,0.635257553505299,-0.04233647018850968,PBS,IL-10,0.6430761080099796,All age groups,parsebioscience,IL-10,CD4T
ATF5,0.0003060607437370626,0.634578793058365,PBS,IL-10,0.0006544316494600173,All age groups,parsebioscience,IL-10,CD4T
ATF6,0.00012733166401017202,0.8859430318858944,PBS,IL-10,0.0004628963255176419,All age groups,parsebioscience,IL-10,CD4T
ATF6B,0.00043394367934481787,0.7396117566875693,PBS,IL-10,0.0007428275690226984,All age groups,parsebioscience,IL-10,CD4T
ATF7,0.000456999304784351,0.7589209087769494,PBS,IL-10,0.0007636750769730114,All age groups,parsebioscience,IL-10,CD4T
ATMIN,0.0004607994189897004,0.5964256029220578,PBS,IL-10,0.0007636750769730114,All age groups,parsebioscience,IL-10,CD4T
BACH1,0.00011350038360873016,0.878497009151538,PBS,IL-10,0.0004458247781048448,All age groups,parsebioscience,IL-10,CD4T
BACH2,6.961271219571221e-15,1.445911342880035,PBS,IL-10,2.2902582312389316e-12,All age groups,parsebioscience,IL-10,CD4T
BATF,0.3717442984234406,-0.12597528226807964,PBS,IL-10,0.37864976526721966,All age groups,parsebioscience,IL-10,CD4T
BAZ2A,0.00018837419542876976,0.809326087297266,PBS,IL-10,0.0005229967113592005,All age groups,parsebioscience,IL-10,CD4T
BAZ2B,0.0011494904411281214,0.7406525053158224,PBS,IL-10,0.001408500391549914,All age groups,parsebioscience,IL-10,CD4T
BBX,0.00013985883584346738,0.7327302608979152,PBS,IL-10,0.0004743665669329976,All age groups,parsebioscience,IL-10,CD4T
BCL11A,1.0749658557002735e-06,0.3395928811124901,PBS,IL-10,1.76831883262695e-05,All age groups,parsebioscience,IL-10,CD4T
BCL11B,7.614661648473542e-14,1.2628727321612698,PBS,IL-10,1.2526118411738977e-11,All age groups,parsebioscience,IL-10,CD4T
BCL6,0.0004940556734782334,0.5981967209895652,PBS,IL-10,0.0007830274588835562,All age groups,parsebioscience,IL-10,CD4T
BHLHE40,0.00016280081553953713,-0.4381991774166054,PBS,IL-10,0.0004864051841281888,All age groups,parsebioscience,IL-10,CD4T
BPTF,6.6062246873307425e-06,0.8378066538717217,PBS,IL-10,7.011122329457465e-05,All age groups,parsebioscience,IL-10,CD4T
BRF2,1.1835840986731959e-05,0.30624421412821556,PBS,IL-10,0.00011125690527528042,All age groups,parsebioscience,IL-10,CD4T
CAMTA1,0.000932825675658144,0.6571503755915448,PBS,IL-10,0.0011826576003527143,All age groups,parsebioscience,IL-10,CD4T
CAMTA2,0.0006708199938126087,0.6887406449907625,PBS,IL-10,0.0009153006634953009,All age groups,parsebioscience,IL-10,CD4T
CARF,0.00013115726920958672,0.6941729876798027,PBS,IL-10,0.0004709189783256369,All age groups,parsebioscience,IL-10,CD4T
CASZ1,0.010671585786769232,0.31319802910549793,PBS,IL-10,0.01170317241282359,All age groups,parsebioscience,IL-10,CD4T
CC2D1A,0.0007992978316816668,0.7316721065694705,PBS,IL-10,0.001047685205670392,All age groups,parsebioscience,IL-10,CD4T
CDC5L,0.0005184922731116544,0.7412735164329078,PBS,IL-10,0.0007989880929917298,All age groups,parsebioscience,IL-10,CD4T
CEBPB,0.0008180005792819797,0.6745772939236083,PBS,IL-10,0.00106583045775751,All age groups,parsebioscience,IL-10,CD4T
CEBPD,0.0005643575163686953,0.503370394554931,PBS,IL-10,0.0008252161017124479,All age groups,parsebioscience,IL-10,CD4T
CEBPG,0.0004934638358037241,0.7591093790907486,PBS,IL-10,0.0007830274588835562,All age groups,parsebioscience,IL-10,CD4T
CEBPZ,0.0011478309789074144,0.6571897297226181,PBS,IL-10,0.001408500391549914,All age groups,parsebioscience,IL-10,CD4T
