gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
ADNP,1.3090928694139227e-15,-0.4357246927716023,healthy,SLE,3.3662388070643727e-15,Both age groups,perez_sle,SLE,CD4T
AEBP2,7.334723777184116e-14,0.4062992096628708,healthy,SLE,1.6213599928512255e-13,Both age groups,perez_sle,SLE,CD4T
AHR,1.0875942645927977e-21,1.8386195146193938,healthy,SLE,6.228948969940569e-21,Both age groups,perez_sle,SLE,CD4T
AKAP8,9.063880120428909e-16,0.7134252591148202,healthy,SLE,2.3792685316125886e-15,Both age groups,perez_sle,SLE,CD4T
AKNA,0.001100116986320244,0.22868950437225077,healthy,SLE,0.0013457741774402985,Both age groups,perez_sle,SLE,CD4T
ARHGAP35,1.2451833241410395e-23,1.3643852293893488,healthy,SLE,1.3074424903480914e-22,Both age groups,perez_sle,SLE,CD4T
ARID2,4.529128859802163e-08,0.9217613128996529,healthy,SLE,6.95939312603747e-08,Both age groups,perez_sle,SLE,CD4T
ARID5A,0.15471853018096612,0.22626033081956365,healthy,SLE,0.16178037180748325,Both age groups,perez_sle,SLE,CD4T
ASH1L,0.8402128740269021,-0.13457635777591292,healthy,SLE,0.8469345770191173,Both age groups,perez_sle,SLE,CD4T
ATF1,3.5288385076907427e-19,0.44754079781638634,healthy,SLE,1.4343021031259148e-18,Both age groups,perez_sle,SLE,CD4T
ATF2,1.4611900577822828e-14,0.8595481500759234,healthy,SLE,3.4413074258050025e-14,Both age groups,perez_sle,SLE,CD4T
ATF3,7.23317603473488e-18,1.0872568022688447,healthy,SLE,2.3983688957278816e-17,Both age groups,perez_sle,SLE,CD4T
ATF4,4.049662454731684e-09,1.1248085928148015,healthy,SLE,6.7139140696867394e-09,Both age groups,perez_sle,SLE,CD4T
ATF6,0.9819787032605103,-0.09821606241543268,healthy,SLE,0.9819787032605103,Both age groups,perez_sle,SLE,CD4T
BACH1,1.6532315246854408e-07,0.7225297477282844,healthy,SLE,2.465173634442196e-07,Both age groups,perez_sle,SLE,CD4T
BACH2,4.713475721474531e-17,-1.9939572066199904,healthy,SLE,1.4664146689031873e-16,Both age groups,perez_sle,SLE,CD4T
BATF,3.658594940351714e-23,2.5251345017591476,healthy,SLE,3.179192844719421e-22,Both age groups,perez_sle,SLE,CD4T
BCL11B,2.8811214231412852e-06,-1.1543496910018138,healthy,SLE,4.011285075312729e-06,Both age groups,perez_sle,SLE,CD4T
BHLHE40,4.486698826613802e-24,2.9443954518856588,healthy,SLE,5.950779496350938e-23,Both age groups,perez_sle,SLE,CD4T
CAMTA1,3.471189989863307e-11,0.5351432069559534,healthy,SLE,6.677403644622543e-11,Both age groups,perez_sle,SLE,CD4T
CC2D1A,4.170147716882985e-28,0.70789368292911,healthy,SLE,2.6271930616362806e-26,Both age groups,perez_sle,SLE,CD4T
CDC5L,1.1020440121542813e-16,0.4636791446637258,healthy,SLE,3.1921274834813667e-16,Both age groups,perez_sle,SLE,CD4T
CEBPB,4.80419129417252e-20,0.8738283661896684,healthy,SLE,2.2011931020572276e-19,Both age groups,perez_sle,SLE,CD4T
CEBPD,1.2160488237584604e-16,0.697727969547365,healthy,SLE,3.443194422327326e-16,Both age groups,perez_sle,SLE,CD4T
CEBPZ,1.7511368616963504e-09,0.24417318436931446,healthy,SLE,2.9224270804468897e-09,Both age groups,perez_sle,SLE,CD4T
CLOCK,1.83885606061619e-18,0.9424860073967949,healthy,SLE,6.814584224636469e-18,Both age groups,perez_sle,SLE,CD4T
CREB1,3.7277403444508775e-07,0.3301105019801005,healthy,SLE,5.430003276309949e-07,Both age groups,perez_sle,SLE,CD4T
CREB3,6.366670790286732e-22,0.7759604377814133,healthy,SLE,3.913173266225015e-21,Both age groups,perez_sle,SLE,CD4T
CREB3L2,2.420257306124114e-24,1.2967511873847868,healthy,SLE,3.587675536136922e-23,Both age groups,perez_sle,SLE,CD4T
CREM,4.346412836186771e-09,1.227754341134176,healthy,SLE,7.1587976125429174e-09,Both age groups,perez_sle,SLE,CD4T
CTCF,5.2684082793035234e-11,0.6895612644516786,healthy,SLE,9.982247266048781e-11,Both age groups,perez_sle,SLE,CD4T
CUX1,4.179209010384344e-07,0.4402507717424573,healthy,SLE,6.018060974953456e-07,Both age groups,perez_sle,SLE,CD4T
DDIT3,0.001789952312770481,0.4618888436474222,healthy,SLE,0.0021685960712411597,Both age groups,perez_sle,SLE,CD4T
DMTF1,0.0010492682025601153,0.3676624050005408,healthy,SLE,0.0012898321319275564,Both age groups,perez_sle,SLE,CD4T
DNMT1,1.9115762585056824e-17,0.6925140068984099,healthy,SLE,6.0214652142929e-17,Both age groups,perez_sle,SLE,CD4T
DR1,1.5803162958766723e-26,1.3666756681368257,healthy,SLE,7.964794131218428e-25,Both age groups,perez_sle,SLE,CD4T
DRAP1,1.1356383123010645e-10,1.7909369380027798,healthy,SLE,2.073774309419335e-10,Both age groups,perez_sle,SLE,CD4T
E2F2,4.986232685828324e-22,1.2580246373281438,healthy,SLE,3.1413265920718442e-21,Both age groups,perez_sle,SLE,CD4T
E2F4,4.585500729973849e-25,0.8141435083922257,healthy,SLE,8.888816799641615e-24,Both age groups,perez_sle,SLE,CD4T
EEA1,8.089020153014573e-08,-0.6397231178335914,healthy,SLE,1.235413987005862e-07,Both age groups,perez_sle,SLE,CD4T
EGR1,0.0001706927890218759,0.3309106180855803,healthy,SLE,0.00022172465378099342,Both age groups,perez_sle,SLE,CD4T
ELF1,8.707650115313842e-10,1.0176275503544172,healthy,SLE,1.4727032409792537e-09,Both age groups,perez_sle,SLE,CD4T
ELF2,0.0002439759461571869,0.39396814111027556,healthy,SLE,0.00031209105802848275,Both age groups,perez_sle,SLE,CD4T
ELF4,4.540740506434985e-21,1.0209868934877875,healthy,SLE,2.2885332152432326e-20,Both age groups,perez_sle,SLE,CD4T
ELK3,1.0473963133077746e-25,1.5625073706142887,healthy,SLE,3.038340014847696e-24,Both age groups,perez_sle,SLE,CD4T
ELK4,0.7651940760849201,-0.1288076727175187,healthy,SLE,0.774413281820883,Both age groups,perez_sle,SLE,CD4T
EOMES,2.6937347758591897e-14,0.6240549768418728,healthy,SLE,6.227717096481796e-14,Both age groups,perez_sle,SLE,CD4T
ETS1,0.03174884192986186,-1.5173618331598533,healthy,SLE,0.03555870296144528,Both age groups,perez_sle,SLE,CD4T
ETV3,1.565700312284672e-07,0.46903864752588076,healthy,SLE,2.348550468427008e-07,Both age groups,perez_sle,SLE,CD4T
ETV6,6.754670563253999e-20,1.3150722297303457,healthy,SLE,3.0396017534643e-19,Both age groups,perez_sle,SLE,CD4T
ETV7,6.205495116855948e-24,0.9901972939237411,healthy,SLE,7.704751805460958e-23,Both age groups,perez_sle,SLE,CD4T
FLI1,3.364520106440217e-23,0.9103424468975501,healthy,SLE,3.028068095796195e-22,Both age groups,perez_sle,SLE,CD4T
FOS,1.2849053409777879e-08,1.3831193932606531,healthy,SLE,2.049342695736725e-08,Both age groups,perez_sle,SLE,CD4T
FOSB,1.9038783862593385e-05,0.6323374842146343,healthy,SLE,2.5794481362223292e-05,Both age groups,perez_sle,SLE,CD4T
FOSL2,1.3269876320363854e-15,1.4850113050375526,healthy,SLE,3.377786699728981e-15,Both age groups,perez_sle,SLE,CD4T
FOXJ3,7.120797528949892e-06,0.5804070228946125,healthy,SLE,9.805688400521164e-06,Both age groups,perez_sle,SLE,CD4T
FOXK1,0.10876543536761975,0.08255041517447692,healthy,SLE,0.11564932368202606,Both age groups,perez_sle,SLE,CD4T
FOXO1,2.523300927752343e-10,-0.8941924741951546,healthy,SLE,4.509729317685039e-10,Both age groups,perez_sle,SLE,CD4T
FOXP1,1.1242500555789575e-14,-2.522907019754422,healthy,SLE,2.698200133389498e-14,Both age groups,perez_sle,SLE,CD4T
GATA3,3.17588722206133e-25,3.4056809410843307,healthy,SLE,6.669363166328794e-24,Both age groups,perez_sle,SLE,CD4T
GATAD2A,4.45284752341371e-15,0.6999003375070956,healthy,SLE,1.100115270490446e-14,Both age groups,perez_sle,SLE,CD4T
GATAD2B,6.339699876269973e-05,0.5535973173242494,healthy,SLE,8.408444046421228e-05,Both age groups,perez_sle,SLE,CD4T
GFI1B,3.218673286777964e-08,0.49694841056743144,healthy,SLE,5.037923405391596e-08,Both age groups,perez_sle,SLE,CD4T
GTF2I,1.832844801529199e-11,0.5954015357431341,healthy,SLE,3.5804410076384354e-11,Both age groups,perez_sle,SLE,CD4T
GTF3A,3.4508151250428333e-12,1.7478401004022501,healthy,SLE,7.012946867022532e-12,Both age groups,perez_sle,SLE,CD4T
HBP1,0.4360522327371297,-0.003963616575531681,healthy,SLE,0.44308533326514793,Both age groups,perez_sle,SLE,CD4T
HIF1A,0.029806171371961135,-0.24308316975667932,healthy,SLE,0.03353194279345628,Both age groups,perez_sle,SLE,CD4T
HIVEP1,0.0005414783409902353,-0.44631182465392216,healthy,SLE,0.0006788683678086531,Both age groups,perez_sle,SLE,CD4T
HLF,3.368104057727225e-22,1.339470725473739,healthy,SLE,2.176313391146822e-21,Both age groups,perez_sle,SLE,CD4T
HMBOX1,1.4627413518445558e-10,0.45772167959289867,healthy,SLE,2.6518764076606336e-10,Both age groups,perez_sle,SLE,CD4T
HMG20B,2.3098738075449705e-15,0.3829719241615406,healthy,SLE,5.763249500013194e-15,Both age groups,perez_sle,SLE,CD4T
HSF1,5.509248277028507e-15,0.42616168583268,healthy,SLE,1.3478937532147417e-14,Both age groups,perez_sle,SLE,CD4T
HSF2,8.148718059441155e-07,-0.3562800976845806,healthy,SLE,1.1471938273626654e-06,Both age groups,perez_sle,SLE,CD4T
IKZF1,0.0007776432693959635,-1.4321057678040603,healthy,SLE,0.0009653502654570582,Both age groups,perez_sle,SLE,CD4T
IKZF2,6.001909743218336e-17,0.7492110171383466,healthy,SLE,1.8444893357207567e-16,Both age groups,perez_sle,SLE,CD4T
IKZF3,3.659017090455661e-16,1.465148348976565,healthy,SLE,9.914755987041144e-16,Both age groups,perez_sle,SLE,CD4T
IKZF5,0.17241068540104942,0.15827553006277517,healthy,SLE,0.1795350938886961,Both age groups,perez_sle,SLE,CD4T
IRF1,4.260262849113149e-21,2.2711238355539933,healthy,SLE,2.1909923224010482e-20,Both age groups,perez_sle,SLE,CD4T
IRF2,3.864966610743427e-20,0.9970349160110654,healthy,SLE,1.8376822375610256e-19,Both age groups,perez_sle,SLE,CD4T
IRF3,5.635205121171764e-11,0.5792864680228647,healthy,SLE,1.0597549929367795e-10,Both age groups,perez_sle,SLE,CD4T
IRF4,0.02796659195425078,-0.08555670198795678,healthy,SLE,0.03174586113725764,Both age groups,perez_sle,SLE,CD4T
IRF5,6.991313068574611e-24,1.4793128219953022,healthy,SLE,8.008231333094555e-23,Both age groups,perez_sle,SLE,CD4T
IRF7,4.671491366785959e-30,2.2744364935001435,healthy,SLE,3.9240527481002057e-28,Both age groups,perez_sle,SLE,CD4T
IRF9,4.129320469615749e-32,1.6992469121802838,healthy,SLE,1.0405887583431688e-29,Both age groups,perez_sle,SLE,CD4T
JUN,3.134410451686009e-11,1.5745775552602765,healthy,SLE,6.075934106345187e-11,Both age groups,perez_sle,SLE,CD4T
JUNB,0.0001348560934493999,0.7886858024436112,healthy,SLE,0.00017699862265233737,Both age groups,perez_sle,SLE,CD4T
JUND,7.120797528949892e-06,0.9024796288970762,healthy,SLE,9.805688400521164e-06,Both age groups,perez_sle,SLE,CD4T
KAT7,2.852742026988167e-12,0.9323335453966628,healthy,SLE,5.892549104926378e-12,Both age groups,perez_sle,SLE,CD4T
KDM2A,0.019987018980724938,0.5317075961992366,healthy,SLE,0.022790627978021196,Both age groups,perez_sle,SLE,CD4T
KDM5B,7.23317603473488e-18,0.520085170970205,healthy,SLE,2.3983688957278816e-17,Both age groups,perez_sle,SLE,CD4T
KLF10,2.5731861193753293e-25,2.3318873178099633,healthy,SLE,5.8949354734780275e-24,Both age groups,perez_sle,SLE,CD4T
KLF12,0.04546609773886084,0.5805781620680399,healthy,SLE,0.050252002764004086,Both age groups,perez_sle,SLE,CD4T
KLF13,1.6685856948567213e-13,1.056307928084168,healthy,SLE,3.5634202974906254e-13,Both age groups,perez_sle,SLE,CD4T
KLF2,0.00016507491125915993,0.70485248476351,healthy,SLE,0.000215538226100043,Both age groups,perez_sle,SLE,CD4T
KLF3,0.05877334473498145,-0.26247089211958397,healthy,SLE,0.06384001238454882,Both age groups,perez_sle,SLE,CD4T
KLF6,1.085121433874177e-25,4.095682590725865,healthy,SLE,3.038340014847696e-24,Both age groups,perez_sle,SLE,CD4T
KLF7,4.6889847094593395e-14,-0.707911498903818,healthy,SLE,1.0645262583637419e-13,Both age groups,perez_sle,SLE,CD4T
KLF8,9.710613645117631e-22,1.047742607756442,healthy,SLE,5.690871252487542e-21,Both age groups,perez_sle,SLE,CD4T
KLF9,0.09120019362420949,-0.3315340669182856,healthy,SLE,0.09779765443957783,Both age groups,perez_sle,SLE,CD4T
KMT2A,0.0005585442184159069,0.8168614625384514,healthy,SLE,0.0006967977378257848,Both age groups,perez_sle,SLE,CD4T
LCOR,8.2458382510548e-09,0.9450675305924374,healthy,SLE,1.3320200251703907e-08,Both age groups,perez_sle,SLE,CD4T
LEF1,2.590651354444465e-22,-2.9516615948288694,healthy,SLE,1.71801089821054e-21,Both age groups,perez_sle,SLE,CD4T
MAF,3.847109963410935e-23,1.826346395250603,healthy,SLE,3.231572369265186e-22,Both age groups,perez_sle,SLE,CD4T
MAFF,0.0004135239720312649,0.4209741517455896,healthy,SLE,0.0005236584972456219,Both age groups,perez_sle,SLE,CD4T
MAX,2.8368808865086988e-14,0.6840500197391286,healthy,SLE,6.499036212729019e-14,Both age groups,perez_sle,SLE,CD4T
MAZ,7.504207578436998e-19,0.7523519062440212,healthy,SLE,2.9533495010386956e-18,Both age groups,perez_sle,SLE,CD4T
MBD2,3.0461170024254604e-21,0.8085815362831117,healthy,SLE,1.6332372013004597e-20,Both age groups,perez_sle,SLE,CD4T
MBD4,4.081800355523428e-08,0.16067653949114025,healthy,SLE,6.310513433079164e-08,Both age groups,perez_sle,SLE,CD4T
MEF2A,0.0003372828658202628,-0.6343694929787773,healthy,SLE,0.0004292691019530618,Both age groups,perez_sle,SLE,CD4T
MEF2D,2.767846057291397e-19,0.9174520173162755,healthy,SLE,1.1434380433400526e-18,Both age groups,perez_sle,SLE,CD4T
MGA,5.893493128835181e-11,0.8372640097290613,healthy,SLE,1.0920296091665189e-10,Both age groups,perez_sle,SLE,CD4T
MLX,8.425014780866584e-23,0.7402905026307876,healthy,SLE,6.244422719936409e-22,Both age groups,perez_sle,SLE,CD4T
MSC,1.5807834846326179e-22,1.4299235143107354,healthy,SLE,1.1381641089354849e-21,Both age groups,perez_sle,SLE,CD4T
MTF2,4.585593840656282e-20,0.5323974706335471,healthy,SLE,2.1399437923062652e-19,Both age groups,perez_sle,SLE,CD4T
