gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ADNP,0.07176140492083988,0.06114824274821151,868,0.10579589674011963,,aging,soundlife,CD4T
ADNP2,0.024512490854905117,0.07633463625414383,868,0.06579076934331311,,aging,soundlife,CD4T
AEBP1,6.289165941037269e-15,-0.26047488320470225,868,2.302533530635311e-13,,aging,soundlife,CD4T
AEBP2,0.014893304616283238,0.08262574831782471,868,0.06547432210000005,,aging,soundlife,CD4T
AHCTF1,0.030714332802106812,0.0733476674895433,868,0.0679804894307293,,aging,soundlife,CD4T
AHR,7.901600238736443e-13,0.23990945651392648,868,2.3668884351487802e-11,,aging,soundlife,CD4T
AKAP8,0.0320617592684638,0.07276825994313708,868,0.06844093249213669,,aging,soundlife,CD4T
AKAP8L,0.040470704808444564,0.06956059730136795,868,0.07586225540702923,,aging,soundlife,CD4T
AKNA,0.01269571786309432,0.08456083632568438,868,0.06547432210000005,,aging,soundlife,CD4T
ANKZF1,0.05419656416206088,0.06537195152383557,868,0.08906617402194045,,aging,soundlife,CD4T
ARHGAP35,1.1343727478038783e-07,0.17882625071265998,868,1.7384921879133856e-06,,aging,soundlife,CD4T
ARID2,0.049321109933542294,0.06674554470372726,868,0.08355427106993411,,aging,soundlife,CD4T
ARID3A,0.29004129451878446,0.03595211194687596,868,0.32451139743273166,,aging,soundlife,CD4T
ARID3B,0.014429276696412375,0.08301233233975035,868,0.06547432210000005,,aging,soundlife,CD4T
ARID5A,0.023267657564422027,0.07701182887120395,868,0.06579076934331311,,aging,soundlife,CD4T
ARID5B,1.5995710183490074e-12,0.23674490381453206,868,4.583118700399982e-11,,aging,soundlife,CD4T
ARNT,0.012870725651670906,0.08439631489633621,868,0.06547432210000005,,aging,soundlife,CD4T
ASH1L,0.9679950561662634,0.001363828451840487,868,0.9679950561662634,,aging,soundlife,CD4T
ATF1,0.030716807517469722,0.07334658354042754,868,0.0679804894307293,,aging,soundlife,CD4T
ATF2,0.018745571615897363,0.07977072739304311,868,0.06547432210000005,,aging,soundlife,CD4T
ATF3,0.0018158848719882948,0.10571459017804763,868,0.015341899110772902,,aging,soundlife,CD4T
ATF4,0.00038597917455296355,0.12021359459642421,868,0.003974379312975046,,aging,soundlife,CD4T
ATF5,0.11044412783961474,0.0542168382674533,868,0.14556536049261223,,aging,soundlife,CD4T
ATF6,0.05554904649442744,0.06500922356846589,868,0.08964332417680443,,aging,soundlife,CD4T
ATF6B,0.06150212694419358,0.06349490990972526,868,0.09555316899203353,,aging,soundlife,CD4T
ATF7,0.017673772474679293,0.08050919069317147,868,0.06547432210000005,,aging,soundlife,CD4T
ATMIN,0.18057131451511738,0.045490579399183224,868,0.21635726593720428,,aging,soundlife,CD4T
BACH1,0.03743691810986902,0.07064616315478214,868,0.07234761985842057,,aging,soundlife,CD4T
BACH2,4.130427484342391e-29,-0.3672787503839841,868,3.0243907913129286e-27,,aging,soundlife,CD4T
BATF,2.722518941936471e-17,0.2816538434670114,868,1.2815285590972388e-15,,aging,soundlife,CD4T
BAZ2A,0.0646036653616833,0.06275349790056169,868,0.09817459936976657,,aging,soundlife,CD4T
BAZ2B,0.005523893278447949,0.09410871943768355,868,0.04184190425858849,,aging,soundlife,CD4T
