"gene","meta_p","meta_p_adj"
"ADNP",6.21098148956265e-09,8.11619053544076e-09
"ADNP2",1.49004602069927e-10,3.36526294311726e-10
"AEBP1",2.79429301109549e-08,3.42060006530655e-08
"AEBP2",3.92463999926192e-10,6.94693894606196e-10
"AHCTF1",2.65246642129027e-09,3.71694307720282e-09
"AHDC1",2.32911292021047e-10,4.65094736254528e-10
"AHR",6.55469258792196e-06,7.25900964243003e-06
"AKAP8",4.07475507930511e-11,1.46700702673737e-10
"AKAP8L",7.91607980444187e-11,2.28885746381826e-10
"AKNA",4.78469775248603e-09,6.36962888299703e-09
"ANKZF1",2.49594515372718e-10,4.88608562214211e-10
"ARHGAP35",2.50039123386615e-10,4.88608562214211e-10
"ARID2",3.1717640313129e-09,4.38692038097175e-09
"ARID3A",0.0775083905482414,0.0786156532703591
"ARID3B",2.9164909348057e-08,3.56336081709529e-08
"ARID5A",7.30155944236393e-14,2.4186128697246e-12
"ARID5B",1.34244162219376e-08,1.69195305045723e-08
"ARNT",2.45270245947304e-10,4.85225037648071e-10
"ASCL2",0.000234495222123902,0.000250154335454379
"ASH1L",6.78443052279076e-09,8.82943198383563e-09
"ATF1",7.66059725569386e-11,2.23039012913805e-10
"ATF2",8.66623704664284e-10,1.33761484850357e-09
"ATF4",6.04536782940438e-06,6.70657993574549e-06
"ATF5",0.00412529388923895,0.00426547377867911
"ATF6",1.14800291091588e-10,2.88808606328838e-10
"ATF6B",4.1094563033801e-11,1.46700702673737e-10
"ATF7",9.22184507543168e-10,1.39638838938409e-09
"ATMIN",7.63949567690922e-12,5.5877567035912e-11
"BACH1",3.04811703848334e-11,1.30334101301288e-10
"BACH2",0.000517730017758049,0.000547730929383102
"BATF",1.82528905973995e-05,2.00061699686763e-05
"BAZ2A",1.52719343414274e-12,1.9915849069739e-11
"BAZ2B",8.51074173381481e-11,2.36489307424668e-10
"BBX",1.61509964873575e-11,9.13317411984197e-11
"BCL11A",9.51224578153847e-09,1.22546876096836e-08
"BCL11B",2.87552692943813e-06,3.21797146744478e-06
"BCL6",9.64490113436827e-17,1.54077295621533e-14
"BHLHE40",3.70178303144296e-06,4.12816641726361e-06
"BPTF",2.22590768945312e-12,2.4523362302768e-11
"CAMTA1",2.05630686473981e-08,2.55638149137886e-08
"CAMTA2",1.02892403750829e-10,2.68064084518923e-10
"CARF",7.89060273011316e-10,1.23884401585806e-09
"CC2D1A",8.95011273671648e-11,2.43366895266461e-10
"CDC5L",9.05177364493065e-11,2.45088277928419e-10
"CEBPB",1.6459392693512e-09,2.37953663600773e-09
"CEBPD",2.41885411538018e-15,1.93205972465992e-13
"CEBPG",2.23242287002706e-08,2.76457018206839e-08
"CEBPZ",1.15648438587948e-10,2.8980138140274e-10
"CENPT",2.29061576017759e-11,1.13290514298755e-10
"CENPX",1.80880666113894e-12,2.18080652163732e-11
