gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ADNP,1e-20,0.5192946628011768,621,1.2785038162259845e-43,healthy,aging,aida,CD8T
ADNP2,1.760749024213109e-13,0.2897976276824162,621,2.0734400650881645e-13,healthy,aging,aida,CD8T
AEBP1,1e-20,-0.521320385206043,621,5.529123302897797e-44,healthy,aging,aida,CD8T
AEBP2,1e-20,0.5165331730363065,621,3.8809160907421854e-43,healthy,aging,aida,CD8T
AHCTF1,1e-20,0.5056223523630761,621,3.207394385712171e-41,healthy,aging,aida,CD8T
AHR,8.125253100785336e-05,-0.1574635634491965,621,8.839386674096545e-05,healthy,aging,aida,CD8T
AKAP8,1e-20,0.5317787729882156,621,9.376005149014842e-46,healthy,aging,aida,CD8T
AKAP8L,1e-20,0.5036467554723973,621,6.968208714249581e-41,healthy,aging,aida,CD8T
AKNA,1e-20,0.48932075820377524,621,2.0039900763930668e-38,healthy,aging,aida,CD8T
ANKZF1,1.000000000014033e-20,-0.4453022359116442,621,2.1068471339332067e-31,healthy,aging,aida,CD8T
ARHGAP35,1e-20,0.5242893194113789,621,1.7137469154012797e-44,healthy,aging,aida,CD8T
ARID2,1e-20,0.5076218340612652,621,1.4183260908014477e-41,healthy,aging,aida,CD8T
ARID3A,1e-20,0.5100254527175924,621,5.250676620112246e-42,healthy,aging,aida,CD8T
ARID3B,1e-20,0.5308887944838135,621,1.357789221938288e-45,healthy,aging,aida,CD8T
ARID5A,0.0008133446926195187,0.1340225672413885,621,0.0008712172957482153,healthy,aging,aida,CD8T
ARID5B,1e-20,0.5195439119204749,621,1.152556453573752e-43,healthy,aging,aida,CD8T
ARNT,1e-20,0.5337917635124783,621,4.698056875880368e-46,healthy,aging,aida,CD8T
ASCL2,1.000000000000001e-20,0.4716349229074248,621,1.7252460443414708e-35,healthy,aging,aida,CD8T
ASH1L,0.03192501871323549,-0.08610340274895836,621,0.03305248219939065,healthy,aging,aida,CD8T
ATF1,1e-20,0.541467583751065,621,3.9582449506601994e-47,healthy,aging,aida,CD8T
ATF2,1e-20,0.52423756481798,621,1.7400412962477674e-44,healthy,aging,aida,CD8T
ATF3,0.03625512001705111,0.08405211633185627,621,0.03746586614006952,healthy,aging,aida,CD8T
ATF4,0.005675191600441865,-0.11087595817840475,621,0.005986897199708558,healthy,aging,aida,CD8T
ATF6,0.24675135826439032,-0.04654860762075373,621,0.2512623520169386,healthy,aging,aida,CD8T
ATF6B,1e-20,0.5301687665352648,621,1.797266971948609e-45,healthy,aging,aida,CD8T
ATF7,1e-20,0.5307130794938286,621,1.4174027607041348e-45,healthy,aging,aida,CD8T
ATMIN,1e-20,0.5092223166665205,621,7.370227357025513e-42,healthy,aging,aida,CD8T
BACH1,1.0000000263789881e-20,0.4226844259605833,621,3.6100974016353993e-28,healthy,aging,aida,CD8T
BACH2,1e-20,-0.48646109761936857,621,6.055827631414505e-38,healthy,aging,aida,CD8T
BATF,1e-20,0.4918467583029916,621,7.541643827846726e-39,healthy,aging,aida,CD8T
BAZ2A,1.0000000000000001e-20,0.47586383710013896,621,3.552352483648371e-36,healthy,aging,aida,CD8T
BAZ2B,1e-20,0.5254786725492668,621,1.0910659910797027e-44,healthy,aging,aida,CD8T
BBX,1.0000000000001244e-20,0.4586584047317633,621,1.941184941719285e-33,healthy,aging,aida,CD8T
BCL11B,1e-20,-0.4932205232075761,621,4.372472122484438e-39,healthy,aging,aida,CD8T
BCL6,1e-20,0.49915362969439986,621,4.147151636937793e-40,healthy,aging,aida,CD8T
BHLHE40,1e-20,0.4899751217287382,621,1.557626564388141e-38,healthy,aging,aida,CD8T
BPTF,1.0000000008451129e-20,0.4332196060304914,621,1.2039076192008934e-29,healthy,aging,aida,CD8T
CAMTA1,1e-20,0.5507705032429403,621,1.3946012889963833e-48,healthy,aging,aida,CD8T
CAMTA2,1e-20,0.502609583395583,621,1.0497038858412591e-40,healthy,aging,aida,CD8T
CARF,1.0000034289833318e-20,-0.40711463924566543,621,4.5692433393429e-26,healthy,aging,aida,CD8T
CASZ1,1e-20,0.5209182282057153,621,6.521995905702981e-44,healthy,aging,aida,CD8T
CC2D1A,1e-20,0.5285639981985464,621,3.164037413485593e-45,healthy,aging,aida,CD8T
