"gene","meta_p","meta_p_adj"
"ADNP",7.95125803359509e-54,1.44262238589983e-53
"ADNP2",4.63653879081812e-34,5.47150870018156e-34
"AEBP1",3.10336286996361e-60,1.72962127843075e-58
"AEBP2",1.07722599440009e-54,2.24724673738145e-54
"AHCTF1",2.88441820082859e-54,5.65711597838564e-54
"AHR",9.95108078444996e-18,1.09324496981038e-17
"AKAP8",3.96105468639085e-55,8.75518833460199e-55
"AKAP8L",1.39374408401791e-52,2.16243859275203e-52
"AKNA",5.30009798918323e-55,1.14869828014594e-54
"ANKZF1",1.19734350959968e-55,3.14585063607086e-55
"ARHGAP35",5.29159261051e-58,5.28381998781261e-57
"ARID2",2.87775876576305e-55,6.67879846887508e-55
"ARID3A",7.98501019454794e-59,1.48255022612107e-57
"ARID3B",3.9949812891623e-56,1.20935031416489e-55
"ARID5A",1.13329472575472e-24,1.28041615059915e-24
"ARID5B",4.43580389685873e-58,4.75142840490445e-57
"ARNT",7.68919182168928e-56,2.08920968033216e-55
"ASCL2",1.02098243344183e-53,1.8285762553926e-53
"ASH1L",1.51594005516582e-16,1.66216261954205e-16
"ATF1",3.42125566123061e-56,1.07058393444126e-55
"ATF2",3.57781603948839e-57,2.14284250967208e-56
"ATF3",0.000369836952734125,0.000377980151693409
"ATF4",1.33804181334257e-14,1.44435908920893e-14
"ATF6",1.4198829862701e-11,1.51218895478479e-11
"ATF6B",1.11020573889617e-56,4.72049310355089e-56
"ATF7",6.93747092011361e-57,3.19394373446189e-56
"ATMIN",9.38162914057912e-57,4.11462002464769e-56
"BACH1",1.05160529757147e-46,1.35275785391988e-46
"BACH2",8.10004682925553e-58,7.16146997443704e-57
"BATF",1.88884668658e-56,6.89970960512791e-56
"BAZ2A",1.09848624119547e-53,1.94780080874594e-53
"BAZ2B",9.32704806904748e-58,7.75397876784992e-57
"BBX",2.17586261927042e-49,2.94879678572658e-49
"BCL11B",2.72415290279925e-58,3.70086138258337e-57
"BCL6",1.33536795393876e-54,2.73028439353338e-54
"BHLHE40",4.54027262857752e-56,1.3451765181477e-55
"BPTF",3.13445204573484e-48,4.12739902949008e-48
"CAMTA1",3.51280020062391e-57,2.12677142581252e-56
"CAMTA2",1.79833428287599e-55,4.51519203599827e-55
"CARF",8.3848129164608e-51,1.18236475809333e-50
"CASZ1",7.20534558559105e-56,1.99670521948966e-55
"CC2D1A",2.09041508067343e-55,5.12934449310618e-55
"CDC5L",4.74867835641314e-56,1.39947822461488e-55
"CEBPA",2.36223271925481e-54,4.64934142977008e-54
"CEBPB",2.05286905600674e-55,5.05950470883077e-55
"CEBPD",2.8940118070353e-55,6.68864969509817e-55
"CEBPG",8.01645217429597e-57,3.60093859764747e-56
"CEBPZ",0.0872840878962151,0.0875986251498952
"CENPB",3.63442167215242e-59,7.96728075860496e-58
"CENPT",6.10083891951526e-56,1.72495800922335e-55
"CENPX",5.66148505212294e-55,1.21754717144111e-54
"CGGBP1",7.28551415417844e-55,1.54886694041122e-54
"CHAMP1",3.44273601271196e-51,4.92957315959013e-51
"CHCHD3",2.70728753939538e-55,6.33596285480348e-55
"CLOCK",2.11523854666412e-53,3.59203619052414e-53
"CREB1",5.05357899677411e-07,5.25157369627458e-07
"CREB3",7.98261402799332e-57,3.60093859764747e-56
"CREB3L2",9.93950374258307e-58,8.14162291855701e-57
"CREBL2",2.00841748444972e-49,2.7285086313134e-49
"CREBZF",2.52577700700003e-56,8.47504694517479e-56
"CREM",1.25057341887197e-21,1.39593064992322e-21
"CSRNP1",0.000757559583049587,0.000770001255033979
"CTCF",1.71187792208188e-55,4.3739266174294e-55
"CUX1",2.06893948983659e-39,2.48361917206677e-39
"CXXC1",4.17459840108408e-55,9.15453271418832e-55
"CXXC5",4.36734862951498e-57,2.48887851953081e-56
"DBP",3.18923167296698e-54,6.18145776480969e-54
"DDIT3",1.33803876366422e-10,1.41959541211614e-10
"DEAF1",1.22058763153784e-51,1.77975735802769e-51
"DMTF1",1.29922712479643e-54,2.67036719007975e-54
"DNMT1",3.91805264279524e-11,4.16480023289494e-11
"DR1",6.14715199297961e-57,3.05711041079432e-56
"DRAP1",4.94683161528052e-58,5.10256520316898e-57
"E2F3",1.15886420014376e-59,3.44206938125719e-58
"E2F4",2.29063545655908e-56,7.82750889143195e-56
"E4F1",1.64402761789575e-54,3.30586058905391e-54
"EEA1",1.17972909347548e-51,1.72469581382111e-51
"EGR1",1.62448221355958e-05,1.67873208340015e-05
"ELF1",1.33249247623169e-12,1.42456489301546e-12
"ELF2",2.20716377511248e-56,7.6393935405407e-56
"ELF4",1.64166711869776e-54,3.30586058905391e-54
"ELK3",1.84277466266206e-53,3.14854443896554e-53
"ELK4",2.45391986563309e-43,3.02396762203016e-43
"EOMES",1.41802205105948e-60,1.14115022389333e-58
"ETS1",1.37236277589241e-53,2.38132730894727e-53
"ETV3",1.04518491325819e-25,1.18567820098739e-25
"ETV6",5.73143461234095e-57,2.94806621853372e-56
"FAM200B",1.27811195558773e-59,3.44206938125719e-58
"FLI1",5.81296942778941e-56,1.66042254937369e-55
"FOS",2.02549861471975e-45,2.54099713603356e-45
"FOSB",5.08275716334622e-29,5.8373108040904e-29
"FOSL2",7.73406120484379e-55,1.63797417912471e-54
"FOXJ3",0.00170731881001614,0.00173219777263932
"FOXK1",6.18447630570823e-26,7.03010878016221e-26
"FOXK2",8.35608203844139e-48,1.09513828127338e-47
"FOXN2",2.99129329979899e-57,1.9835123428429e-56
"FOXN3",0.0647076607421007,0.065058063237094
"FOXO1",6.29411089438977e-57,3.06928478481391e-56
"FOXO3",8.56521265922771e-57,3.78636781840463e-56
"FOXP1",8.99463611352401e-59,1.57489154662107e-57
"FOXP4",3.71901794836138e-59,7.96728075860496e-58
"GABPA",1.47000232029289e-53,2.54283010063086e-53
"GATA3",2.78548622832349e-60,1.72962127843075e-58
"GATAD2A",1.77606279044472e-56,6.70453072688892e-56
"GATAD2B",5.03230339426045e-47,6.50346401532035e-47
"GFI1",3.0348096262534e-56,1.00023015492494e-55
"GLMP",1.5421324946956e-56,6.09197020954218e-56
"GLYR1",2.32450353457592e-56,7.89480773633407e-56
"GMEB1",2.59305726096255e-55,6.09615973210645e-55
"GPBP1",2.77635684887499e-40,3.34725273771292e-40
"GPBP1L1",1.88334062453578e-55,4.70412882451314e-55
"GTF2B",3.96040789613485e-24,4.46548015819253e-24
"GTF2I",1.24083992464993e-55,3.24482553065733e-55
"GTF2IRD2",3.77270259916785e-44,4.66976743941443e-44
"GTF2IRD2B",7.98312720990053e-19,8.82262272998928e-19
"GTF3A",1.48230776870355e-37,1.76797736010252e-37
"HBP1",1.44378584168398e-05,1.49477456099996e-05
"HES6",6.47060349259738e-53,1.04467424503674e-52
"HHEX",8.9972287810039e-52,1.32578212460825e-51
"HIC2",2.42429010895786e-49,3.26956317358239e-49
"HIF1A",5.53588125885031e-35,6.54667911078476e-35
"HIVEP1",5.23844173247066e-56,1.51181971242806e-55
"HIVEP2",1.52579514457551e-50,2.12466973882139e-50
"HIVEP3",1.98476037035525e-55,4.93531931378515e-55
"HMBOX1",1.00761815871071e-48,1.33311951164338e-48
"HMG20A",3.09409383928144e-51,4.44177904247362e-51
"HMG20B",3.3463452278978e-56,1.05904221132902e-55
"HMGA1",1.02607009938047e-60,1.14115022389333e-58
"HMGN3",1.51496458977844e-48,1.99960965996823e-48
"HOXB2",6.10692165646047e-55,1.30829052409557e-54
"HOXB4",2.86370868295037e-58,3.79782318191275e-57
