gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ADNP,0.11446352219111573,0.06335370641685903,622,0.1452224422512834,healthy,aging,aida,MONO
ADNP2,0.00023806006289232303,0.14684095006631842,622,0.0006232845282999003,healthy,aging,aida,MONO
AEBP2,0.06792685559712439,0.0732445459329981,622,0.09227799250930105,healthy,aging,aida,MONO
AHCTF1,0.1796444863879323,0.05387259077232219,622,0.21692919110995598,healthy,aging,aida,MONO
AHR,0.015202297607646133,-0.09729950502090853,622,0.025018638348583352,healthy,aging,aida,MONO
AKAP8,0.0030923214646181173,0.11844182547545772,622,0.006338708767331088,healthy,aging,aida,MONO
AKAP8L,0.0002081582363203549,0.14818974399123686,622,0.0005555814183389573,healthy,aging,aida,MONO
AKNA,0.39632055232620766,0.03406881303971897,622,0.4484884835754334,healthy,aging,aida,MONO
ANKZF1,0.0009985120835405126,0.13164500077248503,622,0.0022292362795323073,healthy,aging,aida,MONO
ARHGAP35,0.06071760986174373,0.07524727182758037,622,0.08287522104351751,healthy,aging,aida,MONO
ARID2,0.15956549113826435,0.0564654716876618,622,0.19431231056160733,healthy,aging,aida,MONO
ARID3A,0.03458627027000235,0.08474836609396863,622,0.05095061809596254,healthy,aging,aida,MONO
ARID3B,0.0041258798966045,0.11486148683340396,622,0.008280511569491958,healthy,aging,aida,MONO
ARID5A,0.8426437498772807,0.00797556062306881,622,0.8682697673154091,healthy,aging,aida,MONO
ARID5B,6.148136753753687e-13,0.2832200361862024,622,6.438775841022044e-12,healthy,aging,aida,MONO
ARNT,0.9482777714808277,0.002606274822872969,622,0.963329799599571,healthy,aging,aida,MONO
ASCL2,9.673294983176398e-10,0.242010549426327,622,6.555079894414123e-09,healthy,aging,aida,MONO
ASH1L,0.7298830446282424,0.013871748279208986,622,0.7728173413710802,healthy,aging,aida,MONO
ATF1,2.0426922999595166e-07,0.20648332193355354,622,1.0231224041535859e-06,healthy,aging,aida,MONO
ATF2,0.05084238234723372,0.07833767280542989,622,0.0710806122136083,healthy,aging,aida,MONO
ATF3,0.7136652329625355,0.014741728716384768,622,0.7612429151600378,healthy,aging,aida,MONO
ATF4,0.18043003078706454,0.05377564083082843,622,0.2174219617852493,healthy,aging,aida,MONO
ATF5,0.0002691700372373404,0.14559656377070096,622,0.0006952553428193186,healthy,aging,aida,MONO
ATF6,0.36463728823140285,0.03641110067947644,622,0.41590312479462976,healthy,aging,aida,MONO
ATF6B,1.8621545820276492e-16,0.32184529693933045,622,6.462049557405849e-15,healthy,aging,aida,MONO
ATF7,0.0006282908332707949,0.13672406030069184,622,0.0014771245712815423,healthy,aging,aida,MONO
ATMIN,0.7872686099178422,0.010841856835206616,622,0.8229886012934249,healthy,aging,aida,MONO
BACH1,0.7442166804032361,0.013108220723508725,622,0.7851077067990183,healthy,aging,aida,MONO
BACH2,0.17131939681223635,-0.05491993448039124,622,0.2073108667307734,healthy,aging,aida,MONO
BATF,6.21171334961485e-05,-0.1598584813153555,622,0.0001913340582555162,healthy,aging,aida,MONO
BATF3,1.7936382030643077e-16,0.32201141132326366,622,6.462049557405849e-15,healthy,aging,aida,MONO
BAZ2A,0.005444224386718968,0.11132522088150185,622,0.01041818354402035,healthy,aging,aida,MONO
BAZ2B,1.6026200922710234e-05,-0.1720340171630686,622,5.5275998392102324e-05,healthy,aging,aida,MONO
BBX,5.953843396247646e-10,0.24496297070869327,622,4.286767245226305e-09,healthy,aging,aida,MONO
BCL11A,0.0016324952993222082,0.1260544037217427,622,0.0035350274150736534,healthy,aging,aida,MONO
BCL11B,0.03734581021928611,-0.083501261109485,622,0.054735843985518576,healthy,aging,aida,MONO
BCL6,0.4652363012545847,-0.02933313139793988,622,0.5153386721589246,healthy,aging,aida,MONO
BHLHE40,0.7466811610764865,-0.012977424352736081,622,0.7862675480439785,healthy,aging,aida,MONO
BPTF,0.6656586585207045,0.017359801152410953,622,0.7153346778132944,healthy,aging,aida,MONO
CAMTA1,9.466678436725631e-10,-0.2421427176125826,622,6.491436642257576e-09,healthy,aging,aida,MONO
CAMTA2,9.175386665193074e-05,0.15618448508896704,622,0.00026964401628322497,healthy,aging,aida,MONO
CARF,0.4605581776047255,-0.029641340923805166,622,0.5121264677612392,healthy,aging,aida,MONO
CC2D1A,0.00018329769290070197,0.1494573264395657,622,0.0004956782681258419,healthy,aging,aida,MONO
CDC5L,0.0004116124602156394,0.14121498511821617,622,0.0010131999020692663,healthy,aging,aida,MONO
CEBPA,2.462416728136655e-13,0.28788518157005905,622,2.7275999573206027e-12,healthy,aging,aida,MONO
CEBPB,2.7382916649843697e-13,0.2873482031058401,622,2.975954606473579e-12,healthy,aging,aida,MONO
CEBPD,3.8857631592481305e-09,-0.2333292520925389,622,2.4595599777155643e-08,healthy,aging,aida,MONO
CEBPG,0.0022230696467567053,0.12242692451127549,622,0.004690589937283228,healthy,aging,aida,MONO
CEBPZ,8.218839209553438e-08,0.21296407758012056,622,4.3036830770020043e-07,healthy,aging,aida,MONO
CENPB,0.3685459040419947,0.03611553679815382,622,0.4195305152731007,healthy,aging,aida,MONO
CENPT,0.0006647862131500406,0.13611425090537904,622,0.0015378187099374433,healthy,aging,aida,MONO
CENPX,8.08289701927046e-10,0.24310772744957607,622,5.639515252765377e-09,healthy,aging,aida,MONO
CGGBP1,0.010969793412013843,0.10193072914918726,622,0.018974777793753676,healthy,aging,aida,MONO
