source,target,weight,promotor_based,cell_type,sample_size,gene_size
LEF1,NKG7,-0.5918973062877527,False,CD8T,388290,10125
JUNB,FOS,0.5664555017564139,True,CD8T,388290,10125
FOS,JUNB,0.5664555017564138,True,CD8T,388290,10125
LEF1,CCL5,-0.5636778952448229,False,CD8T,388290,10125
FOS,DUSP1,0.5494377460704593,True,CD8T,388290,10125
LEF1,CST7,-0.5450318406141028,False,CD8T,388290,10125
FOS,JUN,0.5308067975133209,True,CD8T,388290,10125
JUN,FOS,0.5308067975133208,True,CD8T,388290,10125
TCF7,NKG7,-0.516337604557642,False,CD8T,388290,10125
LEF1,CCR7,0.5126869705829842,False,CD8T,388290,10125
LEF1,GZMA,-0.5086642266748113,False,CD8T,388290,10125
LEF1,S100A4,-0.4966576320137584,True,CD8T,388290,10125
JUN,DUSP1,0.4877521745282375,True,CD8T,388290,10125
JUN,JUNB,0.4807567206375045,True,CD8T,388290,10125
JUNB,JUN,0.4807567206375045,True,CD8T,388290,10125
ZEB2,GZMH,0.4783000876161624,False,CD8T,388290,10125
ZEB2,RPL13,-0.4643973116859177,True,CD8T,388290,10125
JUNB,DUSP1,0.4632433136069779,True,CD8T,388290,10125
ZEB2,RPS13,-0.4618157405303313,True,CD8T,388290,10125
ZEB2,RPL32,-0.46142755522972134,True,CD8T,388290,10125
ZEB2,RPS8,-0.4600473253292675,True,CD8T,388290,10125
BACH2,NKG7,-0.45694801726119916,False,CD8T,388290,10125
LEF1,NELL2,0.4549386142756984,False,CD8T,388290,10125
ZEB2,NKG7,0.45322646384507953,False,CD8T,388290,10125
ZEB2,RPS12,-0.44890906115925083,True,CD8T,388290,10125
TCF7,CST7,-0.4465479897258833,False,CD8T,388290,10125
ZEB2,EEF1A1,-0.4434044167104437,True,CD8T,388290,10125
ZEB2,RPLP1,-0.4371027993203859,True,CD8T,388290,10125
ZEB2,RPS3A,-0.43421034956433335,True,CD8T,388290,10125
JUNB,GZMH,-0.4333841534870617,True,CD8T,388290,10125
LEF1,RPS13,0.430896864585721,True,CD8T,388290,10125
TCF7,GZMH,-0.43064409141983445,False,CD8T,388290,10125
ZEB2,RPL11,-0.42931907789533985,True,CD8T,388290,10125
BACH2,CCL5,-0.4292222819109071,False,CD8T,388290,10125
ZEB2,RPS23,-0.42889879922044083,True,CD8T,388290,10125
ZEB2,FGFBP2,0.42752508307916365,False,CD8T,388290,10125
LEF1,GNLY,-0.4265147245460569,False,CD8T,388290,10125
LEF1,MAL,0.42477315396499915,False,CD8T,388290,10125
ZEB2,LTB,-0.42465307854584355,True,CD8T,388290,10125
ZEB2,RPL10,-0.424469505371035,True,CD8T,388290,10125
ZEB2,RPL30,-0.42382005875664974,True,CD8T,388290,10125
JUNB,NKG7,-0.4232295311718337,False,CD8T,388290,10125
ZEB2,GZMB,0.4222459774580763,False,CD8T,388290,10125
TCF7,CCL5,-0.42184608653755734,False,CD8T,388290,10125
ZEB2,RPL18,-0.4202407017870339,True,CD8T,388290,10125
ZEB2,RPS5,-0.4199171218218294,True,CD8T,388290,10125
JUNB,RPL13,0.41916026421104485,False,CD8T,388290,10125
TCF7,S100A4,-0.41897581232750136,True,CD8T,388290,10125
ZEB2,RPL28,-0.4165695362802998,False,CD8T,388290,10125
ZEB2,RPL19,-0.4165218261274639,True,CD8T,388290,10125
BACH2,CST7,-0.4162732278847237,False,CD8T,388290,10125
LEF1,RPS5,0.4150139221085401,False,CD8T,388290,10125
TCF7,GNLY,-0.4145457066230809,False,CD8T,388290,10125
LEF1,GZMH,-0.41415754141550365,False,CD8T,388290,10125
ZEB2,RPS18,-0.4141451312671772,True,CD8T,388290,10125
ZEB2,RPL12,-0.41369407733687674,True,CD8T,388290,10125
TCF7,GZMA,-0.4127538726225636,False,CD8T,388290,10125
LEF1,SH3BGRL3,-0.412661826184066,True,CD8T,388290,10125
ZEB2,TPT1,-0.41265496194916773,True,CD8T,388290,10125
ZEB2,RPL34,-0.4112999431263381,True,CD8T,388290,10125
ZEB2,RPL18A,-0.4107746068958723,True,CD8T,388290,10125
JUNB,RPL32,0.4070562417396394,False,CD8T,388290,10125
JUNB,RPS13,0.40624292285929786,True,CD8T,388290,10125
TCF7,LEF1,0.4060099390455559,True,CD8T,388290,10125
LEF1,TCF7,0.4060099390455559,True,CD8T,388290,10125
LEF1,RPS8,0.4054796565356655,True,CD8T,388290,10125
JUNB,GZMB,-0.40525978282155933,True,CD8T,388290,10125
JUNB,GNLY,-0.40462137762961375,True,CD8T,388290,10125
BACH2,LEF1,0.4042833056045186,False,CD8T,388290,10125
LEF1,BACH2,0.4042833056045186,False,CD8T,388290,10125
LEF1,RPL32,0.4041442274345103,True,CD8T,388290,10125
ZEB2,RPL5,-0.4040188993853802,True,CD8T,388290,10125
JUNB,RPS8,0.40371317255412215,False,CD8T,388290,10125
ZEB2,RPS6,-0.4020886340171682,True,CD8T,388290,10125
JUNB,EEF1A1,0.40081236236493206,True,CD8T,388290,10125
ZEB2,RPS14,-0.4002905459490233,True,CD8T,388290,10125
LEF1,RPS3A,0.39902282216426394,True,CD8T,388290,10125
LEF1,LTB,0.3985494065859902,False,CD8T,388290,10125
JUNB,RPS12,0.3968787929565064,True,CD8T,388290,10125
LEF1,LDHB,0.39631716265804917,True,CD8T,388290,10125
JUNB,FGFBP2,-0.3962640315673813,False,CD8T,388290,10125
ZEB2,RPS25,-0.39526339115969816,True,CD8T,388290,10125
LEF1,CD99,-0.39501221910767786,False,CD8T,388290,10125
ZEB2,CST7,0.3947234785402423,False,CD8T,388290,10125
ZEB2,RPS28,-0.39470281542907126,True,CD8T,388290,10125
TCF7,CCR7,0.39230030461342713,True,CD8T,388290,10125
ZEB2,RPL29,-0.39166613133356454,True,CD8T,388290,10125
LEF1,PRF1,-0.3913245609290385,False,CD8T,388290,10125
LEF1,RPS6,0.38998509608793597,True,CD8T,388290,10125
ZEB2,RPL8,-0.38956515547723936,True,CD8T,388290,10125
ZEB2,RPS15A,-0.3895524635491831,True,CD8T,388290,10125
ZEB2,RPL22,-0.3892330073104801,True,CD8T,388290,10125
FOS,GZMH,-0.38902198698685625,True,CD8T,388290,10125
LEF1,RPL13,0.3882350569063912,True,CD8T,388290,10125
LEF1,RCAN3,0.38819941385943535,True,CD8T,388290,10125
ZEB2,RPS27A,-0.38771805719905933,True,CD8T,388290,10125
ZEB2,RPLP0,-0.38602285440258177,True,CD8T,388290,10125
ZEB2,RPLP2,-0.38595282031997885,True,CD8T,388290,10125
LEF1,EEF1B2,0.3852895053495231,False,CD8T,388290,10125
ZEB2,RPL35A,-0.38314834808418535,True,CD8T,388290,10125
JUNB,RPS3A,0.38280936692858303,True,CD8T,388290,10125
JUNB,RPL11,0.3825014060730106,False,CD8T,388290,10125
BACH2,CCR7,0.38229610514375256,False,CD8T,388290,10125
FOXP1,NKG7,-0.3811948574471116,False,CD8T,388290,10125
TCF7,GZMB,-0.38091043405658137,False,CD8T,388290,10125
LEF1,EFHD2,-0.3781071323189915,False,CD8T,388290,10125
ZEB2,GNLY,0.37808758042291524,False,CD8T,388290,10125
ZEB2,EEF1B2,-0.3780487985143109,True,CD8T,388290,10125
JUNB,RPL30,0.3766978495865294,False,CD8T,388290,10125
LEF1,RPL22,0.3753583893156232,False,CD8T,388290,10125
BACH2,S100A4,-0.3751140537566919,False,CD8T,388290,10125
JUNB,RPLP1,0.3747436578323522,False,CD8T,388290,10125
LEF1,RPL11,0.3742137071370962,True,CD8T,388290,10125
ZEB2,RPL39,-0.3741191692508913,True,CD8T,388290,10125
JUNB,RPL10,0.3733478444657967,False,CD8T,388290,10125
ZEB2,RPL9,-0.3723960225425854,True,CD8T,388290,10125
JUNB,PRF1,-0.3722862488631301,False,CD8T,388290,10125
BACH2,GZMA,-0.3721158474343081,False,CD8T,388290,10125
LEF1,RPL18,0.3719672278449841,True,CD8T,388290,10125
JUNB,RPS23,0.3714585089377047,False,CD8T,388290,10125
JUNB,RPS18,0.37107730426302676,True,CD8T,388290,10125
BACH2,NELL2,0.37096575789764846,False,CD8T,388290,10125
LEF1,RPL5,0.3709347068922864,True,CD8T,388290,10125
LEF1,ACTN1,0.3695953358836762,False,CD8T,388290,10125
ZEB2,RPS4X,-0.368689098140179,True,CD8T,388290,10125
