source,target,weight,promotor_based,cell_type,sample_size,gene_size
FOS,DUSP1,0.4714720532383613,True,NK,199254,9888
FOS,JUN,0.3951506933883229,True,NK,199254,9888
JUN,FOS,0.39515069338832287,True,NK,199254,9888
FOS,ZFP36,0.3911670634723314,False,NK,199254,9888
JUN,DUSP1,0.3703375838618848,True,NK,199254,9888
FOS,JUNB,0.3514426242677654,True,NK,199254,9888
JUNB,FOS,0.3514426242677654,True,NK,199254,9888
TCF7,GZMK,0.33078398276733495,False,NK,199254,9888
JUNB,DUSP1,0.3282264148853898,True,NK,199254,9888
JUNB,ZFP36,0.30525715194174957,False,NK,199254,9888
JUN,JUNB,0.2714043068154916,True,NK,199254,9888
JUNB,JUN,0.27140430681549155,True,NK,199254,9888
TCF7,SELL,0.2678373645906914,False,NK,199254,9888
TCF7,IL7R,0.26756073449951473,False,NK,199254,9888
TCF7,COTL1,0.2673891665895333,False,NK,199254,9888
FOS,CD69,0.2615459323963042,False,NK,199254,9888
JUN,ZFP36,0.2559800684538676,True,NK,199254,9888
FOS,IER2,0.25580824026088467,True,NK,199254,9888
FOS,TSC22D3,0.2519484560022836,False,NK,199254,9888
FOS,NFKBIA,0.24254643894535638,False,NK,199254,9888
RUNX2,GZMK,0.24247855111376085,False,NK,199254,9888
FOS,PPP1R15A,0.2422382110549908,True,NK,199254,9888
FOS,BTG2,0.24195320222710553,False,NK,199254,9888
TCF7,IGFBP4,0.23963289614487224,False,NK,199254,9888
TCF7,XCL1,0.23913710411349573,False,NK,199254,9888
TCF7,CAPG,0.2381991453900248,True,NK,199254,9888
NR4A2,FOS,0.23557821923670083,False,NK,199254,9888
FOS,NR4A2,0.23557821923670083,True,NK,199254,9888
FOS,DUSP2,0.23402025213071556,False,NK,199254,9888
FOS,FOSB,0.23276231817849605,True,NK,199254,9888
FOSB,FOS,0.23276231817849602,True,NK,199254,9888
TCF7,FGFBP2,-0.2277567296317721,False,NK,199254,9888
JUN,NFKBIA,0.22586630616162312,True,NK,199254,9888
FOS,CXCR4,0.2251308811384265,False,NK,199254,9888
JUNB,IER2,0.2215978658491133,True,NK,199254,9888
JUN,CD69,0.22144280586242057,True,NK,199254,9888
NCOA1,B2M,-0.21739754101318962,True,NK,199254,9888
TCF7,GZMB,-0.2107036966279435,False,NK,199254,9888
JUN,BTG2,0.20847211507695695,True,NK,199254,9888
FOS,FGFBP2,-0.20744572086218674,False,NK,199254,9888
TCF7,NKG7,-0.20622952927447108,False,NK,199254,9888
RUNX2,COTL1,0.2060043554143311,False,NK,199254,9888
SMYD3,B2M,-0.2057319535372791,False,NK,199254,9888
NFKB1,B2M,-0.20513161094664578,False,NK,199254,9888
TCF7,CST7,-0.20370545407932836,False,NK,199254,9888
TCF7,GPR183,0.20342131761811894,False,NK,199254,9888
RUNX2,IL7R,0.20341401160159645,False,NK,199254,9888
RUNX2,CAPG,0.20304445668367352,False,NK,199254,9888
FOS,SERTAD1,0.20231004478883724,True,NK,199254,9888
TCF7,SPON2,-0.201390316771675,True,NK,199254,9888
NR4A2,DUSP1,0.19873399611474882,False,NK,199254,9888
ZEB2,EEF1A1,-0.1983574038522171,True,NK,199254,9888
TCF7,PRF1,-0.197452144285253,False,NK,199254,9888
TCF7,S100A4,-0.19744187393301266,True,NK,199254,9888
JUN,IER2,0.19742640185731072,True,NK,199254,9888
NR4A2,ZFP36,0.1961388033732025,False,NK,199254,9888
ZBTB20,B2M,-0.19608092585762643,False,NK,199254,9888
FOS,PRF1,-0.1959483157605574,False,NK,199254,9888
ZEB1,GZMK,0.19531553033308505,False,NK,199254,9888
TCF7,AFF3,0.1951523820940671,False,NK,199254,9888
FOSB,JUN,0.19321712355078444,True,NK,199254,9888
JUN,FOSB,0.19321712355078444,True,NK,199254,9888
ZNF683,CD52,0.19306135291040394,False,NK,199254,9888
RUNX2,IGFBP4,0.1925797393893884,False,NK,199254,9888
JUN,TSC22D3,0.19198519422748916,True,NK,199254,9888
RUNX2,SELL,0.19193984378148385,False,NK,199254,9888
KLF2,B2M,0.19077934148348033,False,NK,199254,9888
JUNB,DUSP2,0.18910356425029368,True,NK,199254,9888
JUNB,CXCR4,0.1887090162549953,True,NK,199254,9888
JUNB,TSC22D3,0.18782683044593018,False,NK,199254,9888
FOS,GZMK,0.18511313511270644,True,NK,199254,9888
FOSB,DUSP1,0.18486848351743498,True,NK,199254,9888
JUNB,CD69,0.18435193934568772,True,NK,199254,9888
BACH2,NKG7,-0.18422104799291047,False,NK,199254,9888
ZEB2,RPS12,-0.18277562433098682,True,NK,199254,9888
FOS,S100A4,-0.18169981467291077,True,NK,199254,9888
JUNB,NFKBIA,0.18099378026857746,True,NK,199254,9888
KLF12,B2M,-0.18048273137643608,True,NK,199254,9888
TCF7,ACTB,-0.1804567605714622,True,NK,199254,9888
TCF7,RUNX2,0.1804062202759509,False,NK,199254,9888
RUNX2,TCF7,0.18040622027595088,False,NK,199254,9888
JUN,PPP1R15A,0.18038104560937782,True,NK,199254,9888
ZEB2,RPLP1,-0.18027984724998827,True,NK,199254,9888
NFKB1,NKG7,-0.18005416122966222,False,NK,199254,9888
ZEB2,RPS15A,-0.1796774959936172,True,NK,199254,9888
ASH1L,B2M,-0.17964968488580696,False,NK,199254,9888
NCOA2,B2M,-0.17798399079661859,False,NK,199254,9888
ZEB2,RPL13,-0.17792150363607054,True,NK,199254,9888
TCF7,CD44,0.17748796025815283,True,NK,199254,9888
ZEB2,RPL10,-0.17706713194145823,True,NK,199254,9888
TCF12,B2M,-0.17681105654122098,True,NK,199254,9888
BACH2,B2M,-0.17563308871654645,False,NK,199254,9888
JUN,CXCR4,0.17497808058505113,False,NK,199254,9888
ZEB2,RPS23,-0.17421159943778314,True,NK,199254,9888
RUNX2,XCL1,0.17414141704466687,False,NK,199254,9888
JUNB,BTG2,0.1737130517653232,True,NK,199254,9888
ZEB2,RPS27A,-0.173516508529045,True,NK,199254,9888
FOS,ZFP36L2,0.17272697753708707,False,NK,199254,9888
RUNX2,GPR183,0.17260755463692767,False,NK,199254,9888
ZEB2,RPS14,-0.17212456445718294,True,NK,199254,9888
FOS,BTG1,0.1720414092168364,True,NK,199254,9888
RUNX2,AFF3,0.1717915543466552,True,NK,199254,9888
BNC2,EEF1A1,-0.17172305206922553,True,NK,199254,9888
ZBTB20,TMSB4X,-0.17157491883249376,False,NK,199254,9888
BNC2,RPS12,-0.17110175448286075,False,NK,199254,9888
ZEB2,RPS19,-0.17063851286077775,True,NK,199254,9888
JUNB,HOOK2,0.1704557928359858,True,NK,199254,9888
NFAT5,B2M,-0.16969401501148587,False,NK,199254,9888
NCOA1,TMSB4X,-0.16968370204737487,True,NK,199254,9888
