source,target,weight,promotor_based,cell_type,sample_size,gene_size
FOS,DUSP1,0.7167365541817509,True,CD8T,316942,9755
LEF1,NKG7,-0.7035928419063712,False,CD8T,316942,9755
LEF1,CCR7,0.6880548848498952,False,CD8T,316942,9755
LEF1,CST7,-0.687446828927533,False,CD8T,316942,9755
TCF7,NKG7,-0.6742786121280157,False,CD8T,316942,9755
LEF1,CCL5,-0.6644367318480293,False,CD8T,316942,9755
LEF1,GZMA,-0.6548950341273404,False,CD8T,316942,9755
ZEB2,GZMH,0.6382537905147518,False,CD8T,316942,9755
TCF7,GZMH,-0.6295045107601538,False,CD8T,316942,9755
ZEB2,NKG7,0.6165720156870854,False,CD8T,316942,9755
LEF1,RPS13,0.6054658184762851,True,CD8T,316942,9755
LEF1,ACTN1,0.6038031157515924,False,CD8T,316942,9755
TCF7,CST7,-0.6025750150918913,False,CD8T,316942,9755
ZEB2,RPL13,-0.596371355950393,True,CD8T,316942,9755
LEF1,NELL2,0.5959334498370875,False,CD8T,316942,9755
LEF1,RPL32,0.5954419502592139,True,CD8T,316942,9755
LEF1,RPS5,0.5945564450237554,False,CD8T,316942,9755
ZEB2,LTB,-0.5939860518683991,True,CD8T,316942,9755
TCF7,RPS13,0.5925163828596158,True,CD8T,316942,9755
TCF7,EFHD2,-0.5920871662559242,False,CD8T,316942,9755
TCF7,RPL13,0.5919754677066928,True,CD8T,316942,9755
ZEB2,FGFBP2,0.5919745076561901,False,CD8T,316942,9755
LEF1,LDHB,0.5918408986955704,True,CD8T,316942,9755
ZEB2,RPS13,-0.5910203755951309,True,CD8T,316942,9755
ZEB2,RPL32,-0.5897920817674573,True,CD8T,316942,9755
TCF7,RPL32,0.5896925217333214,True,CD8T,316942,9755
TCF7,PRF1,-0.5892444423793513,False,CD8T,316942,9755
LEF1,S100A4,-0.5888194038230188,True,CD8T,316942,9755
ZEB2,RPS8,-0.5885094032640423,True,CD8T,316942,9755
LEF1,RPS8,0.5867151642146214,True,CD8T,316942,9755
LEF1,MAL,0.5854388753313893,False,CD8T,316942,9755
ZEB2,GZMB,0.5842236120682968,False,CD8T,316942,9755
TCF7,RPS8,0.5807421468047803,True,CD8T,316942,9755
LEF1,PRF1,-0.5780422149379594,False,CD8T,316942,9755
TCF7,GZMB,-0.5780261095107627,False,CD8T,316942,9755
LEF1,TCF7,0.5760618622070247,True,CD8T,316942,9755
TCF7,LEF1,0.5760618622070247,True,CD8T,316942,9755
LEF1,EFHD2,-0.5755927734851567,False,CD8T,316942,9755
TCF7,GZMA,-0.5752995417451837,False,CD8T,316942,9755
TCF7,RPS5,0.5744878539513848,False,CD8T,316942,9755
LEF1,RPS3A,0.5740292415602081,True,CD8T,316942,9755
ZEB2,RPS12,-0.5732548793607547,True,CD8T,316942,9755
TCF7,CCR7,0.5728903350044116,True,CD8T,316942,9755
TCF7,PABPC1,0.5722730124765376,True,CD8T,316942,9755
LEF1,RPL13,0.5721245208122698,True,CD8T,316942,9755
TCF7,FGFBP2,-0.5719805703670408,False,CD8T,316942,9755
LEF1,RPL22,0.5700245836704246,False,CD8T,316942,9755
ZEB2,RPS5,-0.5693912130879432,True,CD8T,316942,9755
TCF7,RPS12,0.5690794815643938,True,CD8T,316942,9755
LEF1,RPS6,0.5680173768013879,True,CD8T,316942,9755
LEF1,RPS23,0.5677844480483192,True,CD8T,316942,9755
LEF1,RPL11,0.5633969165347513,True,CD8T,316942,9755
FOS,JUNB,0.5632660242637046,True,CD8T,316942,9755
JUNB,FOS,0.5632660242637046,True,CD8T,316942,9755
LEF1,RPS12,0.5625044523647298,True,CD8T,316942,9755
LEF1,EEF1B2,0.5620621675450446,False,CD8T,316942,9755
ZEB2,RPS23,-0.5615273948600559,True,CD8T,316942,9755
LEF1,PABPC1,0.560974732920426,False,CD8T,316942,9755
ZEB2,RPL34,-0.5580626088982477,True,CD8T,316942,9755
TCF7,RPS6,0.5578452446478513,False,CD8T,316942,9755
ZEB2,RPLP1,-0.5572280515901078,True,CD8T,316942,9755
TCF7,RPS23,0.555221488552565,False,CD8T,316942,9755
ZEB2,RPL11,-0.5550448407423115,True,CD8T,316942,9755
TCF7,RPL11,0.5534788817761034,True,CD8T,316942,9755
LEF1,SELL,0.5531260062756242,False,CD8T,316942,9755
TBX21,NKG7,0.552198724101184,True,CD8T,316942,9755
LEF1,RPL18,0.5520273521760256,True,CD8T,316942,9755
ZEB2,EFHD2,0.5518321372015197,True,CD8T,316942,9755
ZEB2,RPL18,-0.5510452589731849,True,CD8T,316942,9755
ZEB2,RPL5,-0.5505585215627377,True,CD8T,316942,9755
TCF7,RPS3A,0.5500037974371035,True,CD8T,316942,9755
ZEB2,RPL19,-0.5497580758558221,True,CD8T,316942,9755
LEF1,RPL19,0.5486816205005551,True,CD8T,316942,9755
TCF7,RPL22,0.547660754021249,False,CD8T,316942,9755
ZEB2,RPL30,-0.546949141683797,True,CD8T,316942,9755
ZEB2,RPS28,-0.5460273231551519,True,CD8T,316942,9755
LEF1,RPL5,0.5457671586344394,True,CD8T,316942,9755
TCF7,RPL5,0.5453303193846197,True,CD8T,316942,9755
FOS,CD69,0.545286176218801,False,CD8T,316942,9755
ZEB2,RPL28,-0.5438579529635561,False,CD8T,316942,9755
LEF1,RPL9,0.5434186960806652,True,CD8T,316942,9755
ZEB2,EEF1A1,-0.5431667350028008,True,CD8T,316942,9755
TCF7,RPL18,0.5426351527977367,True,CD8T,316942,9755
TCF7,RPL34,0.5420561920661272,True,CD8T,316942,9755
ZEB2,RPL18A,-0.541682632833915,True,CD8T,316942,9755
ZEB2,RPL12,-0.5416589411464129,True,CD8T,316942,9755
TCF7,RPS25,0.5415150978045548,True,CD8T,316942,9755
ZEB2,RPL10,-0.5413894133677518,True,CD8T,316942,9755
TCF7,TPT1,0.5413286347661539,True,CD8T,316942,9755
LEF1,RPL34,0.5410326498166752,True,CD8T,316942,9755
LEF1,RPL30,0.5410121374391699,False,CD8T,316942,9755
TCF7,RPS18,0.5408984232663155,True,CD8T,316942,9755
ZEB2,RPS3A,-0.5404014960928103,True,CD8T,316942,9755
TCF7,RPL19,0.5401361364796087,False,CD8T,316942,9755
TCF7,RPL30,0.5399594256182924,False,CD8T,316942,9755
LEF1,TPT1,0.5397265561637684,True,CD8T,316942,9755
LEF1,RPS28,0.5397152920931065,True,CD8T,316942,9755
TCF7,EEF1A1,0.5393004509131439,True,CD8T,316942,9755
NR4A2,TNFAIP3,0.5392220543549034,False,CD8T,316942,9755
TCF7,RPLP1,0.5387843512483065,False,CD8T,316942,9755
ZEB2,CST7,0.5381197139649261,False,CD8T,316942,9755
TCF7,EEF1B2,0.5381085063316334,False,CD8T,316942,9755
ZEB2,RPL8,-0.5380880475665206,True,CD8T,316942,9755
ZEB2,RPL22,-0.5377377855046795,True,CD8T,316942,9755
LEF1,RPS25,0.5377044998771354,True,CD8T,316942,9755
ZEB2,TPT1,-0.5375791162805575,True,CD8T,316942,9755
LEF1,RPL12,0.5375612176124456,True,CD8T,316942,9755
TCF7,CCL5,-0.5369988088433464,False,CD8T,316942,9755
