source,target,weight,promotor_based,cell_type,sample_size,gene_size
FOS,DUSP1,0.7511934390069201,True,NK,167212,9625
FOS,ZFP36,0.613939193822296,False,NK,167212,9625
FOS,CD69,0.5714422686288397,False,NK,167212,9625
FOS,BTG2,0.538871452773405,False,NK,167212,9625
JUN,FOS,0.5270241629675141,True,NK,167212,9625
FOS,JUN,0.527024162967514,True,NK,167212,9625
FOS,NFKBIA,0.5239149708333989,False,NK,167212,9625
JUN,DUSP1,0.505462752602531,True,NK,167212,9625
NR4A2,TNFAIP3,0.5021190540858296,False,NK,167212,9625
FOS,TSC22D3,0.49634351085157913,False,NK,167212,9625
NR4A2,FOS,0.4948931975307243,False,NK,167212,9625
FOS,NR4A2,0.4948931975307243,True,NK,167212,9625
NR4A2,ZFP36,0.48258175555528865,False,NK,167212,9625
NR4A2,DUSP1,0.48197138146113255,False,NK,167212,9625
FOS,JUNB,0.4773546031879445,True,NK,167212,9625
JUNB,FOS,0.4773546031879444,True,NK,167212,9625
FOS,PPP1R15A,0.475596077924522,True,NK,167212,9625
JUNB,DUSP1,0.47163656047123337,True,NK,167212,9625
FOSB,FOS,0.46844265174583305,True,NK,167212,9625
FOS,FOSB,0.468442651745833,True,NK,167212,9625
FOS,TNFAIP3,0.4483249699884628,True,NK,167212,9625
JUNB,ZFP36,0.4338977066595224,False,NK,167212,9625
NR4A2,CXCR4,0.4327386250037527,False,NK,167212,9625
NR4A2,NFKBIA,0.42903598737897736,False,NK,167212,9625
NR4A2,CD69,0.4286489806839169,False,NK,167212,9625
JUN,JUNB,0.4234375312182219,True,NK,167212,9625
JUNB,JUN,0.42343753121822186,True,NK,167212,9625
FOS,CXCR4,0.4225822298400197,False,NK,167212,9625
NR4A2,TSC22D3,0.4195891810781513,False,NK,167212,9625
FOSB,DUSP1,0.41841773609575156,True,NK,167212,9625
TCF7,GZMK,0.4156605066324144,False,NK,167212,9625
JUND,CXCR4,0.40739064385993334,True,NK,167212,9625
NR4A2,BTG2,0.40392548004548334,False,NK,167212,9625
FOS,EIF1,0.400152976841146,True,NK,167212,9625
FOS,BTG1,0.3951324870731974,True,NK,167212,9625
JUNB,IER2,0.3949993711496724,True,NK,167212,9625
NR4A2,YPEL5,0.39494302305257345,False,NK,167212,9625
BHLHE40,TNFAIP3,0.39031141382921997,True,NK,167212,9625
FOS,KLF6,0.3836758808591773,True,NK,167212,9625
KLF6,FOS,0.38367588085917725,True,NK,167212,9625
JUND,ZFP36,0.38267357113817985,True,NK,167212,9625
JUND,EIF1,0.38079217693841305,True,NK,167212,9625
FOSB,BTG2,0.37956373696989143,False,NK,167212,9625
FOS,DUSP2,0.37929701292494367,False,NK,167212,9625
JUN,FOSB,0.37920278943292074,True,NK,167212,9625
FOSB,JUN,0.3792027894329207,True,NK,167212,9625
FOSB,CD69,0.3783517965282298,False,NK,167212,9625
KLF6,DUSP1,0.376983578739492,True,NK,167212,9625
FOS,H3-3B,0.375529282420358,True,NK,167212,9625
CSRNP1,NFKBIA,0.37157915411196246,False,NK,167212,9625
FOSB,ZFP36,0.3706997295811959,True,NK,167212,9625
CSRNP1,ZFP36,0.3689195190570572,False,NK,167212,9625
FOS,YPEL5,0.36832014771600335,True,NK,167212,9625
CSRNP1,FOS,0.3681117441580103,False,NK,167212,9625
FOS,CSRNP1,0.3681117441580103,True,NK,167212,9625
JUN,IER2,0.367680988756843,True,NK,167212,9625
NR4A2,GIMAP7,-0.36706979244853805,False,NK,167212,9625
JUND,YPEL5,0.3661230884739806,True,NK,167212,9625
FOSB,NFKBIA,0.36430533407990284,False,NK,167212,9625
CSRNP1,NR4A2,0.36369616152433903,False,NK,167212,9625
NR4A2,CSRNP1,0.363696161524339,False,NK,167212,9625
JUND,RBM38,0.35687785881667194,True,NK,167212,9625
JUN,CD69,0.3568339990563532,True,NK,167212,9625
JUND,CD81,0.35540695337186845,True,NK,167212,9625
JUN,BTG2,0.3517549972696791,True,NK,167212,9625
NR4A2,DUSP2,0.351279169751513,False,NK,167212,9625
CSRNP1,DUSP1,0.3505519793098769,False,NK,167212,9625
FOSB,NR4A2,0.3494867846915921,True,NK,167212,9625
NR4A2,FOSB,0.3494867846915921,False,NK,167212,9625
NR4A2,EIF1,0.34827099481087975,False,NK,167212,9625
JUND,BTG1,0.34481668200805493,True,NK,167212,9625
JUND,TSC22D3,0.3438332461562478,True,NK,167212,9625
JUNB,CD69,0.34253509771799817,True,NK,167212,9625
FOSB,PPP1R15A,0.34240309240849975,True,NK,167212,9625
JUND,NFKBIA,0.3414036149001686,True,NK,167212,9625
NR4A2,PPP1R15A,0.34097583691652916,False,NK,167212,9625
JUND,FOS,0.3406625260654716,True,NK,167212,9625
FOS,JUND,0.34066252606547154,True,NK,167212,9625
JUN,PPP1R15A,0.3396497630924195,True,NK,167212,9625
NR4A2,TENT5C,0.33734239675814226,False,NK,167212,9625
JUND,CD69,0.33708088678203757,True,NK,167212,9625
TCF7,FGFBP2,-0.3367080500670049,False,NK,167212,9625
JUN,ZFP36,0.33514178729464894,True,NK,167212,9625
JUND,UBALD2,0.33454894918324163,True,NK,167212,9625
JUND,METRNL,0.33437866724039034,True,NK,167212,9625
NR4A2,NR4A3,0.33432266437439895,False,NK,167212,9625
NR4A3,NR4A2,0.33432266437439895,False,NK,167212,9625
NR4A2,CX3CR1,-0.3332961967517713,False,NK,167212,9625
CSRNP1,TNFAIP3,0.3327681392781727,False,NK,167212,9625
FOS,MCL1,0.3326051313505088,True,NK,167212,9625
CSRNP1,CXCR4,0.33253013062221437,False,NK,167212,9625
JUNB,BTG1,0.33171761972394653,False,NK,167212,9625
FOS,CX3CR1,-0.33116034799244815,False,NK,167212,9625
KLF6,CD69,0.33044726177901074,False,NK,167212,9625
JUND,NR4A2,0.32974234433515776,True,NK,167212,9625
NR4A2,JUND,0.32974234433515776,False,NK,167212,9625
JUND,DUSP1,0.3288573589261312,True,NK,167212,9625
KLF2,TSC22D3,0.327408336482272,False,NK,167212,9625
BHLHE40,NFKBIA,0.32721996970905914,True,NK,167212,9625
JUNB,BTG2,0.3270046397851778,True,NK,167212,9625
JUND,DUSP2,0.32694571531880523,True,NK,167212,9625
JUND,FTH1,0.32644904530615293,True,NK,167212,9625
JUND,TNFAIP3,0.3263879730322415,True,NK,167212,9625
CSRNP1,CD69,0.32575331684005987,False,NK,167212,9625
FOSB,TSC22D3,0.3250074411378414,False,NK,167212,9625
BHLHE40,NR4A2,0.324742964140878,True,NK,167212,9625
NR4A2,BHLHE40,0.324742964140878,False,NK,167212,9625
JUNB,EIF1,0.3238717015815651,True,NK,167212,9625
NR4A3,TNFAIP3,0.3237674261163518,False,NK,167212,9625
FOS,GIMAP7,-0.32330000863760966,False,NK,167212,9625
JUND,CX3CR1,-0.32186065589935564,False,NK,167212,9625
TCF7,SELL,0.321283132546797,False,NK,167212,9625
KLF6,TSC22D3,0.32118707760089327,False,NK,167212,9625
FOSB,TNFAIP3,0.3204070524123622,False,NK,167212,9625
TCF7,CAPG,0.3201373920600693,True,NK,167212,9625
BHLHE40,CXCR4,0.31834511613251343,True,NK,167212,9625
CSRNP1,YPEL5,0.3177754853114133,False,NK,167212,9625
NR4A2,BTG1,0.31424087879242857,False,NK,167212,9625
TCF7,GPR183,0.31126024814574565,False,NK,167212,9625
CEBPD,FCER1G,0.31123290364794565,False,NK,167212,9625
JUND,GNAS,0.31074329867512646,True,NK,167212,9625
KLF6,BTG2,0.3096085862800954,True,NK,167212,9625
KLF6,PPP1R15A,0.3090059065475715,True,NK,167212,9625
CSRNP1,TSC22D3,0.30896134789326185,False,NK,167212,9625
JUNB,NFKBIA,0.3083922804227886,True,NK,167212,9625
BHLHE40,ZFP36,0.30772355504154597,True,NK,167212,9625
JUND,MYADM,0.30741420689241805,True,NK,167212,9625
NR4A2,MYADM,0.30728657920161817,False,NK,167212,9625
JUNB,ZFP36L2,0.30494751128721154,False,NK,167212,9625
CSRNP1,BTG2,0.30489647168110434,False,NK,167212,9625
KLF2,DUSP1,0.30295162560566163,False,NK,167212,9625
FOS,BHLHE40,0.3025972439853227,True,NK,167212,9625
BHLHE40,FOS,0.3025972439853227,True,NK,167212,9625
JUND,PTMA,0.3019897445892554,True,NK,167212,9625
FOSB,CXCR4,0.3016885948196368,False,NK,167212,9625
FOS,TENT5C,0.3015438018278602,False,NK,167212,9625
KLF6,JUN,0.30138930652166546,True,NK,167212,9625
