source,target,weight
ADNP,AHNAK,0.04613441219945795
ADNP,B4GALT1,0.03879876511707675
ADNP,C1orf56,0.039097898039468
ADNP,CD74,-0.0479112205553603
ADNP,GPR183,0.04055723314454965
ADNP,HNRNPH1,0.0438000362085224
ADNP,MAP4K4,0.0483865555797754
ADNP,PRKCB,0.054346894135803
ADNP,RAPGEF1,0.044608140023489895
AEBP2,RPL18A,-0.0465513466831599
AEBP2,RPL37,-0.050148168170700905
AHDC1,HCK,0.04526429672854845
AHR,ACP5,0.05085430294407655
AHR,ADGRE5,0.05961820698803885
AHR,AHNAK,0.08126604368945288
AHR,AIM2,0.0551084755208223
AHR,AK8,0.06721800976127405
AHR,ANXA2,0.0650467431669236
AHR,BAIAP3,0.083392975743177
AHR,CAMK4,0.0484545785573939
AHR,CAPG,0.0446245549926505
AHR,CASP8,0.041588162484917146
AHR,CD27,0.0563369283365765
AHR,CD80,0.07287374878519035
AHR,CFLAR,0.048336009012357545
AHR,CHAD,0.05471710042160115
AHR,COCH,0.07644013604419925
AHR,COL18A1,0.0681238571089996
AHR,CORO7,0.058193728182138305
AHR,CPNE5,0.0605570757457166
AHR,CRACR2B,0.05938790390252151
AHR,CRIP1,0.07010259061930366
AHR,CRIP2,0.08447778671331994
AHR,DAAM1,0.05820142211947335
AHR,DENND1B,0.042388180146733054
AHR,DENND4A,0.0417810274364915
AHR,DNAH8,0.0619489437918285
AHR,EBI3,0.056316975112430695
AHR,EML6,0.0443715527381972
AHR,FAU,-0.06684575593697806
AHR,FNBP1,0.05084582539370395
AHR,FUT7,0.0460467964151918
AHR,GAPDH,0.0682264645253117
AHR,GRAMD1C,0.07188138789012591
AHR,GSN,0.0747252333604348
AHR,HOMER3,0.07427966005046945
AHR,HOPX,0.0550852745611133
AHR,HSH2D,0.0439418080112233
AHR,ITGB1,0.0615121359751302
AHR,JPT1,0.0496110089568748
AHR,KLF10,0.06569424949025095
AHR,KLF6,0.083384529134211
AHR,LGALS1,0.07479105529982875
AHR,LGALS3,0.06254847789106674
AHR,LYPLAL1,0.04852063576093195
AHR,MARCKS,0.06106965886110015
AHR,MYO1D,0.05611227498849155
AHR,NEK6,0.06542643593109321
AHR,PHTF2,0.04478044810503635
AHR,PITPNC1,0.05406752821017545
AHR,RAPGEF1,0.053714999589966256
AHR,RASGRP1,0.05437631992644755
AHR,RILPL2,0.04915293280990195
AHR,RPL11,-0.04776799933117125
AHR,RPL12,-0.06157264732359245
AHR,RPL18A,-0.0598205236952738
AHR,RPL19,-0.050816495973134604
AHR,RPL22,-0.0448198542270926
AHR,RPL26,-0.043953477603743255
AHR,RPL28,-0.0500039027180038
AHR,RPL32,-0.04299119889349593
AHR,RPL35A,-0.050402429312448
AHR,RPL37,-0.0484089120970559
AHR,RPL8,-0.052353557019668547
AHR,RPS13,-0.05107317564291075
AHR,RPS19,-0.049641975750117806
AHR,RPS27,-0.052447619164371795
AHR,RPS27A,-0.0555993128732635
AHR,RPS3A,-0.045275275761801
AHR,RPS5,-0.05682548087932755
AHR,RPS8,-0.04382229347081555
AHR,S100A10,0.0694089835297453
AHR,S100A11,0.047688155333226
AHR,S100A4,0.05869128885361015
AHR,S100A6,0.052785718741911805
AHR,SNED1,0.060355487615145906
AHR,SQSTM1,0.045723436114857
AHR,TFRC,0.05686159744576015
AHR,TKT,0.0458657929900395
AHR,TOB2,0.037836558431506295
AHR,TRERF1,0.04919024817761895
AHR,TTN,0.05092513389785695
AHR,UBE2J1,0.04624727797978465
AHR,UBE2N,0.0495939868045836
AHR,ZBTB38,0.057105855525855495
AKAP8,AHNAK,0.044063472154979896
AKAP8,CCNL1,0.0445531104226404
AKAP8,EZR,0.045028272479499004
AKAP8,RPL39,-0.04936770902537587
AKAP8,RPS27,-0.04146152634123434
AKAP8,RPS28,-0.0455242954145293
AKAP8,SRRM2,0.045262606960281296
AKAP8,TMSB10,-0.0451520001895203
AKNA,ACIN1,0.0409454069775311
AKNA,ACP5,0.0392589605139063
AKNA,ACTG1,0.0414910527231749
AKNA,ADAR,0.049527437859288356
AKNA,AIM2,0.03909186570761955
AKNA,ANKRD17,0.03696480286105855
AKNA,ARHGAP30,0.0479558662826324
AKNA,ASH1L,0.04513482350839435
AKNA,B4GALT1,0.040881439616253804
AKNA,BEST1,0.0515555607876787
AKNA,CAP1,0.0335224270878128
AKNA,CCDC107,0.034284805126761006
AKNA,CD27,0.04159561159344707
AKNA,CD7,0.0377385132176931
AKNA,CFLAR,0.040777637055973204
AKNA,CHD1,0.0385175929426492
AKNA,CIITA,0.0460792770425908
AKNA,CLASP2,0.03688947296738275
AKNA,CNTRL,0.0380627540639671
AKNA,COTL1,0.04014468896619547
AKNA,COX5A,0.032582521493362895
AKNA,CSK,0.0352482884309447
AKNA,CYTH1,0.04153451031774525
AKNA,DOCK8,0.045223013740049396
AKNA,DYRK1A,0.0413391084366147
AKNA,EEF2,0.041050907634851
AKNA,EML4,0.0372271969687054
AKNA,ENO1,0.03393330376631505
AKNA,FAU,-0.0705894820101775
AKNA,FCHSD2,0.04748945464272575
AKNA,FMNL1,0.03964888839801295
AKNA,FNBP1,0.050357964663823404
AKNA,FUBP1,0.03613486225383065
AKNA,GAPDH,0.03932131441385745
AKNA,GOLGB1,0.0392495716822451
AKNA,HCLS1,0.037949057439648146
AKNA,HCST,0.03913298307808105
AKNA,HECTD1,0.0353018874317106
AKNA,HERC1,0.0490109146206453
AKNA,HNRNPU,0.0504290101421352
AKNA,ID2,0.03554384426743805
AKNA,IFI30,0.0330517782198152
AKNA,IKZF3,0.0472826286486075
AKNA,IL32,0.03979620126487125
AKNA,IQSEC1,0.044179769452284245
AKNA,ITGAL,0.03405770598868315
AKNA,ITSN2,0.04175670430788673
AKNA,JPT1,0.03353991017652905
AKNA,KAT6A,0.04124386107866646
AKNA,KDM2A,0.0405203016442437
AKNA,KDM4C,0.0380661853661333
AKNA,LITAF,0.035655987859454605
AKNA,LNPEP,0.0413640876854919
AKNA,LYN,0.045116098552570705
