source,target,weight
ADNP,B2M,-0.07225881549555126
ADNP,CD37,-0.06764271891040435
ADNP,CD52,-0.0521485215996058
ADNP,CD74,-0.08205212723408457
ADNP,CD79A,-0.056026529003581155
ADNP,DUSP1,-0.04601903607925495
ADNP,EEF1A1,-0.07127295655698955
ADNP,EIF1,-0.048584451520000946
ADNP,FAU,-0.07560325547586111
ADNP,FTH1,-0.05187470391398816
ADNP,FTL,-0.0537164665666376
ADNP,HLA-DPA1,-0.0487376189943413
ADNP,HLA-DRA,-0.06715060932384065
ADNP,HLA-DRB1,-0.06561099277992666
ADNP,MT-CO2,-0.050583092439407354
ADNP,MT-CO3,-0.03504240929090465
ADNP,PPP3CA,0.039339797747052554
ADNP,PTMA,-0.06508381226026955
ADNP,RACK1,-0.04935517401664115
ADNP,RPL10,-0.0832789900890249
ADNP,RPL10A,-0.0556707583097758
ADNP,RPL11,-0.08149135419101895
ADNP,RPL12,-0.0727764609241273
ADNP,RPL13,-0.08217661616046915
ADNP,RPL13A,-0.05792420843528185
ADNP,RPL15,-0.06572339428455395
ADNP,RPL18,-0.07091504546936835
ADNP,RPL18A,-0.08516397465392406
ADNP,RPL19,-0.07478589599102065
ADNP,RPL21,-0.06281024303404995
ADNP,RPL23A,-0.062260383514586404
ADNP,RPL26,-0.07589297163962296
ADNP,RPL27,-0.03961462087521775
ADNP,RPL28,-0.07339741575717995
ADNP,RPL29,-0.06695804400706225
ADNP,RPL3,-0.0540238683505442
ADNP,RPL31,-0.0445497927449771
ADNP,RPL32,-0.0842479178967636
ADNP,RPL34,-0.08247893965368035
ADNP,RPL35,-0.05911325083370805
ADNP,RPL35A,-0.0739387403798098
ADNP,RPL36,-0.0549307921195861
ADNP,RPL39,-0.07459811991987975
ADNP,RPL41,-0.06230081769124335
ADNP,RPL6,-0.05867009563048175
ADNP,RPL7,-0.05255282469105215
ADNP,RPL8,-0.07048843256846535
ADNP,RPL9,-0.0483713411449564
ADNP,RPLP1,-0.0738793441720344
ADNP,RPLP2,-0.064212506342025
ADNP,RPS12,-0.06780255672280244
ADNP,RPS13,-0.07417050995502575
ADNP,RPS14,-0.07170743023430555
ADNP,RPS15,-0.0743383889262309
ADNP,RPS15A,-0.07464041159216314
ADNP,RPS18,-0.0670336648127123
ADNP,RPS19,-0.0769578302585221
ADNP,RPS2,-0.0673383018478667
ADNP,RPS23,-0.0812034822717302
ADNP,RPS25,-0.06346894672289724
ADNP,RPS27,-0.07910722996106626
ADNP,RPS27A,-0.083674272348432
ADNP,RPS28,-0.07170889035765855
ADNP,RPS29,-0.04857889197778795
ADNP,RPS3,-0.06434699681976845
ADNP,RPS3A,-0.0708742560790287
ADNP,RPS4X,-0.0664768676866693
ADNP,RPS5,-0.065492251580192
ADNP,RPS6,-0.0629772228136654
ADNP,RPS7,-0.0652390775731563
ADNP,RPS8,-0.07222696116965145
ADNP,RPS9,-0.05657323451551395
ADNP,TCL1A,-0.05046946039446095
ADNP,TMSB10,-0.0795303900557499
ADNP,TMSB4X,-0.06197867807249195
ADNP2,ACTB,-0.050651261874348034
ADNP2,AHNAK,0.05404467090765815
ADNP2,B2M,-0.0547132555682132
ADNP2,CD37,-0.0643700940957601
ADNP2,CD52,-0.052806934457285966
ADNP2,CD74,-0.07288102053942504
ADNP2,CYBA,-0.049519621029286545
ADNP2,EEF1A1,-0.04854786228079735
ADNP2,FAU,-0.0531647811263344
ADNP2,FTL,-0.0380768552940104
