source,target,weight
ADNP,B2M,-0.07225881549555126
ADNP,CD79A,-0.056026529003581155
ADNP,EEF1A1,-0.07127295655698955
ADNP,EIF1,-0.048584451520000946
ADNP,FTL,-0.0537164665666376
ADNP,MT-CO2,-0.050583092439407354
ADNP,MT-CO3,-0.03504240929090465
ADNP,PTMA,-0.06508381226026955
ADNP,RPL13,-0.08217661616046915
ADNP,RPL18,-0.07091504546936835
ADNP,RPL18A,-0.08516397465392406
ADNP,RPL26,-0.07589297163962296
ADNP,RPL32,-0.0842479178967636
ADNP,RPL35A,-0.0739387403798098
ADNP,RPL36,-0.0549307921195861
ADNP,RPL6,-0.05867009563048175
ADNP,RPL9,-0.0483713411449564
ADNP,RPS12,-0.06780255672280244
ADNP,RPS14,-0.07170743023430555
ADNP,RPS29,-0.04857889197778795
ADNP,RPS6,-0.0629772228136654
ADNP,RPS7,-0.0652390775731563
ADNP,RPS8,-0.07222696116965145
AEBP2,NACA,-0.06499355840963139
AEBP2,RPL10,-0.0775926481447103
AEBP2,RPL23A,-0.05385944582131239
AEBP2,RPL3,-0.0511350767124094
AEBP2,RPL36,-0.06344293871599334
AEBP2,RPL37,-0.0902053820017176
AEBP2,RPLP0,-0.06793813875314665
AEBP2,RPS15,-0.07204626173197656
AEBP2,RPS18,-0.06239917572577144
AEBP2,RPS2,-0.05168549288307043
AEBP2,RPS7,-0.06292046389661139
AHDC1,CD74,-0.05972968318086365
AHDC1,RPL13,-0.0516844976207024
AHDC1,RPL29,-0.0434066706096495
AHDC1,RPS12,-0.045728980719626
AHDC1,RPS15A,-0.044700409908112096
AHDC1,RPS23,-0.051126119183423746
AHDC1,RPS27A,-0.05100540899732315
AHDC1,RPS3A,-0.0450715837470469
AHR,AHNAK,0.0755120650228072
AHR,BTG1,-0.05328179898651217
AHR,CORO7,0.0548458684398888
AHR,EEF1A1,-0.05403059955054087
AHR,EEF1D,-0.054989131204820706
AHR,FAU,-0.07614883281664013
AHR,FTL,-0.04469459451472446
AHR,ITGB1,0.056514675184758
AHR,JPT1,0.047091316221530496
AHR,LYPLAL1,0.045923950240305794
AHR,MT-CO1,-0.05371558514017293
AHR,MT-CO2,-0.0435191604096938
AHR,MT-CO3,-0.03629643332184405
AHR,RACK1,-0.06490679540637309
AHR,RPL10A,-0.04832895416731806
AHR,RPL13,-0.0733403937044122
AHR,RPL13A,-0.04761114094991835
AHR,RPL14,-0.05273862122400225
AHR,RPL15,-0.05299573556621373
AHR,RPL18,-0.0668460835516251
AHR,RPL18A,-0.0823381217192503
AHR,RPL21,-0.05991472470810424
AHR,RPL22,-0.07173560813375321
AHR,RPL23A,-0.0493094831386793
AHR,RPL24,-0.053761423362022095
AHR,RPL26,-0.0712760787804729
AHR,RPL28,-0.06926609106070274
AHR,RPL29,-0.06624351673790878
AHR,RPL3,-0.049431632505854695
AHR,RPL32,-0.07880388593386237
AHR,RPL35,-0.05339757757309375
AHR,RPL35A,-0.0674762537128726
AHR,RPL36,-0.05351969522661923
AHR,RPL37,-0.0822782692116248
AHR,RPL5,-0.0711609372152987
AHR,RPL6,-0.055353981404540335
AHR,RPL8,-0.07224074238476946
AHR,RPLP2,-0.053548947128191055
AHR,RPS12,-0.06623571587896147
AHR,RPS13,-0.06925567451796194
AHR,RPS15,-0.07226623630690886
AHR,RPS15A,-0.06146684507952199
AHR,RPS16,-0.0417230984506813
AHR,RPS18,-0.05906171514478255
AHR,RPS2,-0.05723929268324035
AHR,RPS21,-0.0773022672634732
AHR,RPS27,-0.08142645411474164
AHR,RPS27A,-0.07814604258522699
AHR,RPS3,-0.06389184064039781
AHR,RPS3A,-0.06729175633381197
AHR,RPS6,-0.056660720051446095
AHR,RPS7,-0.051918811137351896
AHR,RPS8,-0.0733180488790012
AHR,RPSA,-0.05937890467920545
AHR,SERF2,-0.044550975309537305
AHR,TMSB10,-0.06295109807474429
AHR,ZBTB38,0.050043831970934496
ARID3A,ABI1,0.038222216513187496
ARID3A,ACAP3,0.054152984599659504
ARID3A,ACTG1,0.05302335749273437
ARID3A,ADPRH,0.04372489410369135
ARID3A,AHNAK,0.10331415244192187
ARID3A,AIM2,0.0854401596590622
ARID3A,ANK3,0.04432117516921586
ARID3A,ANKRD13A,0.0410340503675575
ARID3A,ANTKMT,0.0358717981234943
ARID3A,ANTXR2,0.05097495834411405
ARID3A,ANXA2,0.11035783944551819
ARID3A,ANXA7,0.05478486114325005
ARID3A,APBB1IP,0.045703356298673004
ARID3A,APLP2,-0.0713130197365153
ARID3A,ARHGAP21,0.04655760758844765
ARID3A,ARHGAP31,0.0620484093113299
ARID3A,ARHGDIA,0.0350593016658912
ARID3A,ARL6IP5,0.0479998679329752
ARID3A,ARPC1B,0.0603661510747261
ARID3A,ARPC5L,0.04780510676952537
ARID3A,ASAH1,0.0357254264960713
ARID3A,ASXL1,0.03666876331438395
ARID3A,ATF5,0.03673087805412715
ARID3A,ATP2B1,0.04644041678221244
ARID3A,ATP2B4,0.06398102517765565
ARID3A,B4GALT1,0.036929267960875395
ARID3A,BBC3,0.05166369930528317
ARID3A,BCAS4,0.04100350844060795
ARID3A,BCL2A1,0.05427915073856337
ARID3A,BHLHE40,0.04479392347081107
ARID3A,BIRC3,-0.04462880956434897
ARID3A,BLK,0.0454188119947279
ARID3A,BTN3A2,0.0397761479902279
ARID3A,C16orf54,0.050424687885569
ARID3A,C16orf87,0.042581444140392034
ARID3A,CALM2,0.03686280101134435
ARID3A,CAMK2D,-0.053284103934452154
ARID3A,CAMK4,0.0581028320211668
ARID3A,CAPG,0.0737325724823437
ARID3A,CAPN2,0.0768711024887259
ARID3A,CAPNS1,0.04711584195134224
ARID3A,CAPZB,0.053755257609400864
ARID3A,CASP10,0.04302794284898105
ARID3A,CASP8,0.06379806740246485
ARID3A,CBFA2T3,0.0507453221068631
ARID3A,CCDC50,0.07455932135026347
ARID3A,CCR7,-0.06526366084990765
ARID3A,CD58,0.06052167255803306
ARID3A,CD68,0.06489074370422604
ARID3A,CD69,-0.050158224623884196
ARID3A,CD74,-0.11178122578109344
ARID3A,CD86,0.06319753824286793
ARID3A,CDC42EP3,0.07902581834457864
ARID3A,CDKN2D,0.05099171211852133
ARID3A,CDV3,0.04273575079998985
ARID3A,CFLAR,0.06371488959276812
ARID3A,CIRBP,-0.0425110765078324
ARID3A,CLIC1,0.05660021865209863
ARID3A,CLIP1,0.0474990545616157
ARID3A,COL19A1,-0.0755414546994703
ARID3A,COPE,0.0365687652920944
ARID3A,COTL1,0.097604889179937
ARID3A,COX5A,0.04457594664004091
ARID3A,CPEB4,0.0452169869664044
ARID3A,CPTP,0.0454169491228069
ARID3A,CSRP1,0.04175524752609455
ARID3A,CTSA,0.04612084076069609
ARID3A,CTSC,0.06054679631721655
ARID3A,CTSZ,0.036331855723846
ARID3A,CUTA,0.040569292226227405
ARID3A,CXCR3,0.09047307123418075
ARID3A,CXCR4,-0.10581685780555994
ARID3A,CYB5R3,0.0352752631371196
ARID3A,CYTH1,0.0374399373444457
ARID3A,DAAM1,0.07804710279659494
ARID3A,DDAH2,0.05256650817564517
ARID3A,DDX5,-0.0499949944792201
ARID3A,DECR1,0.0459643315757548
ARID3A,DIAPH1,0.0532366407516833
ARID3A,DOCK10,0.05786465166798215
ARID3A,DPYSL2,0.0394710189067234
ARID3A,DUSP1,-0.0564240087366324
ARID3A,DYNC1H1,0.0360413757970508
ARID3A,DYNLL1,0.060169091712579205
ARID3A,ECE1,0.0518148908488231
ARID3A,ECH1,0.037514472169101254
ARID3A,ECI1,0.0529648963832942
ARID3A,EEF1A1,-0.06494721673418534
ARID3A,EEF1D,-0.06798071351956146
ARID3A,EFHD2,0.04932456458746596
ARID3A,EHD1,0.0446720639501528
ARID3A,EIF1,-0.06617891708992944
ARID3A,EMP3,0.06077526474014624
ARID3A,EPHA4,0.0583381931340898
ARID3A,EPS15,0.03915392429907335
ARID3A,EZH2,0.0408582701675491
ARID3A,FAS,0.07496397184866105
ARID3A,FCER2,-0.09074584165981196
ARID3A,FLNB,0.0561079922523752
ARID3A,FMNL1,0.04379324305934446
ARID3A,FNBP1,0.04482380640140175
ARID3A,FTH1,-0.0729353056202713
ARID3A,FUT8,0.043902125429701976
ARID3A,GEMIN7,0.043926953585097905
ARID3A,GLRX,0.04783399290597945
ARID3A,GNAI2,0.040823918293529354
ARID3A,GNB2,0.03478011416704995
ARID3A,GPR183,0.08863600359987629
ARID3A,GRN,0.0585656385864666
ARID3A,GSN,0.0861980628213973
ARID3A,GSPT1,0.04116965645395723
ARID3A,HIGD2A,0.04226609891601485
ARID3A,HIPK2,0.06889986997318708
ARID3A,HK1,0.0377622313088474
ARID3A,HMOX1,0.06946944433519617
ARID3A,HMOX2,0.0453169981000673
ARID3A,HOMER3,0.0731255407239953
ARID3A,HPCAL1,0.0369771544515009
ARID3A,HSPA8,0.054992112063468
ARID3A,IFI30,0.0762140694519938
ARID3A,IL10RA,0.05397156822653837
ARID3A,IL4R,-0.09154816308931403
ARID3A,IL6R,0.04278326907187875
ARID3A,ILK,0.03883200335858095
ARID3A,IQGAP2,0.05639812038220955
ARID3A,IRF5,0.052365505972345405
ARID3A,ISG15,0.04029624015325956
ARID3A,ITGB7,0.07457445375035983
ARID3A,ITM2B,-0.07701829337228645
ARID3A,JCHAIN,0.05398610838910503
ARID3A,JPT1,0.08109004181686826
ARID3A,JUN,-0.0560245695090212
ARID3A,JUNB,-0.054186449017058755
ARID3A,KEAP1,0.0441003209489791
ARID3A,KLF10,0.0540922865177949
ARID3A,KPNA2,0.0527287589243518
ARID3A,KRAS,0.04993640049293665
ARID3A,KYNU,0.0507683154397117
ARID3A,LGALS3,0.04974381559662845
ARID3A,LGMN,0.03719988720703845
ARID3A,LIMS1,0.03919797677876773
ARID3A,LITAF,0.04529985139718127
ARID3A,LMO4,0.04634653339384745
ARID3A,LPXN,0.0437730626488477
ARID3A,LSP1,0.0643776381353097
ARID3A,LY96,0.05934860023966013
ARID3A,MAP4,0.0366585858265124
ARID3A,MCL1,0.053397077075060806
ARID3A,MCOLN2,0.07919866095409711
ARID3A,MEF2C,-0.05916188301063557
ARID3A,MIDN,0.048770588443353725
ARID3A,MKNK2,0.045344470094967004
ARID3A,MNDA,0.0544627657096301
ARID3A,MPST,0.045139287221556135
ARID3A,MRPL40,0.047543085433288466
ARID3A,MRPS34,0.04273821753004105
ARID3A,MRPS6,0.0505987097492104
ARID3A,MT-CO1,-0.072671500420904
ARID3A,MT-CO2,-0.0640015666997579
ARID3A,MT-CO3,-0.0570856283763957
ARID3A,MT-CYB,-0.04807563546831303
ARID3A,MT-ND1,-0.03663570077380155
ARID3A,MT-ND2,-0.04645465664932345
ARID3A,MT-ND3,-0.052723859542661955
ARID3A,MTDH,0.040679497960985966
ARID3A,MTHFD2,0.0492423326133457
ARID3A,MTMR14,0.0426490002707596
ARID3A,MVP,0.0464386798075678
ARID3A,MYL12B,0.03830087646133095
ARID3A,MZT2A,0.038365298420315046
ARID3A,NABP1,0.03732200328488245
ARID3A,NCF2,0.04593170494760366
ARID3A,NCOA7,0.052430676657474064
ARID3A,NEK6,0.0682539369630425
ARID3A,NIBAN1,0.06857501930985531
ARID3A,NLRC5,0.0742206550759646
ARID3A,NOP10,0.0427064860733314
ARID3A,NOP53,-0.04290736091056637
ARID3A,NQO2,0.037556501272805146
ARID3A,OAS1,0.0424126055128288
ARID3A,OGDH,0.04221278860720463
ARID3A,OGT,0.06109811978559125
ARID3A,OPTN,0.05365758476237683
ARID3A,PAFAH1B3,0.03644415780488635
ARID3A,PCED1B,0.050999192409042646
ARID3A,PCSK7,0.04410161847525831
ARID3A,PDE4D,0.0406732360149442
ARID3A,PDIA6,0.0347889253976046
ARID3A,PDLIM1,0.0456179144479441
ARID3A,PHKB,0.046952234693420955
ARID3A,PHTF2,0.04097681721701415
ARID3A,PIKFYVE,0.055296189533349666
ARID3A,PITPNC1,0.050405301588170005
ARID3A,PKM,0.05663045453716423
ARID3A,PLEK,0.07205765818117006
ARID3A,PLXNC1,0.0851388341639691
ARID3A,PMVK,0.049843996580584894
ARID3A,PNRC1,-0.06474040718764093
ARID3A,POLR2L,0.045028662255075964
ARID3A,POU2AF1,0.04556869051498083
ARID3A,PPA1,0.043569758772586
ARID3A,PPFIBP2,0.05357573607032955
ARID3A,PPM1G,0.04315619313923535
ARID3A,PPM1M,0.05705397300653385
ARID3A,PRDX1,0.04940787666293605
ARID3A,PRELID1,0.0368673223187194
ARID3A,PREX1,0.05100698815990629
ARID3A,PSMB9,0.04306221474990243
ARID3A,PTMA,-0.052085146833055554
ARID3A,PTP4A2,0.05807813357113967
ARID3A,PTPN1,0.05404732390483404
ARID3A,PTPN12,0.04999110344159065
ARID3A,PTRHD1,0.04554445352184886
ARID3A,RAB5IF,0.04252658761780823
ARID3A,RABGAP1L,0.0441906244886748
ARID3A,RACK1,-0.06487244136105506
ARID3A,RALGDS,0.05315837485233944
ARID3A,RAPGEF1,0.05111047198720887
ARID3A,RASGRP1,0.06785006896058593
ARID3A,RASSF2,0.0418755485218159
ARID3A,RBM47,0.0484158052351196
ARID3A,RDX,0.0470752437492129
ARID3A,REEP5,0.04151411576903675
ARID3A,RELL2,0.044340705958801255
ARID3A,RGS19,0.038316354042723946
ARID3A,RHOF,0.03887771986622935
ARID3A,RHOG,0.04111283557610815
ARID3A,RPL10A,-0.06735936925714216
ARID3A,RPL11,-0.07855374823122009
ARID3A,RPL12,-0.0889155429242936
ARID3A,RPL13,-0.0993657593989785
ARID3A,RPL14,-0.04759723489251803
ARID3A,RPL15,-0.08227201335085137
ARID3A,RPL18,-0.08705914429308259
ARID3A,RPL18A,-0.10517084955005213
