source,target,weight
ADNP,C16orf54,0.0380312052258195
ADNP,C1orf56,0.04258072486458345
ADNP,CDC42,0.040576781941806195
ADNP,CDC42SE1,0.0337213054961859
ADNP,CDC42SE2,0.03026372416369135
ADNP,FOXP1,0.0338547482423531
ADNP,HNRNPH1,0.045239686902187354
ADNP,MDM4,0.03179461731390165
ADNP,NFKB1,0.0413890663727166
ADNP,PIP4K2A,0.03080216686833325
ADNP,PPP1CB,0.0301967837555301
ADNP,PRKCA,0.03946982010144995
ADNP,PRKCB,0.0345553243885187
ADNP,RPL41,-0.0356144224334162
ADNP,SET,0.03722641908471745
ADNP,TNRC6B,0.03375289141357945
AEBP2,FAU,-0.04487177901750225
AEBP2,FLNA,0.03610643873695215
AEBP2,HNRNPU,0.035377497161472204
AEBP2,HOOK2,0.0351403401826128
AEBP2,NACA,-0.0374871412798905
AEBP2,PTGER4,0.03631672666820715
AEBP2,RPL10,-0.04663388186944855
AEBP2,RPL18A,-0.0421991075529729
AEBP2,RPL36A,-0.03560727232563285
AEBP2,RPL41,-0.0413565933360786
AEBP2,RPS15,-0.0514125290958452
AEBP2,RPS25,-0.041344303897745904
AEBP2,RPS5,-0.041691195783086
AEBP2,RPS7,-0.0425474206200781
AHR,ABCC1,0.0351594287691436
AHR,ACTN4,0.0844516714063186
AHR,ACTR2,0.0368995865483367
AHR,ADAM19,0.089711164592602
AHR,ADAM8,0.051047638841740656
AHR,ADGRE5,0.05898756344603865
AHR,AFF1,0.044922416347168995
AHR,AHNAK,0.09654562633158059
AHR,AIRE,0.03864069554626055
AHR,AKAP13,0.050900144038833604
AHR,ALOX5AP,0.0484602162662142
AHR,ANKHD1,0.036351596671820446
AHR,ANKRD12,0.0527050713083727
AHR,ANP32E,0.0394670542584522
AHR,ANXA2,0.07534918867074408
AHR,ANXA6,0.0364082535789708
AHR,ARHGAP35,0.04189895647389525
AHR,ARHGDIA,0.0471432554002929
AHR,ARID4B,0.04812031458915215
AHR,ARID5B,0.04918026754936527
AHR,ARL6IP5,0.0341247089419852
AHR,ARPC1B,0.04577784102968495
AHR,ARPC2,0.0420110475539458
AHR,ATXN1,0.07048767070975401
AHR,B2M,0.06528916886478477
AHR,B4GALT1,0.046382590236375504
AHR,BCLAF1,0.03775951399754755
AHR,BHLHE40,0.08945907869755505
AHR,BORCS5,0.038089260700383154
AHR,C12orf57,-0.0620793811114647
AHR,C12orf75,0.0437643371921326
AHR,CALM1,0.0602263182343361
AHR,CANX,0.045271744152514504
AHR,CAPG,0.0669343556093631
AHR,CAPNS1,0.038378440309845954
AHR,CAPZA1,0.038148926053062304
AHR,CASK,0.045101093462105946
AHR,CASP8,0.0552313488659536
AHR,CAST,0.05833146357352387
AHR,CCDC167,0.040710882597583944
AHR,CCDC88C,0.034141807851367
AHR,CCNL1,0.039181978078803
AHR,CCR10,0.045136528585668745
AHR,CCR6,0.087126020651277
AHR,CCR7,-0.08319811965118941
AHR,CD58,0.06315497866385769
AHR,CD63,0.04367928775930115
AHR,CD7,-0.06916574160575831
AHR,CD74,0.046600242800759396
AHR,CDC14A,0.06855764597130695
AHR,CDK17,0.043166023810748605
AHR,CDKN1B,0.033889029947472504
AHR,CFL1,0.04144593598521345
AHR,CFLAR,0.050612685471475904
AHR,CGAS,0.043710794406626646
AHR,CHD1,0.04335577343965105
AHR,CKLF,0.038294504858486594
AHR,CLDND1,0.06373518463100471
AHR,CLIC1,0.056903913233688506
AHR,CLTC,0.03714236467196405
AHR,CMTM6,0.04550741656465395
AHR,CORO7,0.05390529770360445
AHR,COTL1,0.05033225794059612
AHR,COX4I1,-0.0540689800885748
AHR,CRIP1,0.07076929765335205
AHR,CRYBG1,0.04974050927337125
AHR,CSRNP1,0.06851524000511175
AHR,CST7,0.05337285322693725
AHR,CTSH,0.06155799062789985
AHR,CYB561,0.05928949571494625
AHR,DDX21,0.0358972558714528
AHR,DDX3X,0.04919404990319855
AHR,DEK,0.0412901408118269
AHR,DENND1B,0.036304906819595556
AHR,DENND4A,0.041525819887700696
AHR,DIAPH1,0.0524268622445284
AHR,DNAJA1,0.0532702170350254
AHR,DSTN,0.03696875125413715
AHR,DUSP1,0.06803381587475098
AHR,DUSP16,0.04798584504411
AHR,DYNC1H1,0.04251529394817885
AHR,EEF1B2,-0.08918332364116825
AHR,EEF1D,-0.046429643697793704
AHR,EHD4,0.049185367098302846
AHR,EIF3A,0.05146515351629719
AHR,EIF4G2,0.04680301386195365
AHR,ELOVL5,0.052262042558425204
AHR,EML4,0.05952170648337655
AHR,EMP3,0.051257002496810866
AHR,EPS15,0.05005017828950195
AHR,ERN1,0.07866279565368164
