source,target,weight
ADNP,S100A6,-0.06879125523091176
AHR,A1BG,0.0524542694196469
AHR,AAK1,0.0581740352087929
AHR,ABCA1,0.08611643786958689
AHR,ABI3,-0.08621285898747699
AHR,ACAP2,0.0554700820013502
AHR,ACSL1,0.10875943937628253
AHR,ACTB,-0.1326986000603838
AHR,ACTN1,0.057509692879925835
AHR,ADA,-0.07096337497274198
AHR,ADA2,0.0540929526060343
AHR,ADAM17,0.07798233589195193
AHR,AFF4,0.0512939638780759
AHR,AGFG1,0.05875909204061319
AHR,AHNAK,0.1182615835780161
AHR,AIF1,-0.14630080807004253
AHR,AKAP13,0.06981431159366545
AHR,AKIRIN2,0.06831076904603167
AHR,ANKRD11,0.0558432283464774
AHR,ANKRD12,0.0505162453016189
AHR,ANPEP,0.055131148240104004
AHR,AOAH,0.10909552654212534
AHR,AP1G1,0.05138026378415825
AHR,AP3B1,0.056279030380779055
AHR,APLP2,0.0709578347057845
AHR,APP,0.058042359181830566
AHR,ARFGEF1,0.04991956885196665
AHR,ARHGAP26,0.1416585066009485
AHR,ARHGEF40,0.07854210318394705
AHR,ARL8B,0.07858430256649965
AHR,ARPC1B,-0.062240785891078704
AHR,ARPC2,-0.07079901687091265
AHR,ARPC3,-0.10275018428520792
AHR,ASGR2,0.0659703568976133
AHR,ASH1L,0.06615353069226865
AHR,ASPH,0.05770488811666704
AHR,ATF3,0.13771995233739812
AHR,ATF4,0.07639203022238611
AHR,ATP13A3,0.09102480097817817
AHR,ATP2A2,0.044901172774857
AHR,ATP5F1E,-0.09226872149639505
AHR,ATP6V0A1,0.050256080612073706
AHR,ATP6V0C,-0.0866600187610968
AHR,B2M,-0.13017417806846027
AHR,B3GNT5,0.0708976779151333
AHR,B4GALT1,0.08072288558501935
AHR,BACH1,0.0906267931090866
AHR,BATF3,-0.0894175493660557
AHR,BAZ2B,0.07722389823750897
AHR,BCL3,0.07581809412976004
AHR,BCLAF1,0.07764627614876246
AHR,BHLHE40,0.09145861665885513
AHR,BIRC6,0.06231866562100935
AHR,BTAF1,0.08365242313951265
AHR,C15orf48,0.085592723061413
AHR,CALM2,-0.06984384720502156
AHR,CALML4,-0.07841395594525025
AHR,CAMK2D,0.08066150070980696
AHR,CAPG,0.07357913769028596
AHR,CAST,0.06793652374050567
AHR,CCDC88A,0.07061396664980467
AHR,CCNL1,0.1006945439460809
AHR,CCNY,0.06864713624159804
AHR,CD14,0.09918424507264655
AHR,CD300E,0.060344685223474095
AHR,CD300LB,0.05575395710584324
AHR,CD52,-0.07896666784430373
AHR,CD63,0.07311979091059514
AHR,CD68,-0.0714437000543456
AHR,CD79B,-0.09075826825914987
AHR,CD93,0.06781887350818594
AHR,CDC42SE2,0.0635169202323205
AHR,CDKN1A,0.08352341846996643
AHR,CEBPB,-0.060336980847848456
AHR,CEBPD,0.06528352067325345
AHR,CELF1,0.056243133942444304
AHR,CFD,-0.083954416911291
AHR,CHD1,0.06926613994199286
AHR,CHD2,0.07184424930677197
AHR,CHST2,-0.06598973544319635
AHR,CIITA,0.05843751768151054
AHR,CKAP4,0.0553301905349662
AHR,CMIP,0.07249446227632865
AHR,CORO1A,-0.07252942500844813
AHR,CORO1C,0.050825927010866204
AHR,COTL1,-0.10855777427531582
AHR,COX5B,-0.06186221480393405
AHR,COX6A1,-0.0634785841056409
AHR,COX6B1,-0.05747009573073995
AHR,COX7A2,-0.0551171914283939
AHR,CPD,0.0649561311724595
AHR,CREB5,0.08644746637280507
