source,target,weight
ADNP,ACTB,-0.0861053384276152
ADNP,AIF1,-0.07637507882758199
ADNP,ATP5F1E,-0.09600501725112445
ADNP,ATP5MC2,-0.0676855248659039
ADNP,B2M,-0.08309075199012804
ADNP,COX4I1,-0.06807578226043046
ADNP,CST3,-0.09020558631217765
ADNP,CYBA,-0.06981560722322143
ADNP,EIF1,-0.082002810264138
ADNP,FAU,-0.10880809221355339
ADNP,FOS,-0.07083304732389983
ADNP,FTH1,-0.089334124304291
ADNP,FTL,-0.10557192391485666
ADNP,GABARAP,-0.08516375416730225
ADNP,HLA-B,-0.07671636612245436
ADNP,LGALS1,-0.0496442467302186
ADNP,LYZ,-0.07321171042025926
ADNP,MT-CO1,-0.06580513529213344
ADNP,MT-CO2,-0.0666065748760066
ADNP,MT-CO3,-0.06257348137321975
ADNP,MYL6,-0.07928818412453084
ADNP,OAZ1,-0.08474229880998266
ADNP,PFDN5,-0.06627580045238053
ADNP,PFN1,-0.0828640011459047
ADNP,PTMA,-0.08663277511668065
ADNP,RNASEK,-0.07175121994942295
ADNP,RPL10,-0.0831742886750116
ADNP,RPL11,-0.08369189745842409
ADNP,RPL12,-0.09517863047699684
ADNP,RPL13,-0.07971175505455513
ADNP,RPL18,-0.09343073411553615
ADNP,RPL18A,-0.07392111664689477
ADNP,RPL19,-0.10001376634024756
ADNP,RPL21,-0.05430024183900155
ADNP,RPL22,-0.07670371723679495
ADNP,RPL26,-0.07825729013851147
ADNP,RPL28,-0.09263636442735294
ADNP,RPL29,-0.09117372934627625
ADNP,RPL30,-0.10498949534471866
ADNP,RPL32,-0.09071265989029104
ADNP,RPL34,-0.09442589479164325
ADNP,RPL35A,-0.07587375216917559
ADNP,RPL36,-0.07618994673034965
ADNP,RPL37,-0.09105050280236066
ADNP,RPL39,-0.08816342113160584
ADNP,RPL41,-0.08644502238655437
ADNP,RPL6,-0.08085642684897654
ADNP,RPL7A,-0.0722406694778534
ADNP,RPL8,-0.085831220972308
ADNP,RPLP1,-0.0952178899053693
ADNP,RPLP2,-0.07846866099650403
ADNP,RPS12,-0.10863729642327015
ADNP,RPS13,-0.08527926971512427
ADNP,RPS14,-0.08976365296345785
ADNP,RPS15,-0.0828707702147975
ADNP,RPS15A,-0.0989941903882476
ADNP,RPS18,-0.06281211019460375
ADNP,RPS21,-0.0727865806896058
ADNP,RPS23,-0.09441286781296215
ADNP,RPS24,-0.08936172589063761
ADNP,RPS27,-0.0621973012261397
ADNP,RPS27A,-0.07902772176348043
ADNP,RPS28,-0.08466309294213463
ADNP,RPS3A,-0.0822034328210122
ADNP,RPS7,-0.08851271880690495
ADNP,RPS8,-0.09884197252769825
ADNP,RPS9,-0.058806073020010854
ADNP,S100A11,-0.08119579784811096
ADNP,S100A4,-0.10032055200056778
ADNP,S100A6,-0.10035072281810677
ADNP,S100A8,-0.06816505325184836
ADNP,S100A9,-0.061366015665010674
ADNP,SERF2,-0.08141319222760096
ADNP,SH3BGRL3,-0.0990834086949519
ADNP,TMSB10,-0.10579166339161324
ADNP,TMSB4X,-0.09674829800385204
ADNP,TPT1,-0.08921474100141255
ADNP,TYROBP,-0.09120665153088692
ADNP,UBA52,-0.08546248842366624
ADNP2,ACTB,-0.06128174049300983
ADNP2,ATP5F1E,-0.08269863025335335
ADNP2,CYBA,-0.0632236081095825
ADNP2,FAU,-0.0727678423667891
ADNP2,FTL,-0.0669286787970728
ADNP2,LYZ,-0.06751129444900063
ADNP2,RPL11,-0.07292495263215065
ADNP2,RPL12,-0.07107351447155745
ADNP2,RPL13,-0.072304154183098
ADNP2,RPL18,-0.06582767942519599
ADNP2,RPL19,-0.07349248734453626
ADNP2,RPL26,-0.0470611643091085
ADNP2,RPL28,-0.0806364938366278
ADNP2,RPL30,-0.07255824941574185
ADNP2,RPL32,-0.08203475098746466
ADNP2,RPL34,-0.07546909965137767
ADNP2,RPL35A,-0.0716206602560451
ADNP2,RPL37,-0.07258860135415725
ADNP2,RPL39,-0.07434543751258389
ADNP2,RPL41,-0.07644094299280615
ADNP2,RPLP1,-0.09499973172619874
ADNP2,RPLP2,-0.07420417589387195
ADNP2,RPS12,-0.07610447448846736
ADNP2,RPS13,-0.07983268676719485
ADNP2,RPS14,-0.06512530785227877
ADNP2,RPS15,-0.06301528640435113
ADNP2,RPS24,-0.08748155897288254
ADNP2,RPS27A,-0.06685377947415015
ADNP2,RPS28,-0.0892806341393225
ADNP2,RPS8,-0.07395511080606645
ADNP2,S100A4,-0.0799318227444356
ADNP2,S100A6,-0.08293945457708786
ADNP2,S100A8,-0.07411148732678784
ADNP2,S100A9,-0.06458290325648076
ADNP2,SERF2,-0.06362572400063847
ADNP2,SH3BGRL3,-0.0687731847692486
ADNP2,TMSB10,-0.08110671348632432
ADNP2,TMSB4X,-0.0623486410295582
ADNP2,TYROBP,-0.0664314147834007
AEBP2,ACTB,-0.08420448916138917
AEBP2,ATP5F1E,-0.09676681718432645
AEBP2,B2M,-0.0739819133027507
AEBP2,COX4I1,-0.0683111735468575
AEBP2,CST3,-0.07923536940271345
AEBP2,CYBA,-0.06633634514456006
AEBP2,EIF1,-0.07188139621944914
AEBP2,FAU,-0.10241406492432775
AEBP2,FOS,-0.0510744584635281
AEBP2,FTH1,-0.0759675531109439
AEBP2,FTL,-0.10133091030792192
AEBP2,GABARAP,-0.0765830965948167
AEBP2,GAPDH,-0.0667841931727912
AEBP2,LYZ,-0.0630006048681379
AEBP2,MT-CO1,-0.06311191526611686
AEBP2,MT-CO2,-0.06709064325601995
AEBP2,MT-CO3,-0.0646481715390987
AEBP2,MYL6,-0.07671916254464345
AEBP2,OAZ1,-0.0824604839728891
AEBP2,PFDN5,-0.0657237372410337
AEBP2,PFN1,-0.07201089039147879
AEBP2,PTMA,-0.08130711491701585
AEBP2,RNASEK,-0.06593942672361935
AEBP2,RPL10,-0.07353963219868066
AEBP2,RPL11,-0.07698468245807359
