source,target,weight
ADNP,APOBEC3C,0.032716446850456896
ADNP,B2M,-0.03935387928353675
ADNP,B4GALT1,0.03348787096663135
ADNP,C16orf54,0.0264470091306154
ADNP,C1orf56,0.043724900654890694
ADNP,CAPZA1,0.0332683733940726
ADNP,CBX6,0.0296977985347618
ADNP,CDC42,0.04389431733421065
ADNP,CDC42SE1,0.03613435877092745
ADNP,FOXP1,0.02719257757554425
ADNP,GNLY,-0.0285914596388272
ADNP,HNRNPH1,0.042194165695300254
ADNP,LYN,0.035726740261083
ADNP,MDM4,0.0260467966207266
ADNP,PIP4K2A,0.033364827056784375
ADNP,PRKCB,0.03232271048326505
ADNP,RPL19,-0.0347232281503074
ADNP,RPS27A,-0.04242758195469745
ADNP,SET,0.0303331366564894
ADNP,TMSB10,-0.0318256309502877
ADNP,VAV3,0.03256189127938225
AEBP2,FAU,-0.0396123504902921
AEBP2,RIPOR2,0.029519641827919448
AEBP2,RPL10,-0.040292213794743
AEBP2,RPL37,-0.03972417410486275
AEBP2,RPL41,-0.041878777870994296
AEBP2,RPS15,-0.0386946493517939
AEBP2,RPS7,-0.0350213233582143
AHDC1,RPS27,-0.03743958907889245
AHDC1,RPS27A,-0.038800902967758344
AHR,B2M,-0.05376693630574577
AHR,CAPG,0.0365161436049501
AHR,CASK,0.0342921734033101
AHR,COTL1,0.04483506140064003
AHR,CST7,-0.048008523459221
AHR,FCGR3A,-0.0420203894294726
AHR,FOS,0.0454063908260644
AHR,GPR183,0.047302386048573605
AHR,GZMB,-0.03840400927337324
AHR,IGFBP4,0.03141873311776905
AHR,IL12RB2,0.035178538323006256
AHR,MCUB,0.02907114468794065
AHR,NKG7,-0.044811053226095236
AHR,PTGDS,-0.040048603796451546
AHR,RPS18,0.035601753314010304
AHR,RPS2,0.03956773416583525
AHR,RUNX2,0.03746580445766245
AHR,S100A4,-0.04285087251844045
AHR,SELL,0.04062832536640446
AHR,TCF7,0.042607205459972465
AKAP8,AHNAK,0.033418948391413045
AKAP8,B2M,-0.04722447034681987
AKAP8,CCNL1,0.03054465771221835
AKAP8,CXCR4,0.0321835818323168
AKAP8,MYL12A,-0.03349652412715115
AKAP8,PCLAF,0.026729176491451997
AKAP8,PIK3R1,0.038384016338705654
AKAP8,RPL39,-0.03455133190230755
AKAP8,RPL41,-0.03903009499259605
AKAP8,RPS27,-0.037347648006579096
AKAP8,RPS28,-0.0368844644617565
AKAP8,SRRM2,0.03220602355761275
AKAP8,SYNE1,0.03040569548639835
AKNA,A2M,0.034998111590212946
AKNA,AAK1,0.0456828796555701
AKNA,ABHD2,0.04816546604052383
AKNA,ABR,0.02856430429852845
AKNA,ACIN1,0.05027685206679857
AKNA,ADAR,0.05129383169646485
AKNA,ADD3,0.0333053695332403
AKNA,ADGRE5,0.0333184024337334
AKNA,ADGRG1,0.036081911299615396
AKNA,AEBP2,0.0312478424226537
AKNA,AFF4,0.03480175950008963
AKNA,AKAP9,0.0383558621187788
AKNA,AMBRA1,0.03187083462778845
AKNA,ANKRD17,0.041207642634985865
AKNA,AOAH,0.07445891632284353
AKNA,AP1G1,0.0403116401669493
AKNA,APC,0.034582687656220495
AKNA,APOBR,0.0384219955202362
AKNA,APOL6,0.0476223435070997
AKNA,AQR,0.029688250402903002
AKNA,ARFGEF1,0.0409105946428057
AKNA,ARFGEF2,0.03487265998033095
AKNA,ARHGAP30,0.050566970071319405
AKNA,ARID1B,0.046675273082609735
AKNA,ARID2,0.0371405754028477
AKNA,ARID4B,0.04584887930920014
AKNA,ARID5B,0.037506278124182564
AKNA,ARIH1,0.043664340855216734
AKNA,ASH1L,0.040237290114893354
AKNA,ATAD2B,0.04058308256804017
AKNA,ATR,0.03706596341259085
AKNA,ATXN2L,0.0336381996695303
AKNA,B2M,-0.1030657614877284
AKNA,B4GALT1,0.059016643822477954
AKNA,BAZ1B,0.03451588313262975
AKNA,BAZ2A,0.0470091183326915
AKNA,BAZ2B,0.03153478186055977
AKNA,BEST1,0.043114633367077
AKNA,BICRAL,0.0358316893292644
AKNA,BRD2,0.03925495327845987
AKNA,BRD4,0.0335659960953795
AKNA,BTAF1,0.04892690209975085
AKNA,BTBD9,0.0487838556642683
AKNA,BTN3A1,0.0354403774457354
AKNA,BTN3A3,0.028622311679527147
AKNA,BZW1,0.03708077413334595
AKNA,CARD11,0.05322797318135705
AKNA,CASP8,0.036647785051817275
AKNA,CCDC93,0.03112583599133905
AKNA,CD69,0.0349536942788228
AKNA,CDC42SE1,0.0518910746774507
AKNA,CDK12,0.0422811003120245
AKNA,CDK13,0.03969941676782787
AKNA,CELF1,0.03353979503245105
AKNA,CEP120,0.0333385172257179
AKNA,CEP192,0.0306057608003112
AKNA,CEP250,0.03696733154193635
AKNA,CEP95,0.0362165860206916
AKNA,CFLAR,0.034814582866152834
AKNA,CHD1,0.05076377645386879
AKNA,CHD3,0.0377512630370449
