source,target,weight
ADNP,ACTB,-0.0531644254449262
ADNP,B2M,-0.08050695739694613
ADNP,EIF1,-0.0426117915038609
ADNP,FTL,-0.0437576183873307
ADNP,MT-CO2,-0.036019910431153004
ADNP,RPL13,-0.048907890004195646
ADNP,RPL32,-0.05377381925624565
ADNP,RPL6,-0.0473660679426362
ADNP,RPS14,-0.05816226102803995
ADNP,RPS29,-0.036572092444354
ADNP,RPS6,-0.0372866475311863
ADNP,SERF2,-0.044855095177772905
ADNP,TYROBP,-0.0499754461106414
AEBP2,MYL6,-0.048609358314029294
AEBP2,NACA,-0.0459975778718665
AEBP2,RPL10,-0.07517082053251145
AEBP2,RPL23A,-0.05229223453647365
AEBP2,RPL36,-0.04627281232576545
AEBP2,RPL37,-0.0608859039539537
AEBP2,RPS15,-0.06485485907756386
AEBP2,RPS18,-0.039948946542086465
AEBP2,RPS2,-0.0394914511851889
AEBP2,RPS7,-0.05973378973787015
AHDC1,PTMA,-0.034603639987913
AHDC1,RPL13,-0.0461209352070338
AHDC1,RPL23A,-0.0421001327756787
AHDC1,RPL29,-0.04027756735809695
AHDC1,RPLP2,-0.043757129833653804
AHDC1,RPS12,-0.0533957507073058
AHDC1,RPS15A,-0.05008024901939065
AHDC1,RPS23,-0.04809017773927565
AHDC1,RPS27A,-0.057065626567897904
AHDC1,RPS3A,-0.043646340393612745
AHDC1,RPS7,-0.04472203824822285
AHR,ACTB,-0.067178455592783
AHR,ARPC2,-0.0552471627662821
AHR,CAPG,0.1205350846112125
AHR,CCR7,0.0753701102630885
AHR,CFL1,-0.055818795545249905
AHR,CLDND1,0.0477577795383852
AHR,CMC1,0.040290302671851796
AHR,COL9A2,0.0618741382207485
AHR,CYBA,-0.07499322578333215
AHR,EML4,0.04177403532751335
AHR,HLA-E,-0.045950229852407654
AHR,IL18R1,0.0474058949253441
AHR,LSR,0.05174186491551125
AHR,MAML3,0.058217929709906496
AHR,MCUB,0.05276924457137855
AHR,MYL12A,-0.058367730816586
AHR,NFKB1,0.05903160919259985
AHR,SERF2,-0.059353617105296505
AHR,SLC38A1,0.035055563882496296
AHR,SLC44A1,0.0384562689935924
AHR,SPON2,-0.09086442525927335
AHR,SPTBN1,0.04035369238385395
AHR,TMSB10,-0.06741020802801785
AHR,TNFAIP3,0.059340903995608305
ARID3A,B2M,-0.04408287587452217
ARID3A,TMSB4X,-0.0450820613746208
ARID3B,ATP5F1E,-0.038497930368410954
ARID3B,NACA,-0.03782857384690615
ARID3B,RPL22,-0.03775683919838285
ARID3B,RPL30,-0.061664048081545145
ARID3B,RPL5,-0.03945017653898235
ARID3B,RPL8,-0.040483494293908795
ARID3B,RPLP2,-0.04978786602827785
ARID3B,RPS18,-0.041167225930757605
ARID3B,RPS7,-0.0523242949046362
ARID3B,RPS8,-0.047911195455020344
ARID5A,RPL18,-0.040799806658519955
ARID5A,RPL41,-0.0757719611768544
ARNT,B2M,-0.07473361486447716
ARNT,CALM1,-0.0362733070659729
ARNT,CFL1,-0.043358269013692496
ARNT,CYBA,-0.0370729645427611
