source,target,weight,promotor_based,cell_type,sample_size,gene_size
JUNB,DUSP1,0.30702472756414756,True,B,125003,4942
FOS,DUSP1,0.2915725047456207,True,B,125003,4942
BCL11B,FYB1,0.2887171479507483,False,B,125003,4942
JUNB,FOS,0.288521913203932,True,B,125003,4942
FOS,JUNB,0.288521913203932,True,B,125003,4942
BCL11B,IL7R,0.2826745269456235,False,B,125003,4942
FOS,JUN,0.261977159380265,True,B,125003,4942
JUN,FOS,0.261977159380265,True,B,125003,4942
JUN,DUSP1,0.2604807588640625,True,B,125003,4942
BCL11B,CD3G,0.25861154734935426,False,B,125003,4942
BCL11B,GIMAP7,0.2525163751057365,False,B,125003,4942
BCL11B,AAK1,0.24583991942984915,False,B,125003,4942
BCL11B,CD3E,0.24184197777110625,False,B,125003,4942
JUN,JUNB,0.23403167439545314,True,B,125003,4942
JUNB,JUN,0.23403167439545314,True,B,125003,4942
BCL11B,CD3D,0.22556160855923582,False,B,125003,4942
JUNB,ZFP36,0.22115434711064205,False,B,125003,4942
FOS,CD69,0.2185229995949946,False,B,125003,4942
BCL11B,CD2,0.21333809149028432,False,B,125003,4942
JUNB,IER2,0.20444701814730246,True,B,125003,4942
JUNB,EIF1,0.2026457011786319,True,B,125003,4942
BCL11B,MAL,0.20107696450529347,False,B,125003,4942
ZNF706,RPS27,-0.20048947232704417,False,B,125003,4942
JUNB,H3-3B,0.19917506146231315,True,B,125003,4942
JUNB,FTH1,0.19557013901939965,True,B,125003,4942
FOSB,FOS,0.19390538690501782,True,B,125003,4942
FOS,FOSB,0.1939053869050178,True,B,125003,4942
JUN,CD69,0.19370493651546086,True,B,125003,4942
BCL11B,IL32,0.1934305645309632,False,B,125003,4942
JUN,TSC22D3,0.19196781501542426,True,B,125003,4942
MEF2C,TCL1A,0.18933948351540156,False,B,125003,4942
JUNB,RPS27,0.18836421681739607,True,B,125003,4942
MEF2C,CRIP1,-0.18768879432402372,False,B,125003,4942
FOSB,JUNB,0.18629501419878353,True,B,125003,4942
JUNB,FOSB,0.18629501419878353,True,B,125003,4942
ZNF706,RPL21,-0.18563307555715872,False,B,125003,4942
YBX3,TCL1A,0.18529825580371911,False,B,125003,4942
NR4A2,RGS2,0.1838754923776064,True,B,125003,4942
ZNF706,RPL34,-0.18287431318671654,False,B,125003,4942
BCL11B,GIMAP4,0.1823128613548679,False,B,125003,4942
FOS,IER2,0.17993330670150248,True,B,125003,4942
ZNF706,RPL13,-0.17976912660996341,False,B,125003,4942
BCL11B,TXK,0.17958185962979908,False,B,125003,4942
BCL11B,CD7,0.17883161056003424,False,B,125003,4942
FOS,CXCR4,0.17849500346435448,False,B,125003,4942
ZNF706,RPS27A,-0.1784507116963198,False,B,125003,4942
JUNB,TSC22D3,0.17822391431853646,False,B,125003,4942
MEF2C,TMSB10,0.1780348780877465,False,B,125003,4942
ZNF706,RPL13A,-0.1778147629442009,False,B,125003,4942
ZNF706,RPS19,-0.17735741537620628,False,B,125003,4942
ZNF706,RPL18A,-0.17563270926844146,False,B,125003,4942
JUNB,CXCR4,0.17545935283839745,True,B,125003,4942
JUN,EIF1,0.17517398315471858,True,B,125003,4942
LEF1,BCL11B,0.17504595297706904,False,B,125003,4942
BCL11B,LEF1,0.17504595297706904,False,B,125003,4942
ZNF706,RPL41,-0.17489354368159854,False,B,125003,4942
ZNF706,RPL32,-0.17452743356747377,False,B,125003,4942
ZNF706,RPL10,-0.1742455034115464,False,B,125003,4942
JUNB,BTG1,0.1730198284308676,False,B,125003,4942
ZNF706,RPLP2,-0.17058043751936972,False,B,125003,4942
ZNF706,RPS29,-0.16855039927958723,False,B,125003,4942
SPI1,RPS27,-0.16820520420523405,True,B,125003,4942
ZNF706,RPL39,-0.16758896348826657,False,B,125003,4942
BCL11B,LAT,0.1674506624190171,False,B,125003,4942
BCL11B,CD74,-0.16707805940176007,False,B,125003,4942
TSHZ2,BCL11B,0.1668614586265196,False,B,125003,4942
BCL11B,TSHZ2,0.16686145862651958,False,B,125003,4942
BCL11B,INPP4B,0.16647167104927332,False,B,125003,4942
FOXP1,CRIP1,-0.16602982477204709,False,B,125003,4942
MEF2C,IL4R,0.16577466156670487,False,B,125003,4942
BCL11B,CAMK4,0.16556084081576417,False,B,125003,4942
JUNB,RPL10,0.1651320495983706,False,B,125003,4942
JUN,CXCR4,0.1650687209519703,False,B,125003,4942
BCL11B,GIMAP5,0.16506495665890353,False,B,125003,4942
JUNB,RPL21,0.1643650678485099,True,B,125003,4942
JUNB,RPS27A,0.16422541686051406,False,B,125003,4942
JUN,BTG1,0.16364974290220344,True,B,125003,4942
JUNB,RPL34,0.16353814444856263,True,B,125003,4942
YBX3,B2M,-0.16337887174027627,False,B,125003,4942
JUN,FOSB,0.16308572677673838,True,B,125003,4942
FOSB,JUN,0.16308572677673835,True,B,125003,4942
JUNB,RPL41,0.1630432834983903,False,B,125003,4942
MEF2C,CD74,0.16297841871539318,True,B,125003,4942
JUNB,RPLP2,0.16289633292621628,True,B,125003,4942
JUN,NFKBIA,0.16281269454298922,True,B,125003,4942
DRAP1,RPS27,-0.16238551718239433,True,B,125003,4942
ZNF706,RPS23,-0.16162055619185453,False,B,125003,4942
HMGA1,RPS27,-0.16152640667278959,False,B,125003,4942
ZNF706,RPS6,-0.16148293494114524,False,B,125003,4942
CXXC5,RPS27,-0.16069147351524515,False,B,125003,4942
HMGN3,RPL21,-0.16063359215728074,False,B,125003,4942
ZNF706,RPS15A,-0.16060011170123395,False,B,125003,4942
ZNF706,RPL11,-0.16048062692287024,False,B,125003,4942
JUN,PPP1R15A,0.16017369315221858,True,B,125003,4942
JUNB,PTMA,0.15981020644942662,False,B,125003,4942
FOXP1,TCL1A,0.1597309295952051,False,B,125003,4942
FOXP1,BTG1,0.15964518425739185,True,B,125003,4942
BCL11B,TRAT1,0.15912717923536457,False,B,125003,4942
SP140,RPS27,-0.15828421786875177,False,B,125003,4942
SPI1,RPL34,-0.15799520832612582,True,B,125003,4942
ZNF706,RPS3A,-0.15795246111380967,False,B,125003,4942
ZNF706,RPS15,-0.1577000395793688,False,B,125003,4942
ZNF706,RPS28,-0.15759472511386194,False,B,125003,4942
ZNF706,RPS8,-0.15737874624189707,False,B,125003,4942
JUN,IER2,0.15728330499116447,True,B,125003,4942
BCL11B,ANXA1,0.15698235295342658,False,B,125003,4942
JUNB,FAU,0.15650765466753996,False,B,125003,4942
FOS,TSC22D3,0.15649360314260827,False,B,125003,4942
FOS,BTG1,0.15591788501784268,True,B,125003,4942
CXXC5,RPL39,-0.1557950846902998,False,B,125003,4942
SPI1,RPL21,-0.15571707144308147,True,B,125003,4942
ZNF706,RPS17,-0.15565371112356857,False,B,125003,4942
PA2G4,RPS27,-0.15543232526538384,False,B,125003,4942
HMGN3,RPS27,-0.1549994870126991,False,B,125003,4942
DRAP1,RPL21,-0.15490399594855236,True,B,125003,4942
JUNB,CD69,0.15443794211221268,True,B,125003,4942
ZNF706,RPL12,-0.15430878856335262,False,B,125003,4942
BCL11B,SAMHD1,0.15409688951326206,False,B,125003,4942
ZNF706,RPL28,-0.15403874638507545,False,B,125003,4942
YBX3,IL4R,0.1538704577090667,False,B,125003,4942
FOS,ZFP36,0.15386591982871775,False,B,125003,4942
JUNB,RPL11,0.1538550911513807,False,B,125003,4942
IRF7,RPS27,-0.1536825134569343,False,B,125003,4942
ZNF706,RPS12,-0.15357098892111168,False,B,125003,4942
ZNF706,RPL30,-0.15353162010256546,False,B,125003,4942
CXXC5,RPL21,-0.1534873710658044,False,B,125003,4942
DRAP1,RPL41,-0.15335654490789488,True,B,125003,4942
ZNF706,RPL37,-0.15333742738590597,False,B,125003,4942
ZNF706,RPL35A,-0.15332187112578105,False,B,125003,4942
BCL11B,ITK,0.1531865875792719,False,B,125003,4942
FOS,EIF1,0.15301743064438691,True,B,125003,4942
JUNB,RPL13A,0.15291641199005165,True,B,125003,4942
LEF1,FYB1,0.152617335208006,False,B,125003,4942
HMGN3,RPL13,-0.15242621920364915,False,B,125003,4942
ZNF706,RPL26,-0.15205673225483937,False,B,125003,4942
LEF1,CD3G,0.1519366233519663,False,B,125003,4942
ZNF706,RPL35,-0.15186390273584235,False,B,125003,4942
ZNF706,RPL37A,-0.15164413236233742,False,B,125003,4942
DRAP1,RPLP2,-0.1516162109168262,True,B,125003,4942
ZNF706,RPL19,-0.15142042425731153,False,B,125003,4942
BCL11B,PRKCA,0.15083038799429307,True,B,125003,4942
ZNF706,RPL15,-0.15038176074111093,False,B,125003,4942
CXXC5,RPS19,-0.15002677592583943,False,B,125003,4942
FOS,TCL1A,0.14991533327719245,True,B,125003,4942
DRAP1,RPS29,-0.1491765843105079,True,B,125003,4942
NR4A2,TMSB10,-0.14917560204675973,False,B,125003,4942
ZNF706,RPL17,-0.14896037445644852,False,B,125003,4942
LEF1,IL7R,0.1489246607168262,True,B,125003,4942
JUNB,RPS3A,0.1488127859939136,True,B,125003,4942
JUNB,RPL39,0.14860669524009912,False,B,125003,4942
RBCK1,RPS27,-0.148522675695739,False,B,125003,4942
HMGN3,RPL18A,-0.1485178293757449,False,B,125003,4942
JUNB,B2M,0.1483719930632626,True,B,125003,4942
SPI1,RPS29,-0.14837021815879356,False,B,125003,4942
DRAP1,RPL34,-0.1483232452112825,True,B,125003,4942
FOS,NFKBIA,0.14830704477720308,False,B,125003,4942
DRAP1,RPL32,-0.14817347907133047,True,B,125003,4942
BCL11B,RORA,0.14782700792681844,False,B,125003,4942
RORA,BCL11B,0.1478270079268184,False,B,125003,4942
JUNB,RPS29,0.1477697363256789,True,B,125003,4942
ZNF706,RPL23A,-0.14768139287642298,False,B,125003,4942
NR4A2,RPL13,-0.1475173418266476,False,B,125003,4942
CXXC5,RPL18A,-0.14732351349583095,False,B,125003,4942
CXXC5,RPL34,-0.14730870114704753,False,B,125003,4942
SPI1,RPL32,-0.1471174121949434,True,B,125003,4942
DRAP1,RPL39,-0.14680751709821524,True,B,125003,4942
CXXC5,RPL32,-0.14672902094318255,False,B,125003,4942
ZNF706,FAU,-0.14662745605132044,False,B,125003,4942
BCL11B,LCK,0.14662107273674635,False,B,125003,4942
DRAP1,RPS15A,-0.14654926450215663,True,B,125003,4942
BCL11B,GIMAP1,0.14649068883772456,False,B,125003,4942
JUN,ZFP36,0.14645641234208406,True,B,125003,4942
SPI1,RPL13,-0.14632978034128102,True,B,125003,4942
MEF2C,CD27,-0.14624842647937156,False,B,125003,4942
SPI1,RPL39,-0.14614525544342324,True,B,125003,4942
HMGN3,RPL10,-0.1459397309424984,False,B,125003,4942
HMGN3,RPL32,-0.14579068669909026,False,B,125003,4942
PIN1,RPS27,-0.145790434565445,False,B,125003,4942
JUNB,RPS15A,0.14511814279267168,False,B,125003,4942
SPI1,RPL41,-0.14507041679545624,True,B,125003,4942
SPI1,RPS27A,-0.14469460039127888,True,B,125003,4942
ZNF706,RPS5,-0.1446445967691,False,B,125003,4942
LEF1,GIMAP7,0.14454347340477744,False,B,125003,4942
KLF6,TSC22D3,0.14403311102264707,False,B,125003,4942
ZNF706,RPS25,-0.1439795454375605,False,B,125003,4942
BCL11B,TCF7,0.1438334271795974,False,B,125003,4942
TCF7,BCL11B,0.14383342717959738,False,B,125003,4942
JUNB,RPS28,0.14380434128379638,False,B,125003,4942
SPI1,RPS15A,-0.1437814387702568,True,B,125003,4942
HMGN3,RPS19,-0.14374985608050736,False,B,125003,4942
ZNF706,RPL9,-0.14365136976298631,False,B,125003,4942
BCL11B,LIME1,0.1435911224239989,False,B,125003,4942
JUNB,CD74,0.1434091635962502,True,B,125003,4942
SPI1,RPLP2,-0.14333535110907586,True,B,125003,4942
NR4A2,RPL18A,-0.14333469664471735,False,B,125003,4942
DRAP1,RPL13,-0.1432854240851697,True,B,125003,4942
SP140,RPL21,-0.1431834630195281,False,B,125003,4942
MBD4,RPS27,-0.14317261718193725,False,B,125003,4942
IRF7,RPL21,-0.14311795592411664,False,B,125003,4942
IRF7,RPL34,-0.14311406309736904,False,B,125003,4942
ZNF706,CD74,-0.14294463356426038,False,B,125003,4942
JUNB,RPS19,0.14294344522151142,False,B,125003,4942
DRAP1,RPL13A,-0.14271882927838264,True,B,125003,4942
MEF2C,RPL18A,0.14267623703339244,False,B,125003,4942
CXXC5,RPL13,-0.1425295377031068,False,B,125003,4942
CXXC5,RPS29,-0.14245201837975205,False,B,125003,4942
ZNF706,RPS13,-0.14244254052522054,False,B,125003,4942
HMGN3,RPLP2,-0.14239640685210136,False,B,125003,4942
HMGN3,RPS27A,-0.1422783839387015,False,B,125003,4942
DRAP1,RPS28,-0.14210312903419026,True,B,125003,4942
CXXC5,RPL41,-0.1420075741589825,False,B,125003,4942
MEF2C,COTL1,-0.14186178565564364,False,B,125003,4942
SPI1,RPL13A,-0.1416526985316101,False,B,125003,4942
ATF4,RPS27,-0.14151104735333161,True,B,125003,4942
DRAP1,RPL10,-0.14119082567611685,True,B,125003,4942
JUNB,RPL30,0.14115015583177495,False,B,125003,4942
FOXP1,S100A10,-0.141102078751798,False,B,125003,4942
BCL11B,RPL13A,-0.14092178136996295,True,B,125003,4942
BCL11B,RPS23,-0.14090745245361116,False,B,125003,4942
HMGN3,RPL34,-0.14090163980862844,False,B,125003,4942
HMGN3,RPL13A,-0.14083293087397064,False,B,125003,4942
SPI1,RPS19,-0.14067015683810308,True,B,125003,4942
ZNF706,RPS2,-0.14056545285550426,False,B,125003,4942
CXXC5,TMSB4X,-0.14054846775129803,False,B,125003,4942
