source,target,weight,promotor_based,cell_type,sample_size,gene_size
LEF1,NKG7,-0.34097862598008916,False,CD8T,260424,4949
LEF1,CCL5,-0.32599067406404025,False,CD8T,260424,4949
FOS,JUNB,0.30634144650117334,True,CD8T,260424,4949
JUNB,FOS,0.3063414465011733,True,CD8T,260424,4949
TCF7,NKG7,-0.300440797278764,False,CD8T,260424,4949
ZEB2,NKG7,0.29938616513242766,False,CD8T,260424,4949
LEF1,CCR7,0.29522212708570916,False,CD8T,260424,4949
JUN,JUNB,0.2945263419368893,True,CD8T,260424,4949
JUNB,JUN,0.29452634193688926,True,CD8T,260424,4949
FOS,DUSP1,0.2923633544265004,True,CD8T,260424,4949
ZEB2,GZMH,0.29003722450182895,False,CD8T,260424,4949
MYC,NKG7,-0.28996681064163693,True,CD8T,260424,4949
ZEB2,RPL13,-0.287195538046614,True,CD8T,260424,4949
LEF1,CST7,-0.2843455030660357,False,CD8T,260424,4949
JUN,FOS,0.28367954541987583,True,CD8T,260424,4949
FOS,JUN,0.28367954541987583,True,CD8T,260424,4949
JUN,DUSP1,0.2820826047384775,True,CD8T,260424,4949
LEF1,LTB,0.27518600055783143,False,CD8T,260424,4949
MYC,CCL5,-0.2718852166599576,True,CD8T,260424,4949
JUNB,DUSP1,0.2714286561471897,True,CD8T,260424,4949
ZEB2,RPS12,-0.26949899948802625,True,CD8T,260424,4949
FOXP1,NKG7,-0.2690524992872755,False,CD8T,260424,4949
ZEB2,EEF1A1,-0.2666827233251566,True,CD8T,260424,4949
ZEB2,RPL32,-0.26544634066413864,True,CD8T,260424,4949
ZEB2,RPS6,-0.2604315950172316,True,CD8T,260424,4949
ZEB2,RPL34,-0.25968589344804677,True,CD8T,260424,4949
ZEB2,RPL21,-0.2578073374775013,True,CD8T,260424,4949
ZEB2,LTB,-0.25687522928747325,True,CD8T,260424,4949
TCF7,GZMH,-0.254875505472748,False,CD8T,260424,4949
ZEB2,RPS13,-0.2546074081716286,True,CD8T,260424,4949
ZEB2,RPS18,-0.2542514068820454,True,CD8T,260424,4949
MYC,LTB,0.25414978732285703,False,CD8T,260424,4949
LEF1,GZMA,-0.25373923069659093,False,CD8T,260424,4949
ZEB2,RPS3A,-0.2537248629943819,True,CD8T,260424,4949
ZEB2,FGFBP2,0.253629083428059,False,CD8T,260424,4949
LEF1,AIF1,0.2533236988495018,False,CD8T,260424,4949
ZEB2,RPS8,-0.25289620875277113,True,CD8T,260424,4949
ZEB2,RPL9,-0.2526415780918669,True,CD8T,260424,4949
LEF1,S100A4,-0.2526265616241868,True,CD8T,260424,4949
ZEB2,RPS2,-0.25244469845757156,True,CD8T,260424,4949
ZEB2,RPL13A,-0.25232948180408865,True,CD8T,260424,4949
ASCL2,FGFBP2,0.2522754964846509,False,CD8T,260424,4949
ZEB2,RPS25,-0.2521642042096347,True,CD8T,260424,4949
ZEB2,RPL18A,-0.2513522386003883,True,CD8T,260424,4949
ZEB2,GZMB,0.25074029663762554,False,CD8T,260424,4949
ZEB2,RPL11,-0.24896233324250458,True,CD8T,260424,4949
LEF1,GZMH,-0.24870397377281286,False,CD8T,260424,4949
ZEB2,RPL10,-0.24799321505869604,True,CD8T,260424,4949
ZEB2,RPS23,-0.24762493138059694,True,CD8T,260424,4949
ZEB2,RPLP2,-0.24475019108414292,True,CD8T,260424,4949
LEF1,MAL,0.24456139640587857,False,CD8T,260424,4949
ZEB2,RPL19,-0.24411145582108032,True,CD8T,260424,4949
ZEB2,RPL30,-0.24267023324136672,True,CD8T,260424,4949
ZEB2,RPS28,-0.24242184832133554,True,CD8T,260424,4949
TCF7,CCL5,-0.24173536906615048,False,CD8T,260424,4949
LEF1,RPS13,0.24158102398017628,True,CD8T,260424,4949
LEF1,RPS5,0.2400327688089068,False,CD8T,260424,4949
ZEB2,RPS5,-0.23970951406774085,True,CD8T,260424,4949
ZEB2,RPS14,-0.239665592014663,True,CD8T,260424,4949
FOXP1,CCL5,-0.23950721858677534,False,CD8T,260424,4949
ZEB2,RPL10A,-0.23934671032740099,True,CD8T,260424,4949
ZEB2,RPLP1,-0.23905853826834292,True,CD8T,260424,4949
TCF7,LTB,0.2386659865083695,False,CD8T,260424,4949
LEF1,LDHB,0.2384488425224182,True,CD8T,260424,4949
LEF1,EEF1G,0.23820505677384554,False,CD8T,260424,4949
ASCL2,GZMB,0.2371231712092423,False,CD8T,260424,4949
ZEB2,RPL17,-0.23710318628899282,True,CD8T,260424,4949
ZEB2,EEF1G,-0.23651600088687164,True,CD8T,260424,4949
LEF1,NOSIP,0.23524410089889297,True,CD8T,260424,4949
MYC,CCR7,0.23515559823270274,True,CD8T,260424,4949
MYC,GZMH,-0.2343497239658962,False,CD8T,260424,4949
LEF1,RCAN3,0.23415449654358303,True,CD8T,260424,4949
ZEB2,RPL36,-0.2341194815983116,True,CD8T,260424,4949
ZEB2,RPL28,-0.23396458925455008,False,CD8T,260424,4949
MYC,CST7,-0.23307257061545866,True,CD8T,260424,4949
ZEB2,RPL35A,-0.23304670241916892,True,CD8T,260424,4949
LEF1,RPS8,0.23284192761029768,True,CD8T,260424,4949
ZEB2,RPL5,-0.23237235627459266,True,CD8T,260424,4949
JUNB,CXCR4,0.23123480635149904,True,CD8T,260424,4949
LEF1,RPS3A,0.23084643760469054,True,CD8T,260424,4949
ZEB2,RPS27,-0.23064684043984127,True,CD8T,260424,4949
ZEB2,RPS15A,-0.23062628968276636,True,CD8T,260424,4949
LEF1,SELL,0.23022267358045595,False,CD8T,260424,4949
ZEB2,RPS16,-0.22968663300822892,True,CD8T,260424,4949
ZEB2,RPS27A,-0.22881755740659585,True,CD8T,260424,4949
LEF1,RPS6,0.22853761143987425,True,CD8T,260424,4949
LEF1,RPL13,0.22840658007960682,True,CD8T,260424,4949
ZEB2,RPL31,-0.22784455550194452,True,CD8T,260424,4949
ZEB2,RPL12,-0.22734136700052243,True,CD8T,260424,4949
FOS,NKG7,-0.22717476820984767,False,CD8T,260424,4949
ASCL2,RPL13,-0.22716282385167613,False,CD8T,260424,4949
ASCL2,GZMH,0.22690650240973265,False,CD8T,260424,4949
ZEB2,RPS4X,-0.22687149433458417,True,CD8T,260424,4949
TCF7,S100A4,-0.22657350510753965,True,CD8T,260424,4949
LEF1,RPL32,0.22535497626023168,True,CD8T,260424,4949
ZEB2,RPL18,-0.22445697153371352,True,CD8T,260424,4949
JUNB,GZMH,-0.22368410183449003,True,CD8T,260424,4949
JUNB,NKG7,-0.22365599021902768,False,CD8T,260424,4949
ZEB2,RPL41,-0.22293889841220288,True,CD8T,260424,4949
ZEB2,CST7,0.2229186841024393,False,CD8T,260424,4949
ZEB2,GNLY,0.22258841074702237,False,CD8T,260424,4949
LEF1,RPL9,0.22258148211793405,True,CD8T,260424,4949
ZEB2,RPL3,-0.22212858673085456,True,CD8T,260424,4949
ZEB2,RPS29,-0.22206655321372412,True,CD8T,260424,4949
BCL11B,NKG7,-0.22204683818360205,False,CD8T,260424,4949
TCF7,GNLY,-0.22203629138348752,False,CD8T,260424,4949
LEF1,B2M,-0.22162935506588133,True,CD8T,260424,4949
ZEB2,RPL39,-0.22136820477822386,True,CD8T,260424,4949
ZEB2,TPT1,-0.22092682126458904,True,CD8T,260424,4949
LEF1,RPL5,0.22076322033709173,True,CD8T,260424,4949
LEF1,ACTN1,0.22072495313594356,False,CD8T,260424,4949
ZEB2,RPL7,-0.21977709828581266,True,CD8T,260424,4949
LEF1,RPL21,0.21908668675823434,False,CD8T,260424,4949
LEF1,GNLY,-0.21867103038109467,False,CD8T,260424,4949
ZEB2,RPL8,-0.21807950620220648,True,CD8T,260424,4949
LEF1,RPS23,0.2177855724613731,True,CD8T,260424,4949
ZEB2,RPS9,-0.21765171954390916,True,CD8T,260424,4949
SATB1,NKG7,-0.21764195091436173,False,CD8T,260424,4949
ZEB2,RPL23A,-0.21660757655095322,True,CD8T,260424,4949
TCF7,CST7,-0.21630675624935813,False,CD8T,260424,4949
LEF1,RPL22,0.21587219242570158,False,CD8T,260424,4949
LEF1,RPL10A,0.21510124843589568,True,CD8T,260424,4949
ASCL2,RPS12,-0.2149398080559234,False,CD8T,260424,4949
ASCL2,RPLP2,-0.21430993672026905,False,CD8T,260424,4949
LEF1,SH3BGRL3,-0.2138280739566716,True,CD8T,260424,4949
LEF1,RPL11,0.21335488130971023,True,CD8T,260424,4949
ZEB2,RPS15,-0.2133354225410495,True,CD8T,260424,4949
LEF1,RPS12,0.21329732991978198,True,CD8T,260424,4949
ASCL2,RPS29,-0.212631999194524,True,CD8T,260424,4949
ZEB2,RPS3,-0.2125104682962077,True,CD8T,260424,4949
FOXP1,S100A4,-0.21168090538065162,False,CD8T,260424,4949
FOSB,JUN,0.21158564681794545,True,CD8T,260424,4949
JUN,FOSB,0.21158564681794545,True,CD8T,260424,4949
ASCL2,RPL34,-0.21155692412541327,False,CD8T,260424,4949
LEF1,EEF1A1,0.21126541519409334,True,CD8T,260424,4949
ZEB2,CCL5,0.21088015714053918,True,CD8T,260424,4949
LEF1,RPL34,0.21086684232614294,True,CD8T,260424,4949
MYC,EEF1G,0.21070421329615502,True,CD8T,260424,4949
FOXP1,CST7,-0.21064652066991313,False,CD8T,260424,4949
ZEB2,RPL22,-0.20981114346722532,True,CD8T,260424,4949
ASCL2,RPS18,-0.20966701960854023,False,CD8T,260424,4949
LEF1,RPS16,0.2096092191050686,False,CD8T,260424,4949
ASCL2,RPL13A,-0.2092075924029539,False,CD8T,260424,4949
ASCL2,GNLY,0.20875157918613105,True,CD8T,260424,4949
ASCL2,RPL32,-0.20852905136364422,False,CD8T,260424,4949
LEF1,EEF1B2,0.20850651124226469,False,CD8T,260424,4949
ZEB2,RPL36A,-0.2082557565138752,True,CD8T,260424,4949
ASCL2,RPS28,-0.20778901377052383,False,CD8T,260424,4949
LEF1,RPL18A,0.20755972691776253,True,CD8T,260424,4949
SATB1,CCL5,-0.2075069260822797,False,CD8T,260424,4949
TCF7,CCR7,0.20749238798312922,True,CD8T,260424,4949
LEF1,RPL18,0.20735899560176455,True,CD8T,260424,4949
ZEB2,RPL15,-0.20709725583822894,True,CD8T,260424,4949
ZEB2,RPS21,-0.2060796370772894,True,CD8T,260424,4949
MYC,RPS5,0.20566907626240782,True,CD8T,260424,4949
FOXP1,GZMH,-0.20561907381861907,False,CD8T,260424,4949
MYC,RPS13,0.20536625183891757,True,CD8T,260424,4949
KLF6,RPL32,-0.20527765169476733,True,CD8T,260424,4949
ZEB2,RPS17,-0.2051196555897367,True,CD8T,260424,4949
ZEB2,RPS20,-0.20499985668602247,True,CD8T,260424,4949
LEF1,RPS9,0.20490808911969405,False,CD8T,260424,4949
TBX21,RPL13,-0.204844874243155,False,CD8T,260424,4949
LEF1,RPS2,0.20467772181163513,True,CD8T,260424,4949
LEF1,RPL19,0.20451164121477935,True,CD8T,260424,4949
