source,target,weight,promotor_based,cell_type,sample_size,gene_size
FOS,LYZ,0.624766564616843,False,MONO,50389,4897
FOS,S100A9,0.6112205324625957,False,MONO,50389,4897
FOS,S100A8,0.6051258038027814,False,MONO,50389,4897
FOS,RPL39,0.6023377621707798,False,MONO,50389,4897
FOS,RPLP1,0.6008953956908646,True,MONO,50389,4897
FOS,RPL28,0.571231858662122,False,MONO,50389,4897
FOS,RPL34,0.5706103682798666,False,MONO,50389,4897
FOS,RPL32,0.56060339868979,False,MONO,50389,4897
FOS,RPL37,0.5568250800975251,True,MONO,50389,4897
FOS,FCGR3A,-0.5502957945767817,True,MONO,50389,4897
FOS,RPS15A,0.5484174728112258,True,MONO,50389,4897
FOS,ATP5F1E,0.5334617463827975,True,MONO,50389,4897
FOS,RPS28,0.5300645912646784,False,MONO,50389,4897
FOSB,FOS,0.5298420969901644,True,MONO,50389,4897
FOS,FOSB,0.5298420969901644,True,MONO,50389,4897
FOS,FTL,0.5251782750145673,False,MONO,50389,4897
FOS,GPX1,0.5233737120186194,True,MONO,50389,4897
FOS,TYROBP,0.5069909571186321,False,MONO,50389,4897
YBX1,S100A8,-0.4872773117907833,False,MONO,50389,4897
FOS,RPLP2,0.48721964744401886,True,MONO,50389,4897
YBX1,S100A9,-0.48683190731867054,False,MONO,50389,4897
FOS,RHOC,-0.483940553201564,True,MONO,50389,4897
FOS,RPL13,0.48369385585116215,True,MONO,50389,4897
FOS,RPL26,0.4825695698815223,False,MONO,50389,4897
FOS,S100A6,0.4791620085984172,False,MONO,50389,4897
FOS,RPS24,0.47811826938995017,True,MONO,50389,4897
FOS,TMSB10,0.4777469212677538,False,MONO,50389,4897
FOS,UBA52,0.4760606819105076,False,MONO,50389,4897
FOS,RPL10,0.46224908434907747,False,MONO,50389,4897
FOS,TMSB4X,0.46221642365734533,True,MONO,50389,4897
FOS,RPS12,0.4612338103477095,False,MONO,50389,4897
FOS,RPL35A,0.45927247340148947,False,MONO,50389,4897
FOS,RPL41,0.4552201265798115,False,MONO,50389,4897
FOS,RPS15,0.4527354054684333,False,MONO,50389,4897
DRAP1,FCGR3A,0.44929399589494584,False,MONO,50389,4897
FOS,RPS27,0.44847974650472844,True,MONO,50389,4897
FOS,TPT1,0.44695552454845033,True,MONO,50389,4897
FOS,FAU,0.439945297321324,False,MONO,50389,4897
FOS,RPS3A,0.4393704987814509,False,MONO,50389,4897
FOS,RPL37A,0.4391187677016932,False,MONO,50389,4897
FOS,DUSP1,0.4371775845774048,True,MONO,50389,4897
FOS,RPL13A,0.435594823747365,True,MONO,50389,4897
DRAP1,LYZ,-0.4309295686463939,True,MONO,50389,4897
FOS,SRGN,0.4302129071753707,True,MONO,50389,4897
YBX1,FCGR3A,0.42487833962469207,False,MONO,50389,4897
JUN,FOS,0.4227205842626069,True,MONO,50389,4897
FOS,JUN,0.4227205842626069,True,MONO,50389,4897
FOS,RPS27A,0.4206134568193986,False,MONO,50389,4897
FOS,RPL11,0.42018189165630443,False,MONO,50389,4897
FOSB,FCGR3A,-0.4200738997295411,False,MONO,50389,4897
FOS,H3-3A,0.41442608700806066,False,MONO,50389,4897
DRAP1,S100A8,-0.4135900436414627,False,MONO,50389,4897
FOSB,LYZ,0.41240099940317904,False,MONO,50389,4897
DRAP1,S100A9,-0.4083466563052464,False,MONO,50389,4897
FOS,RPS14,0.4078803207990697,True,MONO,50389,4897
FOS,GAPDH,0.4036033224817975,True,MONO,50389,4897
FOSB,S100A9,0.4033608209619129,False,MONO,50389,4897
FOSB,S100A8,0.40260497954407926,False,MONO,50389,4897
FOS,RPL27,0.4016897557318083,True,MONO,50389,4897
FOS,RPL38,0.4011644310607178,False,MONO,50389,4897
FOS,RPL17,0.40079867662643115,True,MONO,50389,4897
FOS,RPL12,0.39755665933419704,True,MONO,50389,4897
FOSB,RPLP1,0.39198635177918173,True,MONO,50389,4897
FOS,NAMPT,0.39099897179290516,True,MONO,50389,4897
FOS,GABARAP,0.3903095711599806,True,MONO,50389,4897
FOS,ABI3,-0.39014837139052827,True,MONO,50389,4897
FOS,HLA-DPA1,-0.3897945914605886,False,MONO,50389,4897
FOSB,JUN,0.38917963051430826,True,MONO,50389,4897
JUN,FOSB,0.38917963051430826,True,MONO,50389,4897
DRAP1,RPLP1,-0.38603431250102205,True,MONO,50389,4897
FOS,RPL36,0.3857703287766659,True,MONO,50389,4897
FOS,RPS13,0.3852202285860736,True,MONO,50389,4897
FOS,ATP5MJ,0.38058775768503444,False,MONO,50389,4897
FOS,KLF6,0.38024307461013157,True,MONO,50389,4897
KLF6,FOS,0.38024307461013157,True,MONO,50389,4897
DRAP1,RHOC,0.37738956334642626,True,MONO,50389,4897
JUN,FCGR3A,-0.37698991255531106,True,MONO,50389,4897
FOS,RPL21,0.3765802395071817,False,MONO,50389,4897
FOS,RPS8,0.3761061458730232,False,MONO,50389,4897
DRAP1,GPX1,-0.37516469277757514,True,MONO,50389,4897
FOSB,RPL39,0.3748789352927172,False,MONO,50389,4897
JUN,S100A9,0.37217251663346534,False,MONO,50389,4897
FOSB,GPX1,0.37170331451438615,False,MONO,50389,4897
JUN,S100A8,0.3714756703548704,False,MONO,50389,4897
YBX1,LYZ,-0.371110233593406,False,MONO,50389,4897
FOS,CD79B,-0.36881996129915035,False,MONO,50389,4897
FOS,LGALS1,0.3658308288019686,True,MONO,50389,4897
FOS,RPS16,0.365716162559439,False,MONO,50389,4897
FOSB,RPL37,0.36420613181614264,True,MONO,50389,4897
FOS,RPS9,0.3641391320700016,False,MONO,50389,4897
YBX1,RHOC,0.3610274097223311,False,MONO,50389,4897
FOSB,RPL28,0.3599610955815092,False,MONO,50389,4897
FOS,MTSS1,-0.3586026823830724,False,MONO,50389,4897
FOSB,RPL32,0.35847785160102796,False,MONO,50389,4897
FOS,NAP1L1,-0.357745504021723,True,MONO,50389,4897
FOS,SERF2,0.35681003175035314,True,MONO,50389,4897
FOS,RPL19,0.3551250606025536,False,MONO,50389,4897
FOS,TUBA1B,-0.3541780573749565,True,MONO,50389,4897
FOS,FCN1,0.3532015275795791,False,MONO,50389,4897
YBX1,GPX1,-0.35250891202351436,False,MONO,50389,4897
FOS,RPS18,0.35171676719970446,True,MONO,50389,4897
FOS,IFITM3,-0.3515272909539314,True,MONO,50389,4897
FOS,RPL18A,0.3512087555614402,True,MONO,50389,4897
FOSB,RHOC,-0.3511690415402105,False,MONO,50389,4897
FOSB,RPS28,0.34850038203835504,False,MONO,50389,4897
FOS,RPL29,0.34848468410248107,False,MONO,50389,4897
YBX1,HLA-DPA1,0.3484378362900441,True,MONO,50389,4897
FOSB,RPL34,0.34564472146013525,False,MONO,50389,4897
JUN,LYZ,0.34560756037659607,True,MONO,50389,4897
DRAP1,RPL32,-0.3442218747119262,True,MONO,50389,4897
DRAP1,RPL37,-0.3424488558086265,True,MONO,50389,4897
FOS,MNDA,0.3394445089692651,False,MONO,50389,4897
JUND,FOS,0.33769164744471714,True,MONO,50389,4897
FOS,JUND,0.3376916474447171,True,MONO,50389,4897
