source,target,weight,promotor_based,cell_type,sample_size,gene_size
ZNF90,NBEAL1,0.350862866471426,False,CD4T,179188,8279
ZNF90,B2M,-0.29961258816983455,False,CD4T,179188,8279
ETS1,B2M,-0.26454606862121327,True,CD4T,179188,8279
ZNF90,TMSB4X,-0.2475424958161373,False,CD4T,179188,8279
JUNB,B2M,0.23952735120586013,True,CD4T,179188,8279
JUNB,JUN,0.2386114589960388,True,CD4T,179188,8279
JUN,JUNB,0.2386114589960388,True,CD4T,179188,8279
ETS1,TMSB4X,-0.23840863466361023,True,CD4T,179188,8279
JUNB,FOS,0.23672853357742793,True,CD4T,179188,8279
FOS,JUNB,0.23672853357742793,True,CD4T,179188,8279
KLF6,RPL21,-0.22702724525867093,True,CD4T,179188,8279
TCF7,B2M,-0.2262412524202729,False,CD4T,179188,8279
JUN,FOS,0.2236097065085772,True,CD4T,179188,8279
FOS,JUN,0.2236097065085772,True,CD4T,179188,8279
ETS1,RPL41,-0.22273369268504112,True,CD4T,179188,8279
ZNF90,NACA2,0.22113002437621687,False,CD4T,179188,8279
JUN,DUSP1,0.22023996849147487,True,CD4T,179188,8279
RORA,RPL21,-0.21964152019491395,True,CD4T,179188,8279
JUNB,TMSB4X,0.21866028659393488,True,CD4T,179188,8279
IRF1,RPS27,-0.2177619025617279,True,CD4T,179188,8279
JUNB,FTH1,0.21771258020369136,True,CD4T,179188,8279
KLF6,RPL32,-0.2171172670872262,True,CD4T,179188,8279
RORA,RPS27,-0.21646782775831533,False,CD4T,179188,8279
IRF1,RPL34,-0.21585640162995334,False,CD4T,179188,8279
KLF6,RPS27,-0.21513440927890098,True,CD4T,179188,8279
ATF4,B2M,-0.21305393202729078,False,CD4T,179188,8279
IRF1,RPL21,-0.2129195836973399,False,CD4T,179188,8279
JUNB,DUSP1,0.21108325523919025,True,CD4T,179188,8279
IRF1,RPL41,-0.2089662663538989,False,CD4T,179188,8279
KLF6,RPL34,-0.2082699886391449,True,CD4T,179188,8279
RORA,RPL34,-0.2081872614994705,False,CD4T,179188,8279
ATF4,TMSB4X,-0.20781430808898976,True,CD4T,179188,8279
KLF6,RPS6,-0.20740784092306722,True,CD4T,179188,8279
ETS1,RPL34,-0.2054751074034112,True,CD4T,179188,8279
ZNF90,RPL7,-0.20457809022948661,False,CD4T,179188,8279
KLF6,RPS15A,-0.2045725618837549,True,CD4T,179188,8279
ETS1,RPL7,-0.20391437864664147,True,CD4T,179188,8279
KLF6,RPS27A,-0.20295710904463216,True,CD4T,179188,8279
ZNF90,RPL34,-0.20136792293486805,False,CD4T,179188,8279
ETS1,RPS18,-0.20110352009311946,True,CD4T,179188,8279
KLF6,RPL13,-0.2000603867480252,True,CD4T,179188,8279
ETS1,RPS14,-0.2000099153288056,True,CD4T,179188,8279
FOSB,RPS27,-0.19890664466205632,False,CD4T,179188,8279
ETS1,RPL21,-0.19878046538154778,True,CD4T,179188,8279
KLF6,RPS3A,-0.19841531280735056,True,CD4T,179188,8279
KLF6,RPS23,-0.19809971733687878,True,CD4T,179188,8279
ETS1,RPS27,-0.198041571154109,True,CD4T,179188,8279
KLF6,RPS13,-0.19781445775170994,True,CD4T,179188,8279
ATF4,RPL34,-0.19774765400473393,True,CD4T,179188,8279
FOS,DUSP1,0.19754877043645083,True,CD4T,179188,8279
RORA,RPS14,-0.19620749892790937,True,CD4T,179188,8279
KLF6,RPL35A,-0.19611069011573712,True,CD4T,179188,8279
RORA,RPL32,-0.19538824022600026,False,CD4T,179188,8279
FOSB,RPL34,-0.1953757845673004,False,CD4T,179188,8279
IRF1,RPS14,-0.1950735690778426,False,CD4T,179188,8279
KLF6,RPL31,-0.19438563464674943,True,CD4T,179188,8279
KLF6,RPL39,-0.19411310876227755,True,CD4T,179188,8279
ATF4,RPS27,-0.19339080568431827,True,CD4T,179188,8279
KLF6,RPS14,-0.19298516797991053,True,CD4T,179188,8279
TCF7,TMSB4X,-0.19292771646800036,True,CD4T,179188,8279
IRF1,TMSB4X,-0.19237261316363605,False,CD4T,179188,8279
ETS1,RPS2,-0.19207851033804801,True,CD4T,179188,8279
KLF6,RPLP2,-0.19189894538462773,True,CD4T,179188,8279
JUNB,CD69,0.19178051632764606,True,CD4T,179188,8279
ZNF90,RPL41,-0.19149034456171699,False,CD4T,179188,8279
ATF4,RPL41,-0.1911588083945701,True,CD4T,179188,8279
ETS1,RPS19,-0.19113490954154835,True,CD4T,179188,8279
IRF1,RPS18,-0.1905171622371553,True,CD4T,179188,8279
RORA,RPS27A,-0.19043769998254145,False,CD4T,179188,8279
FOSB,RPL21,-0.19039689982342559,False,CD4T,179188,8279
IRF1,RPS29,-0.19037417023717224,True,CD4T,179188,8279
ETS1,RPL10,-0.1896898986729583,True,CD4T,179188,8279
KLF6,RPL11,-0.1892266679914568,True,CD4T,179188,8279
KLF6,RPS28,-0.18869864166008019,True,CD4T,179188,8279
ARID5B,RPL21,-0.188684418392239,False,CD4T,179188,8279
IRF1,B2M,-0.1885897665774827,True,CD4T,179188,8279
TCF7,RPL41,-0.18850207682788536,True,CD4T,179188,8279
RORA,RPL7,-0.1881005543603712,False,CD4T,179188,8279
ATF4,RPL21,-0.18677759417246792,True,CD4T,179188,8279
IRF1,RPL7,-0.18677748971639416,True,CD4T,179188,8279
RORA,RPL41,-0.18668934344579652,False,CD4T,179188,8279
IRF1,RPL39,-0.18552226946676756,False,CD4T,179188,8279
FOSB,RPL41,-0.18500053266813796,True,CD4T,179188,8279
IRF1,RPL32,-0.18470834082478002,False,CD4T,179188,8279
KLF6,RPS29,-0.18392010481400767,True,CD4T,179188,8279
ZNF90,RPS18,-0.18389360873630686,False,CD4T,179188,8279
KLF6,RPS25,-0.18283856607981536,True,CD4T,179188,8279
IRF1,RPS28,-0.1827273701485723,False,CD4T,179188,8279
KLF6,RPL13A,-0.18252164165774235,True,CD4T,179188,8279
KLF6,RPL10,-0.18207661354135202,True,CD4T,179188,8279
RORA,RPS29,-0.18189969912442702,False,CD4T,179188,8279
RORA,RPS13,-0.18175435756581276,False,CD4T,179188,8279
ARID5B,RPL32,-0.18155720665030528,False,CD4T,179188,8279
ZNF90,RPS27,-0.18087316377236587,False,CD4T,179188,8279
ZNF90,RPL21,-0.18025576393092113,False,CD4T,179188,8279
IRF1,RPL10,-0.1798256529392793,False,CD4T,179188,8279
ARID5B,RPL34,-0.17974838622312078,False,CD4T,179188,8279
IRF1,RPS27A,-0.17846491376171236,True,CD4T,179188,8279
SP100,RPL34,-0.17810246289735876,False,CD4T,179188,8279
RORA,RPL31,-0.17789842686907698,False,CD4T,179188,8279
FOSB,RPS29,-0.17728534193341502,False,CD4T,179188,8279
IRF1,RPS19,-0.1772189326290214,False,CD4T,179188,8279
SP100,RPS27,-0.1772049118980604,False,CD4T,179188,8279
ARID5B,RPS14,-0.17661186935834464,False,CD4T,179188,8279
KLF3,B2M,-0.17653730024782718,False,CD4T,179188,8279
TCF7,RPL34,-0.17648196632742752,True,CD4T,179188,8279
RORA,RPS28,-0.1763210671955809,False,CD4T,179188,8279
KLF6,RPL18A,-0.17591438717441535,True,CD4T,179188,8279
ETS1,RPS4X,-0.17577652336396118,True,CD4T,179188,8279
ARID5B,RPS27,-0.17570121741637515,False,CD4T,179188,8279
RORA,RPL10,-0.1755764367878109,False,CD4T,179188,8279
FOSB,B2M,-0.1751711147469391,False,CD4T,179188,8279
FOSB,TMSB4X,-0.1749827410443331,True,CD4T,179188,8279
ETS1,RPS15,-0.1746421142631776,True,CD4T,179188,8279
RORA,RPL35A,-0.17457238239945336,False,CD4T,179188,8279
KLF6,RPL7,-0.17447679969925783,True,CD4T,179188,8279
SP100,RPL21,-0.1743692340195414,False,CD4T,179188,8279
ARID5B,RPS27A,-0.17429073643936918,False,CD4T,179188,8279
ZNF90,RPS2,-0.1742734439907318,False,CD4T,179188,8279
