source,target,weight,promotor_based,cell_type,sample_size,gene_size
ETS1,B2M,-0.23291568852009512,True,NK,39767,7102
ATF4,B2M,-0.21244731120615443,False,NK,39767,7102
ETS1,TMSB4X,-0.2098193229719836,True,NK,39767,7102
TCF7,B2M,-0.2058690819875052,False,NK,39767,7102
IRF1,TMSB4X,-0.2045983759136904,False,NK,39767,7102
FOS,DUSP1,0.202048915495153,True,NK,39767,7102
JUNB,B2M,0.20103166620460328,True,NK,39767,7102
IRF1,B2M,-0.19948405070633113,True,NK,39767,7102
ATF4,TMSB4X,-0.19841789132607107,True,NK,39767,7102
ZNF90,B2M,-0.19395536474178018,False,NK,39767,7102
TCF7,TMSB4X,-0.1931902206868647,True,NK,39767,7102
ZNF90,NBEAL1,0.1905095030164537,False,NK,39767,7102
REL,B2M,-0.18984558210800828,True,NK,39767,7102
FOSB,B2M,-0.1866188874281369,False,NK,39767,7102
JUNB,DUSP1,0.18570322336106165,True,NK,39767,7102
REL,TMSB4X,-0.18283530731870537,False,NK,39767,7102
BPTF,B2M,-0.18080332148146686,False,NK,39767,7102
RUNX3,B2M,-0.17955328112095476,False,NK,39767,7102
AKNA,B2M,-0.179430432808759,False,NK,39767,7102
JUN,DUSP1,0.17650179004164676,True,NK,39767,7102
JUNB,TMSB4X,0.1761480265439074,True,NK,39767,7102
BPTF,TMSB4X,-0.1753970725307453,False,NK,39767,7102
ZEB2,RPS27,-0.17457110635407946,True,NK,39767,7102
TCF7,NKG7,-0.17435287497472168,False,NK,39767,7102
RUNX3,TMSB4X,-0.1732792109812509,True,NK,39767,7102
ZEB2,RPL41,-0.17281652511695766,True,NK,39767,7102
SP100,B2M,-0.1721833897640174,False,NK,39767,7102
RORA,B2M,-0.17166015697109988,False,NK,39767,7102
FOSB,TMSB4X,-0.17081607056020728,True,NK,39767,7102
DNMT1,B2M,-0.1700324753564579,False,NK,39767,7102
RORA,RPL41,-0.16917982327552752,False,NK,39767,7102
AKNA,TMSB4X,-0.16890261116841146,False,NK,39767,7102
ZEB2,RPL21,-0.16851993384870922,True,NK,39767,7102
RORA,RPL21,-0.16736317966148376,True,NK,39767,7102
ETS1,RPL21,-0.16350705996666848,True,NK,39767,7102
RORA,RPS27,-0.163449814237811,False,NK,39767,7102
ZNF90,TMSB4X,-0.16333301321257296,False,NK,39767,7102
ZEB2,RPL34,-0.16286044121780363,True,NK,39767,7102
SP100,TMSB4X,-0.16187394809118502,False,NK,39767,7102
RORA,RPL34,-0.16154549292001968,False,NK,39767,7102
NFATC3,B2M,-0.16012565525943057,True,NK,39767,7102
KLF3,TMSB4X,-0.15941654005868108,True,NK,39767,7102
YY1,B2M,-0.1593385907287691,True,NK,39767,7102
JUNB,RPL41,0.1579316871293898,False,NK,39767,7102
PA2G4,B2M,-0.15787662782654202,False,NK,39767,7102
ZNF207,B2M,-0.1574547237611332,True,NK,39767,7102
RORA,TMSB4X,-0.1571964462504563,False,NK,39767,7102
BAZ2B,B2M,-0.1564061215666313,False,NK,39767,7102
KLF3,B2M,-0.15618541926855883,False,NK,39767,7102
ZEB2,RPS14,-0.15608455690430498,True,NK,39767,7102
FOS,JUN,0.15520339104423178,True,NK,39767,7102
JUN,FOS,0.15520339104423178,True,NK,39767,7102
JUNB,RPL21,0.154370314871867,True,NK,39767,7102
TCF7,GZMK,0.15424133655522332,False,NK,39767,7102
JUNB,FOS,0.1538648432266493,True,NK,39767,7102
FOS,JUNB,0.1538648432266493,True,NK,39767,7102
YY1,TMSB4X,-0.15339414848366512,True,NK,39767,7102
ZNF207,TMSB4X,-0.1533258974179267,False,NK,39767,7102
DNMT1,TMSB4X,-0.1521150121449955,False,NK,39767,7102
ASH1L,B2M,-0.151536498228862,False,NK,39767,7102
ETS1,RPL41,-0.15140368683618283,True,NK,39767,7102
ZEB2,RPS29,-0.15070584262805606,True,NK,39767,7102
ZBTB16,B2M,-0.15066060289455482,False,NK,39767,7102
ZEB2,RPS19,-0.1502788341966018,True,NK,39767,7102
BAZ2B,TMSB4X,-0.149966407225064,False,NK,39767,7102
MYBL1,B2M,-0.14979019042527053,False,NK,39767,7102
