source,target,weight,promotor_based,cell_type,sample_size,gene_size
RPS4X,RPL10,0.738436627163081,False,B,11417,6218
RPS4X,RPS8,0.7309164395639922,False,B,11417,6218
RPS4X,RPL19,0.7219516082554056,False,B,11417,6218
RPS4X,RPL11,0.7200241912461891,False,B,11417,6218
RPS4X,RPS3A,0.7171593034071037,False,B,11417,6218
RPS4X,RPS12,0.7171352433942381,False,B,11417,6218
RPS4X,RPS23,0.7081723967973044,False,B,11417,6218
RPS4X,RPL32,0.7067088176825628,False,B,11417,6218
RPS4X,RPL30,0.6950663944317078,False,B,11417,6218
RPS4X,RPL18,0.691956588987425,False,B,11417,6218
RPS4X,RPS27A,0.6856483977858849,False,B,11417,6218
RPS4X,RPL29,0.6852499750743011,False,B,11417,6218
RPS4X,RPS14,0.6815493745797585,False,B,11417,6218
RPS4X,RPS15A,0.6802715497936026,False,B,11417,6218
RPS4X,RPS3,0.680208280895542,False,B,11417,6218
RPS4X,RPL28,0.6781111378375958,False,B,11417,6218
RPS4X,RPL13,0.6779612809851524,False,B,11417,6218
RPS4X,RPL7A,0.6771840675164156,False,B,11417,6218
RPS4X,EEF1A1,0.6720883892840294,False,B,11417,6218
RPS4X,RPL18A,0.6598718822763441,False,B,11417,6218
RPL6,RPS8,0.6568481215100673,False,B,11417,6218
RPS4X,RPS15,0.656537203195018,False,B,11417,6218
RPS4X,RPL8,0.6537334650808652,False,B,11417,6218
RPS4X,RPLP1,0.6529655954756024,False,B,11417,6218
RPS4X,RPL12,0.6514600152112474,False,B,11417,6218
RPS4X,RPS13,0.6505309264064821,False,B,11417,6218
RPS4X,RPS18,0.6456172253611311,False,B,11417,6218
RPL6,RPL32,0.6433224888579827,False,B,11417,6218
RPL6,EEF1A1,0.6428455969495247,False,B,11417,6218
RPL6,RPL10,0.6378931738620345,False,B,11417,6218
RPL6,RPL19,0.6356685053144479,False,B,11417,6218
RPS4X,RPS5,0.6343206245354835,False,B,11417,6218
RPS4X,RPL26,0.6339221759916296,False,B,11417,6218
RPS4X,RPS19,0.6254185296232914,False,B,11417,6218
RPL6,RPL11,0.6208754169508651,False,B,11417,6218
RPL6,RPL30,0.6200063842719276,False,B,11417,6218
RPS4X,FAU,0.6187149381897561,False,B,11417,6218
RPL6,RPL28,0.6181661167848672,False,B,11417,6218
RPL6,RPS12,0.6172223881262898,False,B,11417,6218
RPL6,RPS15A,0.616702392235214,False,B,11417,6218
RPS4X,RPS7,0.6148973580905757,False,B,11417,6218
RPL6,RPS23,0.613337334983357,False,B,11417,6218
RPL6,RPL18A,0.6131862980371103,False,B,11417,6218
RPS4X,CD74,0.6117063460913412,False,B,11417,6218
RPL6,RPL29,0.609338626041074,False,B,11417,6218
RPL6,RPS27A,0.6084181358761609,False,B,11417,6218
RPL6,RPL18,0.6015664949457824,False,B,11417,6218
RPS4X,RPL34,0.6012091252890662,False,B,11417,6218
RPL6,RPL7A,0.5959724158665066,False,B,11417,6218
RPS4X,RPL14,0.5918153336833472,False,B,11417,6218
RPL6,RPL12,0.5904492011146603,False,B,11417,6218
RPS4X,RPL5,0.5901868401600981,False,B,11417,6218
RPL6,RPS13,0.5880186993679212,False,B,11417,6218
RPL6,RPLP1,0.5879982923538709,False,B,11417,6218
RPL6,RPS7,0.5864281209787109,False,B,11417,6218
RPS4X,RPS6,0.5863101291376489,False,B,11417,6218
RPL6,RPL34,0.5862121359317631,False,B,11417,6218
RPS4X,RPL3,0.5855768281660183,False,B,11417,6218
RPS4X,RACK1,0.5838848667751376,False,B,11417,6218
RPL6,RPS3A,0.5837183371150033,False,B,11417,6218
RPL6,RPS15,0.582582683913971,False,B,11417,6218
RPL6,RPS5,0.5796486476297313,False,B,11417,6218
RPL6,RPL26,0.5757734347931809,False,B,11417,6218
RPL6,RPS14,0.5727414947692997,False,B,11417,6218
RPL6,RPS19,0.5700651228681015,False,B,11417,6218
RPL6,CD74,0.5661914073788608,False,B,11417,6218
RPS4X,RPLP0,0.5658632022511724,False,B,11417,6218
RPS4X,RPLP2,0.5649477910152488,False,B,11417,6218
RPL6,RPL5,0.5646031452311748,False,B,11417,6218
RPL6,RPS3,0.563910328587463,False,B,11417,6218
RPS4X,RPSA,0.5621204869303771,False,B,11417,6218
RPS4X,RPL35A,0.5606284607532452,False,B,11417,6218
RPL6,RPS4X,0.5586532585307745,False,B,11417,6218
RPS4X,RPL6,0.5586532585307745,False,B,11417,6218
RPL6,RPLP0,0.5567158388013765,False,B,11417,6218
RPS4X,RPS25,0.5556968671617651,False,B,11417,6218
RPL6,RPL13,0.554775361278382,False,B,11417,6218
RPL6,RPL8,0.554516938411646,False,B,11417,6218
RPL6,FAU,0.5501083370697909,False,B,11417,6218
RPS4X,RPS28,0.546970968657063,False,B,11417,6218
RPS4X,RPL10A,0.5430146360844756,False,B,11417,6218
RPL6,RPSA,0.5424220665774656,False,B,11417,6218
RPS4X,EEF1B2,0.5420554608779484,False,B,11417,6218
RPL6,RPL39,0.5418996176139003,False,B,11417,6218
RPS4X,RPS9,0.5403563054887083,False,B,11417,6218
RPL6,RPL35A,0.5389414695764584,False,B,11417,6218
RPS4X,RPS24,0.5363652738363894,False,B,11417,6218
RPL6,RPS28,0.5336184516655677,False,B,11417,6218
RPL6,RPS6,0.5332686184050471,False,B,11417,6218
RPL6,RPS18,0.5324693732755476,False,B,11417,6218
RPS4X,RPL21,0.5233660658740145,False,B,11417,6218
RPS4X,B2M,0.5199976339098679,False,B,11417,6218
RPL6,RPLP2,0.5185111798984349,False,B,11417,6218
RPL6,RPL10A,0.5179819746647669,False,B,11417,6218
RPS4X,NACA,0.513614755278966,False,B,11417,6218
RPS4X,RPL39,0.5102954713564781,False,B,11417,6218
RPL35,RPL32,0.5096316890837611,False,B,11417,6218
RPL35,RPS18,0.5095354466009723,False,B,11417,6218
RPS4X,HLA-DRA,0.5069358462258048,False,B,11417,6218
RPL6,RPS24,0.5051285190624639,False,B,11417,6218
RPL6,RPL14,0.5033975063397629,False,B,11417,6218
RPS4X,TPT1,0.5029591882942204,False,B,11417,6218
RPL6,RPS25,0.5023006045163483,False,B,11417,6218
RPS4X,RPL15,0.4997940088689176,False,B,11417,6218
RPS4X,RPS16,0.49960921223564025,False,B,11417,6218
RPS4X,RPL13A,0.4989682061882028,False,B,11417,6218
RPL6,RPL21,0.4983489707035338,False,B,11417,6218
RPL35,RPS19,0.4959761008971517,False,B,11417,6218
RPL35,RPS23,0.49465160524138213,False,B,11417,6218
RPL6,RPL3,0.4918553511891165,False,B,11417,6218
RPL35,RPL13,0.4907654654359839,False,B,11417,6218
RPL6,RPL37,0.4876603728564662,False,B,11417,6218
RPL6,RACK1,0.48583048344909996,False,B,11417,6218
RPS4X,RPL24,0.4858202651904243,False,B,11417,6218
RPL35,RPS6,0.4834490914658714,False,B,11417,6218
RPL35,RPL30,0.481846542187268,False,B,11417,6218
RPL6,EEF1B2,0.4818226088382982,False,B,11417,6218
RPS4X,RPL17,0.4810025036643999,False,B,11417,6218
RPL35,RPS27A,0.48084891968005417,False,B,11417,6218
