source,target,weight,promotor_based,cell_type,sample_size,gene_size
RPL6,RPS8,0.6568614691444736,False,MONO,54968,9425
RPL6,RPS13,0.654764610046659,False,MONO,54968,9425
RPL6,RPL11,0.6487419949371722,False,MONO,54968,9425
RPL6,RPL10,0.64707305516036,False,MONO,54968,9425
RPL6,RPL30,0.6464952972250659,False,MONO,54968,9425
RPL6,RPS24,0.6379037301530891,False,MONO,54968,9425
RPL6,RPLP1,0.6348532532334925,False,MONO,54968,9425
RPL6,RPL19,0.6312448626998858,False,MONO,54968,9425
RPL6,RPL28,0.6307817054780976,False,MONO,54968,9425
RPL6,RPL32,0.6263431692907866,False,MONO,54968,9425
RPL6,RPL34,0.6219026286069933,False,MONO,54968,9425
RPL6,RPS15A,0.6189839728372559,False,MONO,54968,9425
RPS4X,RPL10,0.6147552407023561,False,MONO,54968,9425
RPL6,RPL39,0.6120041207295989,False,MONO,54968,9425
RPS4X,RPL19,0.6081558848134515,False,MONO,54968,9425
RPS4X,RPS8,0.6058820335800296,False,MONO,54968,9425
RPL6,RPS7,0.5990663100881352,False,MONO,54968,9425
RPL6,RPS12,0.5984674145288679,False,MONO,54968,9425
RPS4X,RPS12,0.5937459514239065,False,MONO,54968,9425
RPS4X,RPL28,0.5930080848826963,False,MONO,54968,9425
RPL6,RPS28,0.5895021225086177,False,MONO,54968,9425
RPL6,FAU,0.5879286766032155,False,MONO,54968,9425
RPS4X,RPL32,0.5864437147018329,False,MONO,54968,9425
RPS4X,RPLP1,0.5857238050779088,False,MONO,54968,9425
RPL6,RPL35A,0.5786257548274156,False,MONO,54968,9425
RPS4X,RPL11,0.578207950189365,False,MONO,54968,9425
RPL6,RPS27A,0.577299414266907,False,MONO,54968,9425
RPS4X,RPS15A,0.5760201977203842,False,MONO,54968,9425
RPL6,RPS14,0.575050644326273,False,MONO,54968,9425
RPS4X,RPS13,0.5735529710257138,False,MONO,54968,9425
RPS4X,RPL30,0.573234644492351,False,MONO,54968,9425
RPS4X,RPS24,0.5707471631287786,False,MONO,54968,9425
RPS4X,RPS14,0.5687786432517175,False,MONO,54968,9425
RPL6,RPL18,0.5682421617886271,False,MONO,54968,9425
RPL6,RPS3A,0.5673518778852659,False,MONO,54968,9425
RPL6,RPS3,0.561373947578684,False,MONO,54968,9425
RPL6,RPL7A,0.5609739028246199,False,MONO,54968,9425
RPS4X,RPS3,0.5505325181584486,False,MONO,54968,9425
RPS4X,RPS3A,0.5487404626481306,False,MONO,54968,9425
RPS4X,RPL34,0.5475202014148702,False,MONO,54968,9425
RPS4X,RPL7A,0.5443303166859502,False,MONO,54968,9425
RPS4X,RPS7,0.544095800587747,False,MONO,54968,9425
RPL6,RPL29,0.5416507160813726,False,MONO,54968,9425
RPS4X,RPL18,0.5378097499281014,False,MONO,54968,9425
RPL6,RPLP2,0.53690591293073,False,MONO,54968,9425
RPL6,RPL12,0.5347691808049884,False,MONO,54968,9425
RPL6,RPS15,0.5325697259653955,False,MONO,54968,9425
RPS4X,RPS27A,0.5316392497046741,False,MONO,54968,9425
RPL6,RPL8,0.5294608251907199,False,MONO,54968,9425
RPS4X,RPS15,0.5275749543408826,False,MONO,54968,9425
RPL6,TMSB10,0.5270789077553878,False,MONO,54968,9425
RPL6,EEF1A1,0.5247958398940841,False,MONO,54968,9425
RPS4X,RPL39,0.5243428504719749,False,MONO,54968,9425
RPS4X,FAU,0.523271654220408,False,MONO,54968,9425
RPS4X,RPS28,0.5230506370829949,False,MONO,54968,9425
RPS4X,RPL8,0.5227415592088314,False,MONO,54968,9425
RPS4X,RPL29,0.5194391136545264,False,MONO,54968,9425
RPL6,RPS4X,0.5160087732904007,False,MONO,54968,9425
RPS4X,RPL6,0.5160087732904007,False,MONO,54968,9425
RPS4X,RPL12,0.5135024397453681,False,MONO,54968,9425
RPL6,GAPDH,0.5127102454474612,False,MONO,54968,9425
RPS4X,RPL35A,0.5103407081714709,False,MONO,54968,9425
RPS4X,EEF1A1,0.510244713363725,False,MONO,54968,9425
RPS4X,RPS23,0.5083083112281365,False,MONO,54968,9425
RPS4X,RPLP2,0.5018176104262683,False,MONO,54968,9425
RPL6,FTL,0.5003887265165291,False,MONO,54968,9425
RPL6,RPS23,0.4988981590214947,False,MONO,54968,9425
RPL6,S100A6,0.4983090737018346,False,MONO,54968,9425
RPL6,RPL26,0.49153534586082204,False,MONO,54968,9425
RPS4X,TMSB10,0.4902792638036909,False,MONO,54968,9425
RPL6,RPL37,0.48997642398206825,False,MONO,54968,9425
FOS,DUSP1,0.48821634204349884,True,MONO,54968,9425
RPL6,RPL18A,0.4873377845629001,False,MONO,54968,9425
TCF7L2,FCGR3A,0.48538451072561956,False,MONO,54968,9425
RPS4X,RPL18A,0.48449135129706683,False,MONO,54968,9425
RPL6,RPL22,0.4820667633727861,False,MONO,54968,9425
RPS4X,RPL13,0.4811468714044565,False,MONO,54968,9425
RPS4X,RPL26,0.4781276139759967,False,MONO,54968,9425
RPL6,S100A4,0.46776298680164957,False,MONO,54968,9425
RPS4X,GAPDH,0.46758424003157667,False,MONO,54968,9425
RPL6,RPL13,0.46065308615657796,False,MONO,54968,9425
RPS4X,RPLP0,0.4589299701914581,False,MONO,54968,9425
TCF7L2,CDKN1C,0.4581712937183879,True,MONO,54968,9425
RPL6,TYROBP,0.4579395174486036,False,MONO,54968,9425
RPL6,RPLP0,0.4491557301433665,False,MONO,54968,9425
RPS4X,FTL,0.44496339032825244,False,MONO,54968,9425
RPS4X,RPL37,0.43935709378633064,False,MONO,54968,9425
HES4,CDKN1C,0.43587937436817165,False,MONO,54968,9425
RPL6,LYZ,0.434610461521354,False,MONO,54968,9425
RPL6,RPL5,0.4324666294222934,False,MONO,54968,9425
TCF7L2,RHOC,0.42931094270820114,True,MONO,54968,9425
EEF1D,RPL30,0.42641846891341173,False,MONO,54968,9425
RPL6,ATP5MC2,0.425768457631792,False,MONO,54968,9425
RPL6,RPL14,0.4257169060838952,False,MONO,54968,9425
EEF1D,RPL11,0.4240594619715612,False,MONO,54968,9425
EEF1D,FAU,0.42393634543186526,False,MONO,54968,9425
RPL6,RPL24,0.42379317556897794,False,MONO,54968,9425
RPL6,NACA,0.42294089457193046,False,MONO,54968,9425
RPL6,ACTB,0.42266058441431575,False,MONO,54968,9425
EEF1D,RPL28,0.42136628307552704,False,MONO,54968,9425
RPS4X,RPL22,0.42116743181964506,False,MONO,54968,9425
HES4,FCGR3A,0.4208775482085669,False,MONO,54968,9425
RPL6,SERF2,0.4178953491842882,False,MONO,54968,9425
RPL6,ATP5F1E,0.41685526510364757,False,MONO,54968,9425
RPL6,S100A8,0.41407074069248395,False,MONO,54968,9425
RPS4X,S100A6,0.41396942350360066,False,MONO,54968,9425
EEF1D,RPL39,0.4134923632612918,False,MONO,54968,9425
RPL6,SH3BGRL3,0.411905834208235,False,MONO,54968,9425
EEF1D,RPS13,0.40909105571831933,False,MONO,54968,9425
RPS4X,RPL14,0.4086741805787202,False,MONO,54968,9425
RPS4X,RACK1,0.40620290088814626,False,MONO,54968,9425
RPL6,RACK1,0.405646774608201,False,MONO,54968,9425
RPL6,RPS21,0.40541113382141325,False,MONO,54968,9425
EEF1D,FTL,0.4046785491451044,False,MONO,54968,9425
TCF7L2,MTSS1,0.4036734856633638,True,MONO,54968,9425
RPS4X,RPL24,0.40343124086230253,False,MONO,54968,9425
RPL6,GABARAP,0.4032274451713382,False,MONO,54968,9425
RPL6,COX4I1,0.4012235105416292,False,MONO,54968,9425
RPS4X,NACA,0.4011529052379495,False,MONO,54968,9425
RPS4X,TYROBP,0.3991793301222289,False,MONO,54968,9425
EEF1D,RPL10,0.39890127211470033,False,MONO,54968,9425
TCF7L2,LYZ,-0.39883986304105074,True,MONO,54968,9425
TCF7L2,S100A8,-0.3931714074044327,False,MONO,54968,9425
RPS4X,S100A4,0.3914016823624369,False,MONO,54968,9425
EEF1D,RPL34,0.39137886177565473,False,MONO,54968,9425
RPL35,RPL13,0.38991680223667147,False,MONO,54968,9425
EEF1D,RPS24,0.38909661672999496,False,MONO,54968,9425
EEF1D,RPS8,0.38815062899226815,False,MONO,54968,9425
RPL6,RPL36,0.3839579739589177,False,MONO,54968,9425
RPL35,RPS18,0.3839260832997738,False,MONO,54968,9425
RPS4X,COX4I1,0.38381530575512623,False,MONO,54968,9425
FOS,FCGR3A,-0.3830550653137998,True,MONO,54968,9425
EEF1D,RPL19,0.3828819274987532,False,MONO,54968,9425
RPS4X,SERF2,0.38230996504119347,False,MONO,54968,9425
RPS4X,RPL5,0.3815472743169956,False,MONO,54968,9425
TCF7L2,S100A9,-0.3814830989596554,False,MONO,54968,9425
HES4,CKB,0.38117693745036957,False,MONO,54968,9425
HES4,RHOC,0.37939794352611667,False,MONO,54968,9425
RPS4X,RPL15,0.3780607167770542,False,MONO,54968,9425
EEF1D,TMSB10,0.37793239884410895,False,MONO,54968,9425
EEF1D,RPLP1,0.377423610821952,False,MONO,54968,9425
NAP1L1,S100A8,-0.37655873591060635,False,MONO,54968,9425
EEF1D,S100A4,0.3764483517008721,False,MONO,54968,9425
