source,target,weight,promotor_based,cell_type,sample_size,gene_size
RPL6,EEF1A1,0.5972047671579942,False,NK,53152,9295
RPS4X,EEF1A1,0.5892348150770595,False,NK,53152,9295
RPL6,RPL10,0.5687986579768705,False,NK,53152,9295
RPL6,RPS12,0.565608441102832,False,NK,53152,9295
RPS4X,RPS3,0.5633822399459195,False,NK,53152,9295
RPS4X,RPL30,0.5613896541713829,False,NK,53152,9295
RPS4X,RPL10,0.5599539765979055,False,NK,53152,9295
RPL6,RPL30,0.5598580584884032,False,NK,53152,9295
RPL6,RPS27A,0.5559450724968596,False,NK,53152,9295
RPL6,RPS3,0.5542144432819349,False,NK,53152,9295
RPL6,RPL28,0.5530119567713303,False,NK,53152,9295
RPS4X,RPS14,0.5529704813110018,False,NK,53152,9295
RPS4X,RPS12,0.5523547323363578,False,NK,53152,9295
RPL6,RPS15A,0.5513973650907007,False,NK,53152,9295
RPL6,RPL19,0.5460811891872875,False,NK,53152,9295
RPS4X,RPS27A,0.5460506189259372,False,NK,53152,9295
RPL6,RPS14,0.5440294733829425,False,NK,53152,9295
RPL6,RPL32,0.5434681097343097,False,NK,53152,9295
RPS4X,RPS15A,0.5411953992801758,False,NK,53152,9295
RPS4X,RPL19,0.5377129858726026,False,NK,53152,9295
RPL6,RPL11,0.5247134589097973,False,NK,53152,9295
RPL6,RPL34,0.5203949974530757,False,NK,53152,9295
RPS4X,RPL32,0.5168216052866512,False,NK,53152,9295
RPL6,RPL7A,0.5146188055226966,False,NK,53152,9295
RPS4X,RPL28,0.5139211711449044,False,NK,53152,9295
RPL6,RPS8,0.5123597700958099,False,NK,53152,9295
RPS4X,RPS23,0.5114767994563671,False,NK,53152,9295
RPS4X,RPL7A,0.5102773692544812,False,NK,53152,9295
RPL6,RPS23,0.5094146849268353,False,NK,53152,9295
RPL6,RPL26,0.5045661263377171,False,NK,53152,9295
RPS4X,RPL11,0.501688875126739,False,NK,53152,9295
RPS4X,RPS3A,0.49859129500412863,False,NK,53152,9295
RPS4X,RPL26,0.4975703300038803,False,NK,53152,9295
RPL6,RPS7,0.49707803794543076,False,NK,53152,9295
RPL6,RPS28,0.49581242797331676,False,NK,53152,9295
RPS4X,RPS8,0.4931132667307603,False,NK,53152,9295
RPS4X,RPL34,0.4922673298050995,False,NK,53152,9295
RPL6,RPL13,0.4910157283643971,False,NK,53152,9295
RPL6,RPLP1,0.490317312386459,False,NK,53152,9295
RPL6,RPS15,0.4853958143680701,False,NK,53152,9295
RPS4X,RPS7,0.48535388679222075,False,NK,53152,9295
RPL6,RPL35A,0.4794979814934237,False,NK,53152,9295
RPL6,RPS24,0.47916059153226387,False,NK,53152,9295
RPL6,RPL14,0.47858758962921766,False,NK,53152,9295
RPS4X,RPL14,0.4759155976629747,False,NK,53152,9295
RPL6,RPL29,0.47420730524430915,False,NK,53152,9295
RPS4X,RPS15,0.4735205137309313,False,NK,53152,9295
RPL6,FAU,0.4728273808721658,False,NK,53152,9295
RPS4X,FAU,0.4726300189234505,False,NK,53152,9295
RPS4X,RPL18A,0.4717378714613097,False,NK,53152,9295
RPS4X,RPS19,0.4712859868836617,False,NK,53152,9295
RPS4X,RPL13,0.47075641954114344,False,NK,53152,9295
RPL6,RPS19,0.47057980735411786,False,NK,53152,9295
RPS4X,RPL29,0.47053523557970994,False,NK,53152,9295
RPL6,RPL18A,0.46782027032913837,False,NK,53152,9295
RPL6,RPL39,0.4675650521708292,False,NK,53152,9295
RPS4X,RPLP1,0.4664117824232534,False,NK,53152,9295
RPL6,RPL18,0.4660527684975127,False,NK,53152,9295
RPL6,B2M,0.4636286203400468,False,NK,53152,9295
RPS4X,RPL18,0.46291942713670786,False,NK,53152,9295
RPL6,RPS3A,0.4612013744665313,False,NK,53152,9295
RPL6,RPS4X,0.46098291970975624,False,NK,53152,9295
RPS4X,RPL6,0.4609829197097562,False,NK,53152,9295
RPS4X,RPS24,0.460451613824549,False,NK,53152,9295
RPS4X,RPS28,0.4593699164474989,False,NK,53152,9295
RPL6,RPS27,0.4591357299111724,False,NK,53152,9295
RPS4X,RPL35A,0.4563385818804215,False,NK,53152,9295
RPL6,RPS13,0.44904674127548067,False,NK,53152,9295
RPL6,RPLP2,0.44463523026949664,False,NK,53152,9295
